-0.01829045344190415-0.00003100209677323361*I	-0.0185275700000488-0.0044775183867804625*I	0.0013319481539865218-0.009351150758434798*I	0.02405416593533397-0.00480166598935633*I	0.025916659085951862+0.012263992686067338*I	-0.003207219185920485+0.028257418309947782*I	-0.0470866792560287+0.01818002434288222*I	-0.06722072217182863-0.034748513036438736*I	-0.019866585365683514-0.12050742589908843*I	0.13252642897483805-0.2020125304528996*I	0.4475087607018992-0.236636156796937*I	0.13140857692588453-0.20470989905845272*I	-0.02053891727521651-0.12341564516839804*I	-0.06626992576095946-0.03506938338992243*I	-0.04537280113366146+0.020991375108068845*I	-0.0029264857130032636+0.03175855325450115*I	0.023794682069537408+0.01298511660845584*I	0.021430150092835627-0.00811575972092748*I	0.0014729491659559832-0.01404727404544128*I	-0.014655158280118402-0.005814913431799263*I	-0.014081842858065912+0.004418255570736139*I	-0.0007033983055140957+0.007077440554022496*I	0.011273999007279153+0.002529452567227158*I	0.011083493241580106-0.0024556816411245978*I	0.00028584878423295815-0.003066476026382379*I	-0.0099924995646653-0.0005504046015895604*I	-0.00994277528490059+0.0009634632179807373*I
-0.010669039498142458+0.012230490800699812*I	-0.013695359732768682+0.010392950866427652*I	-0.005613455126325253-0.0049436384767265395*I	0.009701846328487019-0.01782208802860907*I	0.02114941661991725-0.011616894665480862*I	0.01597388380105148+0.013227455904048708*I	-0.010294969435168869+0.03452224238448402*I	-0.04522795336139593+0.022621022368694607*I	-0.0590588442393076-0.03618766998602676*I	-0.013473528851774118-0.12533545026867945*I	0.13140857692588467-0.20470989905845277*I	0.440443372278457-0.2347163516966555*I	0.12531534745318543-0.20089424385679486*I	-0.020011433137950427-0.12213707315971321*I	-0.0598522384496645-0.03751220216642048*I	-0.039265880987543925+0.017937685047290187*I	-0.002926485713002678+0.031758553254501595*I	0.017687761923420735+0.01603880666923533*I	0.015012462781540854-0.005672940944428811*I	0.0009454650286891832-0.015325846054125838*I	-0.008561928807420734-0.009630568633457138*I	-0.007016454434625248+0.0024984504704545015*I	0.0004144537434376745+0.009774809159575544*I	0.004880942493368825+0.007357476936818577*I	0.002921615309058902-0.001016524691535736*I	-0.0015728771103995054-0.0075074740521937355*I	-0.002904749315416469-0.006815228676124897*I
0.004595093709135476+0.010423952963200598*I	0.0022450753755811157+0.011764370710753314*I	-0.005325461558268188+0.0019220135962530727*I	-0.008518204441742-0.01175886715285112*I	-0.00024092895641344674-0.016858624810627477*I	0.014061666370668793-0.005352070590944269*I	0.017832609695684263+0.017668453929861352*I	-0.0021330915026477283+0.03308308543489608*I	-0.038834896847486276+0.01779299799910345*I	-0.06017669628826072-0.03888503859158006*I	-0.020538917275216513-0.12341564516839826*I	0.12531534745318532-0.20089424385679513*I	0.44097085641572276-0.23343777968797072*I	0.1317330347644803-0.203337062633293*I	-0.013904512991832676-0.12519076322049189*I	-0.05985223844966357-0.037512202166420136*I	-0.04537280113366021+0.020991375108069543*I	-0.009344173024297296+0.034201372031000155*I	0.017160277786153835+0.014760234660550754*I	0.02110569225423827-0.00948859614608655*I	0.008010853452129662-0.017245651154407234*I	-0.0074440767584689526-0.006933200027903821*I	-0.013409510948535394+0.007326474840046131*I	-0.007747424189083328+0.011213966109164517*I	0.0030222165987364488+0.002916478911007239*I	0.010009365558307694-0.007281348766071107*I	0.008369898174501013-0.008470937270174509*I
0.012914114873723419-0.0004661200899467114*I	0.012964991883635766+0.0019530156930256826*I	-0.0006596739398357503+0.004949142034628441*I	-0.015268236843168612+0.0028854768142345176*I	-0.015605954690990239-0.005494043078314507*I	0.001617796938219681-0.012417626784814747*I	0.022223544303190398-0.006791227540532231*I	0.02422566620959447+0.01284042956027002*I	-0.0032509435516002343+0.030385716829342393*I	-0.04590028527092812+0.0197128030993842*I	-0.06626992576095968-0.03506938338992276*I	-0.020011433137950577-0.12213707315971366*I	0.13173303476448012-0.2033370626332932*I	0.44707777656184056-0.23649146974874932*I	0.1317330347644814-0.20333706263329251*I	-0.020011433137948613-0.1221370731597127*I	-0.0662699257609578-0.03506938338992185*I	-0.04590028527092704+0.019712803099384748*I	-0.0032509435516000877+0.03038571682934238*I	0.02422566620959393+0.012840429560269508*I	0.02222354430318972-0.006791227540532989*I	0.0016177969382194098-0.012417626784815398*I	-0.01560595469098985-0.005494043078314739*I	-0.015268236843167618+0.0028854768142348086*I	-0.0006596739398344803+0.004949142034629124*I	0.012964991883636904+0.0019530156930264457*I	0.01291411487372408-0.0004661200899462186*I
0.008369898174500054-0.008470937270175057*I	0.010009365558306234-0.0072813487660718336*I	0.0030222165987351607+0.0029164789110068495*I	-0.007747424189083909+0.011213966109164822*I	-0.013409510948535108+0.007326474840047109*I	-0.007444076758468105-0.006933200027902541*I	0.008010853452130503-0.01724565115440619*I	0.02110569225423856-0.009488596146086157*I	0.017160277786153262+0.014760234660550393*I	-0.00934417302429861+0.03420137203099929*I	-0.04537280113366183+0.02099137510806857*I	-0.05985223844966476-0.03751220216642078*I	-0.013904512991832882-0.12519076322049197*I	0.13173303476448123-0.2033370626332926*I	0.4409708564157246-0.23343777968797005*I	0.1253153474531874-0.2008942438567944*I	-0.020538917275215157-0.12341564516839783*I	-0.060176696288260514-0.038885038591579914*I	-0.038834896847487144+0.01779299799910344*I	-0.0021330915026490133+0.033083085434896096*I	0.017832609695683337+0.017668453929861553*I	0.014061666370668696-0.005352070590943785*I	-0.00024092895641274095-0.016858624810626728*I	-0.008518204441740885-0.011758867152850225*I	-0.005325461558267144+0.001922013596253926*I	0.0022450753755818087+0.011764370710753971*I	0.00459509370913579+0.010423952963200952*I
-0.0029047493154174047-0.006815228676125296*I	-0.0015728771104008446-0.0075074740521941805*I	0.002921615309057909-0.0010165246915357755*I	0.004880942493368716+0.007357476936819187*I	0.00041445374343848743+0.009774809159576632*I	-0.007016454434623952+0.002498450470455588*I	-0.008561928807419602-0.009630568633456571*I	0.0009454650286896414-0.015325846054126036*I	0.015012462781540503-0.005672940944429587*I	0.017687761923419875+0.016038806669234438*I	-0.0029264857130034804+0.03175855325450111*I	-0.039265880987544084+0.01793768504729031*I	-0.05985223844966368-0.03751220216641993*I	-0.020011433137948675-0.12213707315971255*I	0.12531534745318748-0.20089424385679439*I	0.44044337227845864-0.23471635169665536*I	0.13140857692588517-0.2047098990584528*I	-0.01347352885177502-0.1253354502686794*I	-0.0590588442393095-0.03618766998602627*I	-0.045227953361397975+0.022621022368695624*I	-0.010294969435170246+0.03452224238448543*I	0.015973883801051133+0.013227455904050289*I	0.02114941661991776-0.011616894665479351*I	0.009701846328487852-0.01782208802860777*I	-0.005613455126324572-0.0049436384767255195*I	-0.01369535973276834+0.010392950866428361*I	-0.010669039498142359+0.012230490800700176*I
-0.009942775284901093+0.0009634632179806693*I	-0.009992499564665998-0.0005504046015895771*I	0.0002858487842325142-0.0030664760263822014*I	0.011083493241580249-0.002455681641124198*I	0.011273999007279892+0.002529452567227605*I	-0.0007033983055130271+0.007077440554022695*I	-0.014081842858064937+0.0044182555707358495*I	-0.014655158280117837-0.005814913431800038*I	0.0014729491659560888-0.01404727404544221*I	0.021430150092835533-0.00811575972092806*I	0.02379468206953755+0.012985116608455995*I	-0.002926485713002519+0.03175855325450208*I	-0.04537280113366011+0.020991375108070146*I	-0.06626992576095775-0.03506938338992137*I	-0.020538917275215014-0.12341564516839754*I	0.13140857692588517-0.20470989905845277*I	0.4475087607018988-0.23663615679693709*I	0.13252642897483635-0.20201253045289935*I	-0.01986658536568574-0.12050742589908724*I	-0.06722072217183073-0.03474851303643674*I	-0.04708667925603015+0.01818002434288453*I	-0.0032072191859211113+0.02825741830994995*I	0.025916659085951872+0.012263992686069139*I	0.02405416593533423-0.004801665989354844*I	0.0013319481539867581-0.009351150758433534*I	-0.018527570000048715-0.0044775183867794425*I	-0.01829045344190414-0.00003100209677264136*I
-0.0070877502492487825+0.006264824074535547*I	-0.008084049390268019+0.00540446124379239*I	-0.001830621632143931-0.0019895615511782154*I	0.0066789052981434975-0.007894500395973813*I	0.00996564119262856-0.005153050246677938*I	0.004208610583838682+0.004449257667508232*I	-0.006796627778211609+0.010893095755679585*I	-0.013554358720798946+0.0056968275794198435*I	-0.008237470968823287-0.0082577322082986*I	0.007579869312073333-0.017100964106220907*I	0.02143015009283615-0.008115759720927321*I	0.01768776192342126+0.01603880666923582*I	-0.009344173024296857+0.03420137203100086*I	-0.045900285270926725+0.019712803099385414*I	-0.06017669628826025-0.03888503859157952*I	-0.013473528851774856-0.12533545026867934*I	0.1325264289748364-0.20201253045289944*I	0.44111570418798807-0.2318081324273451*I	0.12436455104231521-0.2005733735033098*I	-0.021725311260317768-0.12494842392489817*I	-0.06013297192258143-0.041013337110972076*I	-0.03714390397112928+0.017216561124903423*I	-0.00030246987050452055+0.035072646986074325*I	0.01754676091145092+0.02073492995624314*I	0.011140051061610253-0.00433554589940901*I	-0.0032631455551488924-0.0197751037216347*I	-0.007858530501906266-0.016708009187479698*I
0.0018587258946328442+0.00444099802581171*I	0.0010741276832729194+0.004825667124946907*I	-0.0016909928763574+0.0005764368742008506*I	-0.002948473681095873-0.004686930156731723*I	-0.000386483125297846-0.0059746952956927545*I	0.0038724117199298897-0.0013373950450204688*I	0.0047360947211045265+0.005727829676192776*I	-0.0003789404669173546+0.008450276979181354*I	-0.007447438574682122+0.0026431375186411433*I	-0.008237470968823135-0.008257732208298094*I	0.0014729491659566335-0.014047274045441342*I	0.015012462781541528-0.005672940944428593*I	0.017160277786154424+0.014760234660551257*I	-0.003250943551599607+0.030385716829342952*I	-0.03883489684748675+0.017792997999103773*I	-0.05905884423930915-0.03618766998602632*I	-0.01986658536568542-0.12050742589908757*I	0.1243645510423155-0.2005733735033102*I	0.43925697829335636-0.2362491304531561*I	0.1314523012915647-0.20683819757784508*I	-0.011782535975416786-0.12591188714287913*I	-0.05722822260716483-0.03419810843484767*I	-0.04551380214563026+0.025687498395077286*I	-0.013216584744228427+0.03553876707601992*I	0.012951667202315484+0.010310976993041733*I	0.021809090559752976-0.016566036700109414*I	0.015027307886755444-0.01974410162486213*I
0.00816187793252145-0.0014391569495884426*I	0.008251782408543061-0.00038702634377951446*I	-0.00004372436567941647+0.002128298519393761*I	-0.008756381299798959+0.0024962419744823075*I	-0.009041703153794477-0.0008712749550737786*I	0.0001410010119682776-0.0046961232870076555*I	0.010290099031224477-0.0037802138215181683*I	0.010843014867221525+0.0026741396154144315*I	-0.0003789404669172783+0.00845027697918191*I	-0.013554358720799077+0.0056968275794205304*I	-0.014655158280118045-0.0058149134317995906*I	0.0009454650286896587-0.015325846054125956*I	0.02110569225423877-0.009488596146086326*I	0.024225666209594383+0.012840429560269906*I	-0.002133091502648612+0.033083085434896284*I	-0.045227953361397594+0.02262102236869538*I	-0.06722072217183034-0.034748513036437376*I	-0.021725311260317404-0.12494842392489885*I	0.131452301291565-0.20683819757784555*I	0.44919975357825737-0.237212593671137*I	0.1343570506069814-0.20002296890172053*I	-0.020152434149917887-0.1174409498727052*I	-0.07014233748088891-0.0337319883449022*I	-0.050108895854765745+0.015263545431875664*I	-0.0025475452460855435+0.02330827627531935*I	0.031242120644220103+0.01034197908981426*I	0.029667621061659478+0.0001419724873702882*I
