0.-0.8487765644110435*I	-0.49995760419644836+0.*I	0.+0.16976467362257153*I	0.000016885411155891938+0.*I	0.+0.024251182355804354*I	0.000010776621494693538+0.*I	0.+0.008082653854470677*I	7.901221943781012*^-6+0.*I	0.+0.0036727482643450562*I	6.201375795742388*^-6+0.*I	0.+0.001976358963927484*I	5.066409215212221*^-6+0.*I	0.+0.0011844612067262866*I	4.247602443534188*^-6+0.*I	0.+0.0007649860503345374*I	3.6233058503903318*^-6+0.*I	0.+0.0005219042992262446*I	3.128750536762176*^-6+0.*I	0.+0.00037120202436931315*I	2.724562256191634*^-6+0.*I	0.+0.0002726880870910428*I	2.389046606694978*^-6+0.*I	0.+0.0002054502508982009*I	2.057026136190967*^-6+0.*I	0.+0.00015791890811377163*I	1.6420092446865954*^-6+0.*I	0.+0.00012389055866851573*I	3.1156354423582372*^-6+0.*I	0.+0.00009427227147034561*I	-3.7560777085757693*^-6+0.*I	0.+0.00008524301604351942*I	0.000012402773992483455+0.*I	0.+0.000047069516858976035*I	-0.000016336513769319654+0.*I	0.+0.00006823097788365845*I	0.000020885388255336983+0.*I	0.+0.000019144255916418718*I	-0.00001665524549797466+0.*I	0.+0.00004414300328939996*I	0.000011755183571274899+0.*I	0.+0.000014045521054981136*I	-4.73394244240455*^-6+0.*I	0.+0.00001816548052824274*I	1.7866292049103652*^-6+0.*I	0.+8.26237794179091*^-6*I	-5.938945791827434*^-8+0.*I	0.+2.921867035418635*^-6*I
-3.756073148662694*^-6+0.*I	0.+0.0001795152865332844*I	0.000011762328319607599+0.*I	0.+0.00035047536166658947*I	-2.9321755973133877*^-6+0.*I	0.+0.0005766252450990355*I	0.000020010237406125547+0.*I	0.+0.0008012197583266698*I	5.744036088617512*^-6+0.*I	0.+0.0011180508469380895*I	0.000020223784681128667+0.*I	0.+0.0015032983939569202*I	0.000018618598401558455+0.*I	0.+0.0020433681747905716*I	0.00002402853511012305+0.*I	0.+0.0028166166034648012*I	0.00002821674800527465+0.*I	0.+0.0040039996739345655*I	0.0000332831575965069+0.*I	0.+0.005977436774597106*I	0.00003954392380079526+0.*I	0.+0.009641922662980537*I	0.000045658509891821706+0.*I	0.+0.017706411027190335*I	0.00006116907592293901+0.*I	0.+0.041943547864964056*I	0.0000662993046679179+0.*I	0.+0.21166407848972305*I	-0.499874649650464+0.*I	0.-0.6371316301827804*I	-0.49989553504063544+0.*I	0.+0.21157670325413602*I	0.00007840567761902199+0.*I	0.+0.04176496011656797*I	0.00004911748948587399+0.*I	0.+0.017428534743310374*I	0.00004209694439864144+0.*I	0.+0.009251608622643449*I	0.00003108008846207682+0.*I	0.+0.005454969791539159*I	0.000023236704900007606+0.*I	0.+0.003320691923861849*I	0.000016113274835332985+0.*I	0.+0.0019307804621814559*I	9.476629556974452*^-6+0.*I	0.+0.000893106321097394*I	3.1287548660774434*^-6+0.*I
0.+0.00008524302544964113*I	8.646698568774256*^-6+0.*I	0.+0.0002265847954926875*I	-4.574191476571158*^-6+0.*I	0.+0.0004187063478946415*I	0.000017953211042520474+0.*I	0.+0.0005957695004957311*I	3.354994228222424*^-6+0.*I	0.+0.0008453627644520664*I	0.000017499226244654958+0.*I	0.+0.0011320963624242286*I	0.000015489840011736964+0.*I	0.+0.0015214638789394358*I	0.000020405228164004056+0.*I	0.+0.0020516305460160644*I	0.00002396914152432635+0.*I	0.+0.0028195384747828622*I	0.000028216750530811676+0.*I	0.+0.004001077802856481*I	0.00003334254905039292+0.*I	0.+0.005969174399898573*I	0.000037757294235435954+0.*I	0.+0.009623757172868924*I	0.000050392448971736424+0.*I	0.+0.017692365520600856*I	0.00004941388486552253+0.*I	0.+0.041899404857088596*I	0.00008295454822181706+0.*I	0.+0.21164493423350456*I	-0.4998955350409097+0.*I	0.-0.6371998611643195*I	-0.4998791985246763+0.*I	0.+0.21152963373945646*I	0.00006600290666848555+0.*I	0.+0.04167971709119882*I	0.000052873563800460176+0.*I	0.+0.017334262477805715*I	0.000038981314862195234+0.*I	0.+0.00912771805310543*I	0.00002943808453960563+0.*I	0.+0.005297050889135506*I	0.000021179681501328306+0.*I	0.+0.0031152416658332197*I	0.000013724229275688342+0.*I	0.+0.0016580923805214545*I	6.7520583645508334*^-6+0.*I	0.+0.0005219042907274873*I
0.000012402771170541034+0.*I	0.+0.00013231252763352483*I	-7.6898167649307*^-6+0.*I	0.+0.0002948157821586032*I	0.000016311205327995153+0.*I	0.+0.0004378505979765375*I	1.2979613724406377*^-6+0.*I	0.+0.000639912501153147*I	0.000015110175561839158+0.*I	0.+0.0008594082804553244*I	0.000012765285394273403+0.*I	0.+0.001150261855358691*I	0.000017276473990895255+0.*I	0.+0.0015297262525037468*I	0.000020345839236246424+0.*I	0.+0.002054552417812864*I	0.000023969140446690885+0.*I	0.+0.002816616602289105*I	0.000028276136642425668+0.*I	0.+0.003992815434192763*I	0.00003155591505290761+0.*I	0.+0.005951008915651693*I	0.00004249123282912745+0.*I	0.+0.009609711657759791*I	0.00003863727203355396+0.*I	0.+0.017648222509617992*I	0.00006606913303220895+0.*I	0.+0.04188026060436781*I	0.00006206916171798279+0.*I	0.+0.21157670325169758*I	-0.4998791985251861+0.*I	0.-0.6372469306739253*I	-0.4998916012932048+0.*I	0.+0.21144439072406676*I	0.00006975897482550936+0.*I	0.+0.041585444827470126*I	0.00004975793160988238+0.*I	0.+0.017210371910565608*I	0.00003733930015466363+0.*I	0.+0.008969799151875473*I	0.000027381060937597085+0.*I	0.+0.005091600630120352*I	0.000018790634993351698+0.*I	0.+0.0028425535817638084*I	0.000010999665709336358+0.*I	0.+0.0012868903500283908*I	3.623308324818275*^-6+0.*I
0.+0.00004706951426210193*I	-3.933742461958147*^-6+0.*I	0.+0.00020054351284995442*I	0.000013195572412981264+0.*I	0.+0.0003139600339577414*I	-3.4404551603083025*^-7+0.*I	0.+0.0004819936016757509*I	0.000013053152682147797+0.*I	0.+0.0006539580236663983*I	0.000010376241651153152+0.*I	0.+0.0008775737700279784*I	0.000014551910495904088+0.*I	0.+0.0011585242223034892*I	0.000017217082431090296+0.*I	0.+0.0015326481204253617*I	0.00002034583712264295+0.*I	0.+0.0020516305454783973*I	0.00002402853549264586+0.*I	0.+0.002808354226770518*I	0.000026489505214996144+0.*I	0.+0.003974649947893011*I	0.00003628986616815021+0.*I	0.+0.005936963388908201*I	0.00003073604724414458+0.*I	0.+0.009565568652202233*I	0.000055292513379166325+0.*I	0.+0.017629078258938172*I	0.00004518374383114401+0.*I	0.+0.041812029628476924*I	0.00007840568114735684+0.*I	0.+0.2115296337433039*I	-0.4998916012971711+0.*I	0.-0.6373321737005397*I	-0.49988784522204716+0.*I	0.+0.211350118452709*I	0.00006664334709511031+0.*I	0.+0.04146155426664081*I	0.000048115926066646953+0.*I	0.+0.017052453004684085*I	0.000035282272474023086+0.*I	0.+0.008764348891347404*I	0.00002499201126150767+0.*I	0.+0.004818912545435185*I	0.000016066074807373896+0.*I	0.+0.0024713515528489993*I	7.870909838956906*^-6+0.*I	0.+0.0007649860613370349*I
-0.00001633651891499597+0.*I	0.+0.00011530049327551715*I	0.000016951650887156734+0.*I	0.+0.00021968776962963483*I	-3.459676740825171*^-6+0.*I	0.+0.00035810304099395803*I	0.000011411139280561778+0.*I	0.+0.0004960391187995059*I	8.319210924370502*^-6+0.*I	0.+0.0006721235053861171*I	0.000012162866770864613+0.*I	0.+0.0008858361431481716*I	0.000014492518638628197+0.*I	0.+0.0011614460872508968*I	0.000017217084254583712+0.*I	0.+0.0015297262525853625*I	0.000020405226004504155+0.*I	0.+0.0020433681756250517*I	0.00002224190125415598+0.*I	0.+0.002790188739016408*I	0.00003122345170622849+0.*I	0.+0.003960604429466087*I	0.00002453466765433469+0.*I	0.+0.005892820391967026*I	0.0000473912957480584+0.*I	0.+0.009546424404314453*I	0.000034407123296945405+0.*I	0.+0.017560847269427096*I	0.00006152026243419313+0.*I	0.+0.04176496011175537*I	0.00006600290040175871+0.*I	0.+0.2114443907228586*I	-0.4998878452200731+0.*I	0.-0.637426445959354*I	-0.49989096085689727+0.*I	0.+0.21122622788997483*I	0.00006500133612892967+0.*I	0.+0.04130363535994251*I	0.00004605890187676722+0.*I	0.+0.016847002750715726*I	0.000032893230535502456+0.*I	0.+0.008491660812499397*I	0.000022267446713265115+0.*I	0.+0.004447710521184776*I	0.000012937318321809966+0.*I	0.+0.0019494472533042127*I	4.247602008122797*^-6+0.*I
0.+0.00006823097991195959*I	4.548876434390241*^-6+0.*I	0.+0.00013444474531130318*I	2.963993778976423*^-7+0.*I	0.+0.0002638307689068267*I	8.295508763353472*^-6+0.*I	0.+0.00037214855685807624*I	6.677200493993587*^-6+0.*I	0.+0.0005142046037343584*I	0.00001010583861864751+0.*I	0.+0.000680385884521427*I	0.000012103477688936654+0.*I	0.+0.0008887580058849417*I	0.000014492519189862895+0.*I	0.+0.0011585242286350841*I	0.000017276475799901047+0.*I	0.+0.0015214638757745577*I	0.000018618596548566683+0.*I	0.+0.0020252026897147127*I	0.000026975846320481176+0.*I	0.+0.0027761432178049703*I	0.000019468262147501654+0.*I	0.+0.003916461430586007*I	0.00004118992247074856+0.*I	0.+0.005873676130774601*I	0.000026505907563078398+0.*I	0.+0.009478193423310834*I	0.00005074363847098227+0.*I	0.+0.017513777759805862*I	0.00004911749216952801+0.*I	0.+0.041679717096562305*I	0.00006975897646592456+0.*I	0.+0.21135011845037466*I	-0.49989096085511103+0.*I	0.-0.6375503365228911*I	-0.4998926028655691+0.*I	0.+0.21106830898896417*I	0.00006294431049309392+0.*I	0.+0.04109818510128734*I	0.00004366984668732131+0.*I	0.+0.01657431466123301*I	0.00003016867039331891+0.*I	0.+0.008120458787811605*I	0.000019138693432438998+0.*I	0.+0.003925806219946919*I	9.314009682629924*^-6+0.*I	0.+0.001184461206730783*I
0.000020885392730639737+0.*I	0.+0.00008737523288988554*I	-0.000012106373925110746+0.*I	0.+0.00017858774979219626*I	0.000012051585857010559+0.*I	0.+0.00027787629314168994*I	3.5615617396918126*^-6+0.*I	0.+0.0003903140415957089*I	8.46383512135698*^-6+0.*I	0.+0.0005224669771367886*I	0.000010046444251080294+0.*I	0.+0.00068330775144135*I	0.000012103475260845655+0.*I	0.+0.0008858361385204508*I	0.000014551906862154764+0.*I	0.+0.0011502618562566113*I	0.000015489848807087083+0.*I	0.+0.0015032983903634598*I	0.000023352535301673003+0.*I	0.+0.0020111571648034035*I	0.000015220662891824196+0.*I	0.+0.0027320002197117775*I	0.00003612350819780743+0.*I	0.+0.0038973171724915*I	0.000020304528600702117+0.*I	0.+0.005805445155897363*I	0.00004284241971344582+0.*I	0.+0.009431123907400555*I	0.00003834087139761799+0.*I	0.+0.01742853473715801*I	0.000052873556820573936+0.*I	0.+0.04158544483147506*I	0.00006664335004075734+0.*I	0.+0.21122622788901377*I	-0.49989260286154147+0.*I	0.-0.6377082554326089*I	-0.49989465988625476+0.*I	0.+0.21086285872884455*I	0.00006055526532020773+0.*I	0.+0.040825497019932336*I	0.0000409452879509325+0.*I	0.+0.016203112641172752*I	0.000027039909532083+0.*I	0.+0.0075985544926433736*I	0.000015515388066224442+0.*I	0.+0.00316082016162984*I	5.06640346298326*^-6+0.*I
0.+0.00001914425263450925*I	4.230139503847841*^-6+0.*I	0.+0.00013151822847960737*I	-3.5118507049094746*^-7+0.*I	0.+0.00019263327442890776*I	7.3176421626018934*^-6+0.*I	0.+0.0002960417705862098*I	5.348197586338113*^-6+0.*I	0.+0.0003985764189810906*I	8.404436522934197*^-6+0.*I	0.+0.0005253888435552204*I	0.000010046451003773654+0.*I	0.+0.0006803858778616986*I	0.000012162865209139475+0.*I	0.+0.0008775737660771527*I	0.00001276528058718041+0.*I	0.+0.0011320963694639377*I	0.000020223783874495918+0.*I	0.+0.0014892528680921155*I	0.000011597356586473566+0.*I	0.+0.001967014171912862*I	0.00003187590683761303+0.*I	0.+0.002712855965980601*I	0.000015238121946129429+0.*I	0.+0.0038290861932630885*I	0.00003664104737298312+0.*I	0.+0.005758375637136284*I	0.000030439648605549563+0.*I	0.+0.009345880894904339*I	0.00004209693712646161+0.*I	0.+0.017334262469336875*I	0.000049757934699050904+0.*I	0.+0.0414615542648739*I	0.00006500133605656185+0.*I	0.+0.2110683089885659*I	-0.49989465988950105+0.*I	0.-0.6379137056883244*I	-0.4998970489415435+0.*I	0.+0.21059017063903063*I	0.0000578307024744008+0.*I	0.+0.04045429499598792*I	0.0000378165352430962+0.*I	0.+0.015681208343018*I	0.000023416606272609014+0.*I	0.+0.0068335684359275214*I	0.000011267781249055576+0.*I	0.+0.0019763589571688*I
-0.00001665524544563856+0.*I	0.+0.00006328725723719082*I	0.000015985326046164192+0.*I	0.+0.00014556375679963842*I	-5.085129195399353*^-6+0.*I	0.+0.00021079875201158966*I	9.104273150000329*^-6+0.*I	0.+0.0003043041507923689*I	5.288804532012301*^-6+0.*I	0.+0.000401498285013068*I	8.404438866821684*^-6+0.*I	0.+0.0005224669786371061*I	0.000010105834489844727+0.*I	0.+0.0006721235107876733*I	0.00001037624058690509+0.*I	0.+0.0008594082810773277*I	0.000017499220769983942+0.*I	0.+0.0011180508454066648*I	8.46860098820545*^-6+0.*I	0.+0.0014451098762415634*I	0.000028252597435916463+0.*I	0.+0.0019478699106262368*I	0.000010990521989796718+0.*I	0.+0.002644624983638053*I	0.00003157463277358725+0.*I	0.+0.00378201667663287*I	0.000024238273083818627+0.*I	0.+0.005673132625141116*I	0.000034195719465726376+0.*I	0.+0.009251608620315096*I	0.000038981313901064414+0.*I	0.+0.017210371915751088*I	0.000048115919284932996+0.*I	0.+0.041303635353087724*I	0.0000629443159644552+0.*I	0.+0.2108628587270559*I	-0.49989704892884707+0.*I	0.-0.6381863937731056*I	-0.4998997734968249+0.*I	0.+0.21021896861434725*I	0.000054701948653666056+0.*I	0.+0.039932390697792655*I	0.000034193226501661275+0.*I	0.+0.014916222285468041*I	0.00001916899810975094+0.*I	0.+0.005649107235612061*I	6.201381968939934*^-6+0.*I
0.+0.000044143003165984795*I	-4.9000651068447825*^-6+0.*I	0.+0.00007733277342589912*I	0.000011251384985319909+0.*I	0.+0.00016372924135527045*I	-3.298492786059496*^-6+0.*I	0.+0.0002190611259272196*I	9.04488258902392*^-6+0.*I	0.+0.0003072260155045983*I	5.288807663766458*^-6+0.*I	0.+0.00039857642288240736*I	8.463829261128309*^-6+0.*I	0.+0.0005142045986450475*I	8.319211060852226*^-6+0.*I	0.+0.0006539580212669011*I	0.0000151101740414131+0.*I	0.+0.0008453627605247774*I	5.744035088947784*^-6+0.*I	0.+0.0010739078488341755*I	0.0000251238473921812+0.*I	0.+0.0014259656214430858*I	7.367215342357274*^-6+0.*I	0.+0.0018796389302849076*I	0.000027327029426809057+0.*I	0.+0.0025975554688782154*I	0.000019171868649144513+0.*I	0.+0.0036967736615058505*I	0.00002799434748226846+0.*I	0.+0.005578860359975443*I	0.0000310800885835715+0.*I	0.+0.009127718057744025*I	0.00003733930114789864+0.*I	0.+0.01705245300683848*I	0.00004605889876097994+0.*I	0.+0.04109818510152577*I	0.000060555264042736804+0.*I	0.+0.21059017064240612*I	-0.4998997735013817+0.*I	0.-0.638557595796789*I	-0.4999029022513962+0.*I	0.+0.20969706432367685*I	0.00005107864078426586+0.*I	0.+0.039167404643357*I	0.000029945627468590618+0.*I	0.+0.013731761074474921*I	0.00001410259723661563+0.*I	0.+0.0036727482613099077*I
0.000011755184662450507+0.*I	0.+0.00005818852289860538*I	-9.634002183818379*^-6+0.*I	0.+0.00009549826166821088*I	0.000013038015060575179+0.*I	0.+0.0001719916134977203*I	-3.3578862430036175*^-6+0.*I	0.+0.00022198299546282528*I	9.0448812264851*^-6+0.*I	0.+0.0003043041490546161*I	5.348197849945051*^-6+0.*I	0.+0.0003903140475462577*I	6.6771967806411836*^-6+0.*I	0.+0.00049603911920106*I	0.000013053158591197173+0.*I	0.+0.0006399124997675979*I	3.3549896629140197*^-6+0.*I	0.+0.0008012197624160649*I	0.000022399280336760882+0.*I	0.+0.0010547635918654844*I	4.238456736284941*^-6+0.*I	0.+0.0013577346359795483*I	0.000023703731873547826+0.*I	0.+0.0018325694165480192*I	0.000014924261889777593+0.*I	0.+0.0025123124509410094*I	0.000022927938036120177+0.*I	0.+0.0036025013959506127*I	0.000024878712419143733+0.*I	0.+0.0054549697933923905*I	0.000029438081239030438+0.*I	0.+0.008969799152703527*I	0.000035282276124407666+0.*I	0.+0.016847002744325254*I	0.00004366985337133862+0.*I	0.+0.04082549701646363*I	0.000057830706026581986+0.*I	0.+0.2102189686160656*I	-0.4999029022504079+0.*I	0.-0.6390795000940377*I	-0.4999065255593633+0.*I	0.+0.2089320782655211*I	0.000046831040122476386+0.*I	0.+0.037982943436176225*I	0.000024879216205788533+0.*I	0.+0.011755402120689502*I	7.901219930883663*^-6+0.*I
0.+0.000014045523695542517*I	7.02124155076769*^-6+0.*I	0.+0.00007635400673221271*I	-7.847376090745106*^-6+0.*I	0.+0.00010376064031391435*I	0.000012978627045489742+0.*I	0.+0.00017491348144672847*I	-3.3578895770372282*^-6+0.*I	0.+0.00021906112941121048*I	9.104275634276575*^-6+0.*I	0.+0.0002960417751652414*I	3.561567476868534*^-6+0.*I	0.+0.00037214856018238235*I	0.000011411142439746924+0.*I	0.+0.00048199359661881686*I	1.2979679656426691*^-6+0.*I	0.+0.0005957695043959377*I	0.00002001023755306689+0.*I	0.+0.0007820755073381855*I	1.513894468953587*^-6+0.*I	0.+0.000986532611885832*I	0.000020574970559559103+0.*I	0.+0.0013106651265043234*I	0.000011300952982241646+0.*I	0.+0.001747326392113703*I	0.00001868033996227369+0.*I	0.+0.0024180401891142206*I	0.000019812313096831677+0.*I	0.+0.003478610830301071*I	0.000023236704141345958+0.*I	0.+0.005297050887903852*I	0.000027381056039072424+0.*I	0.+0.008764348896091144*I	0.000032893231104389543+0.*I	0.+0.016574314660192418*I	0.00004094528507275252+0.*I	0.+0.040454294991044505*I	0.000054701948416401936+0.*I	0.+0.2096970643239182*I	-0.4999065255595987+0.*I	0.-0.6398444861491627*I	-0.49991077316097066+0.*I	0.+0.20774761705754508*I	0.000041764637012587775+0.*I	0.+0.03600658447103624*I	0.000018677843004357233+0.*I	0.+0.008082653849127042*I
-4.73394542065635*^-6+0.*I	0.+0.000032211003120285335*I	8.807876529376112*^-6+0.*I	0.+0.000084616383502868*I	-7.906764672774369*^-6+0.*I	0.+0.00010668250197808363*I	0.00001297862630221591+0.*I	0.+0.00017199161271254251*I	-3.2984969422986697*^-6+0.*I	0.+0.00021079875507198445*I	7.317643348659842*^-6+0.*I	0.+0.000277876295410425*I	8.295513095651093*^-6+0.*I	0.+0.00035810303309549056*I	-3.440473034791358*^-7+0.*I	0.+0.0004378505965450493*I	0.0000179532155118946+0.*I	0.+0.0005766252476257805*I	-8.751509807045969*^-7+0.*I	0.+0.0007138445281515843*I	0.000017850409394405238+0.*I	0.+0.0009394630933957236*I	8.172200713285397*^-6+0.*I	0.+0.001225422102601359*I	0.000015057028190986622+0.*I	0.+0.0016530541351311827*I	0.00001556470424745087+0.*I	0.+0.002294149621200083*I	0.00001817030036345676+0.*I	0.+0.0033206919269708783*I	0.000021179673643415303+0.*I	0.+0.00509160062521516*I	0.000024992019014377123+0.*I	0.+0.008491660813046453*I	0.000030168665806688333+0.*I	0.+0.016203112632598275*I	0.00003781653676333395+0.*I	0.+0.03993239070131741*I	0.0000510786429962975+0.*I	0.+0.20893207826526103*I	-0.4999107731600254+0.*I	0.-0.6410289473576893*I	-0.4999158395688878+0.*I	0.+0.20577125809634106*I	0.000035563256929624696+0.*I	0.+0.032333836205511404*I	0.000010776615283702995+0.*I
0.+0.000018165488029520116*I	-2.9473018299829185*^-6+0.*I	0.+0.00004047338069740336*I	8.74848048801409*^-6+0.*I	0.+0.0000875382489990903*I	-7.906767559314198*^-6+0.*I	0.+0.00010376063784465345*I	0.000013038019598030589+0.*I	0.+0.0001637292365773771*I	-5.085130244635955*^-6+0.*I	0.+0.00019263326895992833*I	0.000012051585526369445+0.*I	0.+0.00026383077291430856*I	-3.4596720009933936*^-6+0.*I	0.+0.00031396003690840196*I	0.000016311206480666156+0.*I	0.+0.0004187063477008729*I	-2.932176313170896*^-6+0.*I	0.+0.0005083942652275783*I	0.000015461364959937163+0.*I	0.+0.0006667750061379735*I	5.4476369325537206*^-6+0.*I	0.+0.0008542200821750612*I	0.000011928272856450608+0.*I	0.+0.001131149834924343*I	0.000011941396912573046+0.*I	0.+0.0015291635727656058*I	0.000013922693455003137+0.*I	0.+0.002136230719041926*I	0.000016113274812268407+0.*I	0.+0.0031152416580616724*I	0.00001879063214246637+0.*I	0.+0.004818912543805648*I	0.000022267449763856958+0.*I	0.+0.00812045878718097*I	0.000027039915019441886+0.*I	0.+0.01568120834070029*I	0.00003419322808704693+0.*I	0.+0.03916740464399031*I	0.000046831038314141816+0.*I	0.+0.2077476170609306*I	-0.4999158395744298+0.*I	0.-0.6430053063223017*I	-0.49992204094479514+0.*I	0.+0.20209850983626404*I	0.00002766203488604317+0.*I	0.+0.02425118235713894*I
1.7866313469297457*^-6+0.*I	0.+0.0000264278597979558*I	-3.006697363628491*^-6+0.*I	0.+0.00004339524984663088*I	8.748480424900645*^-6+0.*I	0.+0.00008461638164342668*I	-7.84737188034082*^-6+0.*I	0.+0.00009549825938115536*I	0.000011251382493252665+0.*I	0.+0.00014556375542027224*I	-3.511822907614759*^-7+0.*I	0.+0.0001785877523766061*I	2.9639476846823887*^-7+0.*I	0.+0.00021968776644469058*I	0.000013195571800496408+0.*I	0.+0.00029481577903402666*I	-4.574186870397873*^-6+0.*I	0.+0.00035047536447834355*I	0.000013404343249204947+0.*I	0.+0.00046132475224372374*I	3.05858729351266*^-6+0.*I	0.+0.0005815319893025296*I	9.203708762034468*^-6+0.*I	0.+0.0007599478089312002*I	8.812640006260197*^-6+0.*I	0.+0.001007259278532658*I	0.000010299393697541653+0.*I	0.+0.001371244660997072*I	0.000011865668279004843+0.*I	0.+0.0019307804586403286*I	0.000013724230626975531+0.*I	0.+0.0028425535803087015*I	0.00001606607041448882+0.*I	0.+0.004447710519134529*I	0.00001913869225974793+0.*I	0.+0.00759855448901836*I	0.000023416600718511454+0.*I	0.+0.014916222289226802*I	0.000029945628503707383+0.*I	0.+0.03798294343553917*I	0.00004176462964689334+0.*I	0.+0.20577125809993355*I	-0.4999220409401628+0.*I	0.-0.6466780545870607*I	-0.49992994216969433+0.*I	0.+0.1940158559798259*I	0.000016885416224021732+0.*I
0.+8.262375524203946*^-6*I	1.7272458278929155*^-6+0.*I	0.+0.00002934972880323794*I	-3.00670686728575*^-6+0.*I	0.+0.00004047337426506953*I	8.8078736325253*^-6+0.*I	0.+0.00007635400696361094*I	-9.634000828131186*^-6+0.*I	0.+0.00007733277339318223*I	0.00001598532583077001+0.*I	0.+0.00013151823400624207*I	-0.000012106369324488735+0.*I	0.+0.00013444474960573605*I	0.00001695165164559889+0.*I	0.+0.00020054352167166167*I	-7.689817594714655*^-6+0.*I	0.+0.0002265847994590217*I	0.000011762329299065148+0.*I	0.+0.00030340584686033845*I	1.0015638857989952*^-6+0.*I	0.+0.0003760817323811422*I	6.814664121701839*^-6+0.*I	0.+0.00048725972606405987*I	6.088077564629131*^-6+0.*I	0.+0.0006360572494873012*I	7.170635981144092*^-6+0.*I	0.+0.0008493403728898549*I	8.242360025386978*^-6+0.*I	0.+0.0011657944035027568*I	9.476620288544164*^-6+0.*I	0.+0.001658092376117165*I	0.000010999659957956211+0.*I	0.+0.002471351554394291*I	0.000012937320350952215+0.*I	0.+0.003925806226352871*I	0.00001551538895654158+0.*I	0.+0.00683356842885699*I	0.000019169004458438412+0.*I	0.+0.01373176108164726*I	0.000024879218134512952+0.*I	0.+0.03600658447513708*I	0.00003556325411443006+0.*I	0.+0.20209850982809396*I	-0.4999299421643846+0.*I	0.-0.654760708433568*I	-0.49994071878697227+0.*I	0.+0.16976467363200642*I
-5.9388972822871366*^-8+0.*I	0.+0.00001118424617035815*I	1.7272392208722565*^-6+0.*I	0.+0.0000264278601389344*I	-2.9473120063960856*^-6+0.*I	0.+0.000032211009202468046*I	7.0212451390647135*^-6+0.*I	0.+0.000058188523840268024*I	-4.900057334000785*^-6+0.*I	0.+0.00006328725520748904*I	4.230140732086607*^-6+0.*I	0.+0.00008737523517260913*I	4.548873569903966*^-6+0.*I	0.+0.00011530049844723697*I	-3.933743696664382*^-6+0.*I	0.+0.00013231253037093943*I	8.646697717801244*^-6+0.*I	0.+0.00017951528170030392*I	-6.404396650644406*^-7+0.*I	0.+0.00021816282676544115*I	4.757634989374648*^-6+0.*I	0.+0.0002818094698766011*I	3.699037749556322*^-6+0.*I	0.+0.000363369165808735*I	4.4460699551024385*^-6+0.*I	0.+0.0004781383451202409*I	5.113605126623455*^-6+0.*I	0.+0.0006438901084308696*I	5.853322473804712*^-6+0.*I	0.+0.0008931063179804205*I	6.752059010503575*^-6+0.*I	0.+0.0012868903531098686*I	7.870909315157992*^-6+0.*I	0.+0.0019494472597270834*I	9.314010512885551*^-6+0.*I	0.+0.003160820171629829*I	0.000011267780172283248+0.*I	0.+0.00564910722550532*I	0.000014102599926367476+0.*I	0.+0.011755402120753598*I	0.00001867783594296235+0.*I	0.+0.03233383620340813*I	0.000027662037955247798+0.*I	0.+0.19401585598189025*I	-0.4999407187866021+0.*I	0.-0.6790118907900864*I	-0.4999576042006857+0.*I
0.+2.921867668703726*^-6*I	-5.939172388718692*^-8+0.*I	0.+8.262375638820596*^-6*I	1.7866271015340711*^-6+0.*I	0.+0.000018165482554594048*I	-4.733937056828677*^-6+0.*I	0.+0.000014045518865024587*I	0.00001175518699225737+0.*I	0.+0.000044143002950067234*I	-0.000016655248389847972+0.*I	0.+0.000019144250933349205*I	0.00002088538942227276+0.*I	0.+0.00006823098247021181*I	-0.000016336512214127776+0.*I	0.+0.00004706951632124645*I	0.000012402768674485846+0.*I	0.+0.00008524301890593805*I	-3.756075690442137*^-6+0.*I	0.+0.000094272266107788*I	3.115630146507294*^-6+0.*I	0.+0.00012389056498136874*I	1.6420071919579621*^-6+0.*I	0.+0.00015791890404660835*I	2.0570260715132725*^-6+0.*I	0.+0.0002054502616488929*I	2.3890509297942974*^-6+0.*I	0.+0.0002726880826030009*I	2.724566216256481*^-6+0.*I	0.+0.0003712020237848501*I	3.128747861233229*^-6+0.*I	0.+0.0005219043024973641*I	3.6233037075092444*^-6+0.*I	0.+0.0007649860529047522*I	4.24760403867539*^-6+0.*I	0.+0.001184461205723339*I	5.066409146085293*^-6+0.*I	0.+0.0019763589619231914*I	6.201378758653636*^-6+0.*I	0.+0.0036727482666961686*I	7.901219491469899*^-6+0.*I	0.+0.008082653850063501*I	0.000010776623521674931+0.*I	0.+0.024251182353501974*I	0.000016885416794119507+0.*I	0.+0.1697646736250201*I	-0.49995760420085006+0.*I	0.-0.8487765644118277*I
