0.0009493653808346106-2.4422508033659304*^-6*I	0.001997089848698943-4.930645106962564*^-6*I	0.0032675893452461056-7.515860650592002*^-6*I	0.004950816976653091-0.000010258714504081578*I	0.0073800954620287604-0.000013238324238108873*I	0.011210824164660531-0.00001656526250831275*I	0.017880139132518257-0.000020403529576073065*I	0.030919182381133777-0.000025004120010563017*I	0.06009350037868788-0.00003072825013270977*I	0.13573359656161996-0.000037860967461539713*I	0.3625358838327101-0.00004494952595433259*I	0.13580719212964215-0.0000383340226291859*I	0.06024305708423728-0.000031678010352246327*I	0.031149599154117462-0.00002643800116034795*I	0.018199205094945596-0.000022332953857723183*I	0.01162981128612002-0.000019006040218409573*I	0.007914669198154867-0.00001621120552480152*I	0.005622400918053494-0.000013790154824260337*I	0.0041054071882629115-0.000011639065154552158*I	0.003041256130692024-9.686988997963023*^-6*I	0.002255658332557465-7.883221479973942*^-6*I	0.0016474325013616337-6.189883969701969*^-6*I	0.0011538694903207626-4.57741291227356*^-6*I	0.0007334519298777515-3.0216818655309617*^-6*I	0.0003565560569427177-1.5020586633963725*^-6*I
0.0007254102230080816-2.1613055438590983*^-6*I	0.0015140852450380375-4.358041749421472*^-6*I	0.0024432677573137554-6.628603845430426*^-6*I	0.003624145402188825-9.017919313988384*^-6*I	0.00523809099791603-0.000011582437631144689*I	0.007612689031203385-0.000014397887540930525*I	0.011399394513136341-0.00001757215906862466*I	0.018032562593920366-0.000021267087340407555*I	0.03104132638477332-0.000025731885475720628*I	0.060189745134185284-0.000031326274906117474*I	0.13580719212964207-0.000038334022629185875*I	0.36258919578276216-0.00004530126140046146*I	0.13584186933096415-0.00003856708314616703*I	0.0602601428797131-0.000031794116650025415*I	0.03114959915411744-0.00002643800116034792*I	0.018182119299469737-0.000022216847559944068*I	0.011595134084797992-0.000018772979701428387*I	0.007861357248102847-0.000015859470078672645*I	0.005548805350031355-0.000013317099656614164*I	0.004009162432765528-0.000011041040381144465*I	0.0029191121270524915-8.959223532805427*^-6*I	0.0021032348711553708-7.019663715639481*^-6*I	0.001458862152885831-5.182987409390052*^-6*I	0.0009212759211461431-3.417849609451907*^-6*I	0.0004461779086148121-1.6979587384678554*^-6*I
0.0005647198642034267-1.9157909460555407*^-6*I	0.0011715881316228952-3.859264282326958*^-6*I	0.0018706413019807567-5.86010041281785*^-6*I	0.002730541778576695-7.952326972493539*^-6*I	0.0038567389713634417-0.000010177482616810029*I	0.0054266613463918294-0.000012589334191456596*I	0.007765112492605474-0.000015261445305264978*I	0.011521538516775872-0.000018299924533782257*I	0.018128807349417745-0.000021865112113815236*I	0.03111492195279544-0.000026204940643366775*I	0.060243057084237266-0.00003167801035224632*I	0.13584186933096412-0.000038567083146167027*I	0.36260628157823777-0.00004541736769824051*I	0.135841869330964-0.000038567083146166966*I	0.060243057084237196-0.00003167801035224625*I	0.03111492195279539-0.000026204940643366694*I	0.0181288073494177-0.000021865112113815154*I	0.011521538516775846-0.000018299924533782192*I	0.0077651124926054575-0.00001526144530526493*I	0.005426661346391817-0.000012589334191456557*I	0.0038567389713634313-0.000010177482616809991*I	0.002730541778576686-7.952326972493498*^-6*I	0.0018706413019807494-5.860100412817822*^-6*I	0.0011715881316228906-3.859264282326941*^-6*I	0.0005647198642034248-1.9157909460555327*^-6*I
0.00044617790861481297-1.6979587384678594*^-6*I	0.0009212759211461453-3.417849609451917*^-6*I	0.0014588621528858346-5.1829874093900686*^-6*I	0.0021032348711553777-7.019663715639499*^-6*I	0.0029191121270524954-8.959223532805445*^-6*I	0.004009162432765534-0.000011041040381144483*I	0.0055488053500313585-0.000013317099656614188*I	0.007861357248102852-0.00001585947007867267*I	0.011595134084798009-0.000018772979701428414*I	0.018182119299469758-0.000022216847559944095*I	0.031149599154117455-0.000026438001160347924*I	0.06026014287971309-0.000031794116650025394*I	0.13584186933096407-0.00003856708314616697*I	0.36258919578276194-0.00004530126140046137*I	0.13580719212964198-0.00003833402262918574*I	0.06018974513418518-0.00003132627490611734*I	0.031041326384773256-0.000025731885475720516*I	0.018032562593920325-0.00002126708734040745*I	0.011399394513136311-0.000017572159068624592*I	0.0076126890312033626-0.000014397887540930464*I	0.005238090997916012-0.000011582437631144633*I	0.00362414540218881-9.01791931398833*^-6*I	0.002443267757313745-6.628603845430388*^-6*I	0.001514085245038032-4.358041749421449*^-6*I	0.0007254102230080788-2.161305543859087*^-6*I
0.000356556056942718-1.5020586633963749*^-6*I	0.0007334519298777526-3.021681865530966*^-6*I	0.0011538694903207645-4.577412912273567*^-6*I	0.0016474325013616363-6.189883969701978*^-6*I	0.0022556583325574653-7.88322147997395*^-6*I	0.003041256130692024-9.686988997963023*^-6*I	0.0041054071882629115-0.000011639065154552162*I	0.0056224009180534966-0.000013790154824260342*I	0.007914669198154868-0.000016211205524801538*I	0.011629811286120017-0.00001900604021840958*I	0.018199205094945572-0.000022332953857723173*I	0.03114959915411743-0.000026438001160347907*I	0.060243057084237224-0.00003167801035224625*I	0.13580719212964193-0.00003833402262918575*I	0.36253588383270985-0.000044949525954332434*I	0.13573359656161982-0.00003786096746153956*I	0.06009350037868777-0.000030728250132709624*I	0.03091918238113369-0.000025004120010562895*I	0.017880139132518215-0.000020403529576072974*I	0.011210824164660498-0.00001656526250831265*I	0.007380095462028735-0.000013238324238108792*I	0.0049508169766530686-0.000010258714504081508*I	0.00326758934524609-7.515860650591951*^-6*I	0.0019970898486989324-4.930645106962532*^-6*I	0.0009493653808346062-2.442250803365915*^-6*I
0.0002872740212629396-1.3237231270631083*^-6*I	0.0005891496261173375-2.6616219662180253*^-6*I	0.0009220222783535549-4.0285784258428815*^-6*I	0.0013062929517228571-5.440970676608023*^-6*I	0.0017695765050011652-6.917649434859564*^-6*I	0.0023519030880548453-8.481246253381636*^-6*I	0.003114851698714161-0.000010160044165609183*I	0.004158719138314932-0.000011990800600681047*I	0.0056570781193755176-0.000014023215341241523*I	0.007931754993630703-0.000016327311822580623*I	0.011629811286120019-0.000019006040218409563*I	0.018182119299469748-0.000022216847559944068*I	0.031114921952795412-0.000026204940643366707*I	0.0601897451341852-0.00003132627490611736*I	0.13573359656161987-0.00003786096746153957*I	0.36243963907721277-0.00004435150118092475*I	0.1356114525579803-0.00003713320199638196*I	0.05994107691728569-0.000029864692368375164*I	0.0307306120326579-0.00002399722345025098*I	0.0176475455633436-0.00001924396627325132*I	0.01092355014339756-0.000015241539381249546*I	0.007023539405086018-0.000011736265574712421*I	0.004504639068038257-8.560755765613658*^-6*I	0.002702869481042666-5.600069704536421*^-6*I	0.0012716796256908545-2.7693395631034472*^-6*I
0.0002325935691746193-1.15956330282165*^-6*I	0.0004758443697387412-2.330619687375021*^-6*I	0.0007415730875194293-3.52517973055248*^-6*I	0.0010441662819930834-4.756343891000467*^-6*I	0.0014025377072202333-6.038995450015699*^-6*I	0.0018431720730232993-7.3907046025057166*^-6*I	0.0024052150381068628-8.832981699510499*^-6*I	0.0031495289000361792-0.000010393104682590362*I	0.004175804933790762-0.000012106906898460128*I	0.005657078119375511-0.000014023215341241501*I	0.007914669198154861-0.000016211205524801514*I	0.01159513408479799-0.00001877297970142837*I	0.018128807349417703-0.000021865112113815154*I	0.03104132638477324-0.0000257318854757205*I	0.06009350037868775-0.00003072825013270963*I	0.13561145255798027-0.00003713320199638197*I	0.36228721561581034-0.00004348794341659028*I	0.1354228822095045-0.00003612630543607003*I	0.05970848334811107-0.000028705129065553513*I	0.03044333801139496-0.000022673500323187863*I	0.017290989506400886-0.00001774190760985494*I	0.010477372234782751-0.000013543580642781686*I	0.006458819540882594-9.820474628656889*^-6*I	0.00377922884503018-6.399450221754574*^-6*I	0.0017535041002080603-3.1578189011705064*^-6*I
0.00018857034847580175-1.0068965603119132*^-6*I	0.00038501703057671117-2.023121067156105*^-6*I	0.0005979883733782708-3.0583851525326077*^-6*I	0.0008378178430168073-4.123204503960166*^-6*I	0.001117761850015217-5.22939905864662*^-6*I	0.0014558496572722515-6.390730896144567*^-6*I	0.0018778492743453177-7.623765119486889*^-6*I	0.0024223008335826956-8.949087997289599*^-6*I	0.0031495289000361792-0.000010393104682590359*I	0.004158719138314928-0.000011990800600681025*I	0.00562240091805349-0.000013790154824260326*I	0.007861357248102841-0.000015859470078672634*I	0.011521538516775842-0.000018299924533782196*I	0.01803256259392031-0.000021267087340407443*I	0.030919182381133697-0.0000250041200105629*I	0.05994107691728567-0.000029864692368375168*I	0.1354228822095045-0.00003612630543607003*I	0.36205462204663585-0.00004232838011376861*I	0.13513560818824152-0.00003480258230900692*I	0.05935192729116835-0.000027203070402157127*I	0.029997160102780154-0.000020975541584719994*I	0.016726269642197457-0.000015826116663799397*I	0.00975196201177467-0.000011382275098922597*I	0.005509454160047987-7.378223825290971*^-6*I	0.002507549219339325-3.630110658651127*^-6*I
0.0001524234614020918-8.635577643344556*^-7*I	0.00031071435211533165-1.7346620254695011*^-6*I	0.0004812617860740897-2.6211458405637894*^-6*I	0.0006715839414004061-3.531440320178766*^-6*I	0.000891129793068826-4.474939950089035*^-6*I	0.0011524390513372375-5.4624595756277965*^-6*I	0.0014729354527480846-6.506837193923667*^-6*I	0.0018778492743453197-7.623765119486899*^-6*I	0.002405215038106865-8.832981699510512*^-6*I	0.00311485169871416-0.000010160044165609188*I	0.004105407188262911-0.00001163906515455216*I	0.005548805350031356-0.000013317099656614171*I	0.007765112492605465-0.000015261445305264947*I	0.011399394513136315-0.00001757215906862461*I	0.017880139132518232-0.00002040352957607299*I	0.03073061203265792-0.000023997223450251003*I	0.059708483348111095-0.000028705129065553526*I	0.13513560818824158-0.000034802582309006945*I	0.3616980659896931-0.00004082632145037226*I	0.13468943027962677-0.00003310462357053908*I	0.05878720742696494-0.0000252872794561016*I	0.029271749879772067-0.00001881423604086091*I	0.01577690426136285-0.000013383865860433488*I	0.008480282386083818-8.612935535819152*^-6*I	0.0037559500598399282-4.2204049241204675*^-6*I
0.00012214400363952954-7.277654651575858*^-7*I	0.00024866821689947013-1.4615825377421374*^-6*I	0.00038430992013746616-2.2077171931156556*^-6*I	0.0005345737361261082-2.9728812866926566*^-6*I	0.0007062611427224244-3.7645008371599347*^-6*I	0.0009082155885446573-4.591046247868125*^-6*I	0.0011524390513372373-5.462459575627792*^-6*I	0.0014558496572722533-6.390730896144575*^-6*I	0.0018431720730233009-7.390704602505722*^-6*I	0.0023519030880548436-8.481246253381631*^-6*I	0.0030412561306920227-9.686988997963023*^-6*I	0.004009162432765531-0.000011041040381144465*I	0.005426661346391819-0.000012589334191456561*I	0.0076126890312033626-0.000014397887540930466*I	0.011210824164660505-0.000016565262508312662*I	0.01764754556334361-0.00001924396627325133*I	0.030443338011394972-0.000022673500323187876*I	0.05935192729116836-0.00002720307040215714*I	0.13468943027962677-0.00003310462357053908*I	0.36113334612548964-0.0000389105305043167*I	0.1339640200566187-0.000030943318026679974*I	0.05783784204613032-0.000022845028652735677*I	0.028000070254081213-0.000016044896477757464*I	0.014023400161154791-0.00001022604695926298*I	0.0059727331667444915-4.982824877168026*^-6*I
