0.-0.8487765225256327*I	-0.4999575990110733+0.*I	0.+0.16976479978158973*I	0.000016895809442847297+0.*I	0.+0.02425139424799907*I	0.000010792255432822301+0.*I	0.+0.00808295397330885*I	7.922143941440469*^-6+0.*I	0.+0.0036731401886707575*I	6.22765042483562*^-6+0.*I	0.+0.001976847408167326*I	5.098165310540265*^-6+0.*I	0.+0.0011850522594446555*I	4.2848800236785914*^-6+0.*I	0.+0.0007656868726284294*I	3.6666790154972462*^-6+0.*I	0.+0.000522724090109683*I	3.1773295563189343*^-6+0.*I	0.+0.00037215008415037446*I	2.777478047884309*^-6+0.*I	0.+0.00027378204778047194*I	2.4422299448513963*^-6+0.*I	0.+0.00020672250489214424*I	2.1550425640857828*^-6+0.*I	0.+0.0001593591395899084*I	1.9044729747279466*^-6+0.*I	0.+0.0001248818837478441*I	1.6823370028009926*^-6+0.*I	0.+0.00009911366915278253*I	1.4826092043482736*^-6+0.*I	0.+0.00007939282810203772*I	1.3007405694756888*^-6+0.*I	0.+0.00006396626279876249*I	1.1332153521945908*^-6+0.*I	0.+0.00005164487221272662*I	9.77258384486998*^-7+0.*I	0.+0.00004160014617170221*I	8.306319707214043*^-7+0.*I	0.+0.00003323990391989834*I	6.914953250379411*^-7+0.*I	0.+0.00002612997068227158*I	5.583001370923615*^-7+0.*I	0.+0.000019943335642025334*I	4.2971641124965175*^-7+0.*I	0.+0.000014426143773381976*I	3.0457246499834064*^-7+0.*I	0.+9.374190907386222*^-6*I	1.8181092574903995*^-7+0.*I	0.+4.616004502334932*^-6*I	6.044961100338554*^-8+0.*I
0.+0.00009911366908665156*I	3.164946196363287*^-6+0.*I	0.+0.0003033883810536725*I	6.370159763325209*^-6+0.*I	0.+0.000526713783333818*I	9.658417671292801*^-6+0.*I	0.+0.0007850811605271857*I	0.000013077906051520266+0.*I	0.+0.0011004633543812644*I	0.000016686015992868023+0.*I	0.+0.001505853342542674*I	0.000020554840950244184+0.*I	0.+0.0020547074033360185*I	0.00002477982009863015+0.*I	0.+0.0028403376116124214*I	0.000029494416505798213+0.*I	0.+0.004039816014808275*I	0.00003489715428149481+0.*I	0.+0.0060260376139274294*I	0.00004130661568973976+0.*I	0.+0.009703793807052814*I	0.00004928920913344711+0.*I	0.+0.017786747780374784*I	0.00006002101501105395+0.*I	0.+0.0420335260239147*I	0.00007673501354733727+0.*I	0.+0.21178895161457167*I	-0.4998811685700243+0.*I	0.-0.6370019970547912*I	-0.49988159828644135+0.*I	0.+0.21175458213512813*I	0.00007544242453713188+0.*I	0.+0.041963652382928256*I	0.00005785511972430278+0.*I	0.+0.01767901823089856*I	0.0000462322323092728+0.*I	0.+0.009554464111498526*I	0.0000373328300375926+0.*I	0.+0.005829679050571592*I	0.000029971964236966058+0.*I	0.+0.0037888653796422445*I	0.00002357305839579891+0.*I	0.+0.002524420292051176*I	0.000017805569082203463+0.*I	0.+0.0016596197503200199*I	0.000012456553102822471+0.*I	0.+0.0010120137763679126*I	7.374750589365754*^-6+0.*I	0.+0.0004805045526779827*I	2.4422299336553013*^-6+0.*I
1.4826092936911134*^-6+0.*I	0.+0.0001785064972163136*I	4.46568673749557*^-6+0.*I	0.+0.00036735464386782843*I	7.503375137458097*^-6+0.*I	0.+0.0005783586555678522*I	0.000010635676032231492+0.*I	0.+0.0008266813066891799*I	0.000013908538028790848+0.*I	0.+0.0011337032583761718*I	0.000017377511348411483+0.*I	0.+0.0015319833131662774*I	0.00002111314106625816+0.*I	0.+0.002074650738969394*I	0.0000252095365055148+0.*I	0.+0.002854763755336546*I	0.000029798989003633507+0.*I	0.+0.004049190205796663*I	0.000035078965214675024+0.*I	0.+0.006030653618373128*I	0.000041367065271032996+0.*I	0.+0.009703793807097053*I	0.00004922875958496663+0.*I	0.+0.017782131775850005*I	0.000059839204098069684+0.*I	0.+0.042024151832991914*I	0.00007643044105603958+0.*I	0.+0.2117745254707652*I	-0.499881598286428+0.*I	0.-0.6370219403904053*I	-0.4998821565866165+0.*I	0.+0.21172845216447816*I	0.00007475092918777231+0.*I	0.+0.041930412478943864*I	0.00005702448777641998+0.*I	0.+0.017637418084746666*I	0.00004525497396641288+0.*I	0.+0.00950281923928128*I	0.00003619961468625157+0.*I	0.+0.005765712787800675*I	0.000028671223664659846+0.*I	0.+0.0037094725515586153*I	0.000022090449118895242+0.*I	0.+0.0024253066228981726*I	0.00001612323213881397+0.*I	0.+0.0015347378665467387*I	0.000010552080107183905+0.*I	0.+0.0008526546368125747*I	5.219707986563721*^-6+0.*I	0.+0.00027378204780484973*I
0.+0.00007939282811050697*I	2.783349846499396*^-6+0.*I	0.+0.0002424727600366594*I	5.598902106723502*^-6+0.*I	0.+0.0004189995159895345*I	8.480633520455696*^-6+0.*I	0.+0.0006199588017707068*I	0.000011466308024280368+0.*I	0.+0.000859921210574413*I	0.000014600033333968682+0.*I	0.+0.001159833229090388*I	0.000017935811488072062+0.*I	0.+0.0015519266487848701*I	0.00002154285747203992+0.*I	0.+0.0020890768827687973*I	0.000025514108959455086+0.*I	0.+0.0028641379462376196*I	0.00002998079994085563+0.*I	0.+0.004053806210266159*I	0.00003513941481234831+0.*I	0.+0.006030653618364681*I	0.000041306615643362245+0.*I	0.+0.009699177802622647*I	0.00004904694866852681+0.*I	0.+0.017772757584906908*I	0.000059534631624210104+0.*I	0.+0.04200972568922537*I	0.00007600072463930642+0.*I	0.+0.21175458213517248*I	-0.49988215658662477+0.*I	0.-0.637048070361102*I	-0.49988284808183536+0.*I	0.+0.21169521226051766*I	0.00007392029713752491+0.*I	0.+0.04188881233282824*I	0.00005604722946005676+0.*I	0.+0.017585773212513894*I	0.00004412175859168684+0.*I	0.+0.00943885297648943*I	0.00003489887415537012+0.*I	0.+0.005686319959647191*I	0.000027188614313644317+0.*I	0.+0.0036103588824608402*I	0.00002040811224937295+0.*I	0.+0.0023004247391287596*I	0.00001421875908813819+0.*I	0.+0.0013753787269241771*I	8.397037604316817*^-6+0.*I	0.+0.0006459321319008705*I	2.7774779677885617*^-6+0.*I
1.3007406531632894*^-6+0.*I	0.+0.00014335909092698238*I	3.9165650970603806*^-6+0.*I	0.+0.00029411763222092366*I	6.576160555641684*^-6+0.*I	0.+0.0004605996622077084*I	9.311265408056948*^-6+0.*I	0.+0.0006531987056846837*I	0.000012157803432302593+0.*I	0.+0.0008860511812544115*I	0.000015158333416291015+0.*I	0.+0.0011797765647179159*I	0.000018365527971546912+0.*I	0.+0.001566352792540704*I	0.000021847429866198853+0.*I	0.+0.002098451073702802*I	0.000025695919959858228+0.*I	0.+0.0028687539507385343*I	0.000030041249466407837+0.*I	0.+0.004053806210311614*I	0.00003507896525691565+0.*I	0.+0.006026037613847939*I	0.00004112480468379902+0.*I	0.+0.009689803611689786*I	0.00004874237622269796+0.*I	0.+0.01775833144108384*I	0.00005910491520411447+0.*I	0.+0.04198978235365465*I	0.0000754424245349306+0.*I	0.+0.21172845216441005*I	-0.499882848081887+0.*I	0.-0.637081310264918*I	-0.4998836787139221+0.*I	0.+0.21165361211429676*I	0.00007294303883582824+0.*I	0.+0.041837167460653794*I	0.000054914014094212034+0.*I	0.+0.01752180694968742*I	0.000042821018025346205+0.*I	0.+0.009359460148427663*I	0.00003341626489117807+0.*I	0.+0.005587206290494034*I	0.000025506277428561694+0.*I	0.+0.003485476998695348*I	0.000018503639187055676+0.*I	0.+0.0021410655994990166*I	0.000012063716590005246+0.*I	0.+0.001168656222147173*I	5.9548075690580065*^-6+0.*I	0.+0.00037215008405777676*I
0.+0.00006396626282651837*I	2.433955907717412*^-6+0.*I	0.+0.0001950039630697294*I	4.893823549508732*^-6+0.*I	0.+0.00033571777846039296*I	7.40679245777207*^-6+0.*I	0.+0.0004938395660649636*I	0.000010002760803604285+0.*I	0.+0.0006793286764383579*I	0.000012716103489669613+0.*I	0.+0.0009059945168638033*I	0.000015588049910118712+0.*I	0.+0.0011942027084808837*I	0.00001867010031636714+0.*I	0.+0.0015757269834738418*I	0.000022029240945154662+0.*I	0.+0.0021030670782056483*I	0.000025756369457998184+0.*I	0.+0.0028687539507315034*I	0.000029980799982820433+0.*I	0.+0.004049190205778591*I	0.000034897154239660304+0.*I	0.+0.006016663422945887*I	0.00004082023232455349+0.*I	0.+0.009675377467888963*I	0.000048312659697106696+0.*I	0.+0.017738388105509574*I	0.00005854661511343375+0.*I	0.+0.041963652382920484*I	0.00007475092917766373+0.*I	0.+0.21169521226060733*I	-0.4998836787139174+0.*I	0.-0.63712291041126*I	-0.4998846559722549+0.*I	0.+0.21160196724218505*I	0.00007180982350644608+0.*I	0.+0.041773201197794284*I	0.000053613273510183804+0.*I	0.+0.017442414121631146*I	0.00004133840874764657+0.*I	0.+0.009260346479256722*I	0.00003173392790610489+0.*I	0.+0.005462324406743062*I	0.000023601804442921733+0.*I	0.+0.003326117859046108*I	0.000016348596609110612+0.*I	0.+0.0019343430946615696*I	9.621486622425564*^-6+0.*I	0.+0.0008948741742772114*I	3.1773295662152607*^-6+0.*I
1.1332152674173535*^-6+0.*I	0.+0.00011561113500884591*I	3.4112143738419457*^-6+0.*I	0.+0.00023660410924934426*I	5.724455458446838*^-6+0.*I	0.+0.0003689576823752315*I	8.09828785942826*^-6+0.*I	0.+0.0005199695367973858*I	0.000010561060893186567+0.*I	0.+0.0006992720120086483*I	0.000013145819974042438+0.*I	0.+0.000920420660660157*I	0.000015892622276802654+0.*I	0.+0.001203576899412595*I	0.000018851911368696954+0.*I	0.+0.0015803429879656336*I	0.000022089690379200325+0.*I	0.+0.002103067078207033*I	0.00002569591995965215+0.*I	0.+0.0028641379462339997*I	0.000029798988952881584+0.*I	0.+0.004039816014907673*I	0.000034592581831014287+0.*I	0.+0.006002237279116697*I	0.00004039051583386772+0.*I	0.+0.009655434132330665*I	0.0000477543596610013+0.*I	0.+0.01771225813478205*I	0.000057855119712630726+0.*I	0.+0.04193041247903785*I	0.00007392029723443075+0.*I	0.+0.2116536121143*I	-0.49988465597228665+0.*I	0.-0.6371745552833505*I	-0.4998857891875561+0.*I	0.+0.21153800097934783*I	0.00007050908289736904+0.*I	0.+0.04169380836973728*I	0.000052130664247144136+0.*I	0.+0.01734330045246149*I	0.00003965607182141315+0.*I	0.+0.009135464595510057*I	0.000029829454909159477+0.*I	0.+0.005302965267133638*I	0.000021446761913172057+0.*I	0.+0.0031193953541802685*I	0.000013906366643091303+0.*I	0.+0.0016605610468536126*I	6.844008586099702*^-6+0.*I	0.+0.0005227240901608582*I
0.+0.00005164487216832834*I	2.1104736946315643*^-6+0.*I	0.+0.00015721128119876643*I	4.241846278661357*^-6+0.*I	0.+0.00026984401318814745*I	6.4159508397615785*^-6+0.*I	0.+0.0003950876530563833*I	8.65658793533248*^-6+0.*I	0.+0.0005399128723957618*I	0.000010990777372357087+0.*I	0.+0.0007136981557907118*I	0.000013450392360367432+0.*I	0.+0.0009297948515934354*I	0.000016074433302985003+0.*I	0.+0.0012081929038971976*I	0.000018912360888655732+0.*I	0.+0.0015803429880048374*I	0.00002202924087893973+0.*I	0.+0.002098451073689628*I	0.000025514108966702615+0.*I	0.+0.0028547637553554715*I	0.000029494416578506644+0.*I	0.+0.004025389871039194*I	0.000034162865368423115+0.*I	0.+0.005982293943581518*I	0.00003983221574392314+0.*I	0.+0.009629304161554247*I	0.00004706286430032695+0.*I	0.+0.017679018230917935*I	0.000057024487777526196+0.*I	0.+0.04188881233280574*I	0.00007294303880401798+0.*I	0.+0.21160196724222066*I	-0.4998857891875629+0.*I	0.-0.6372385215462413*I	-0.49988708992820646+0.*I	0.+0.21145860815127665*I	0.00006902647366763756+0.*I	0.+0.04159469470052155*I	0.000050448327247376464+0.*I	0.+0.017218418568749765*I	0.00003775159884076472+0.*I	0.+0.00897610545587011*I	0.000027674412352215056+0.*I	0.+0.0050962427622443214*I	0.000019004531928383498+0.*I	0.+0.0028456133064065194*I	0.000011128888600858496+0.*I	0.+0.0012884109627526177*I	3.666679089922494*^-6+0.*I
9.772583798884358*^-7+0.*I	0.+0.00009324501834472028*I	2.9411057134275657*^-6+0.*I	0.+0.0001904511851503003*I	4.933341589596156*^-6+0.*I	0.+0.00029597398386669064*I	6.97425099308911*^-6+0.*I	0.+0.0004150309886557568*I	9.086304370597032*^-6+0.*I	0.+0.0005543390161888843*I	0.000011295349853580045+0.*I	0.+0.0007230723467200064*I	0.000013632203284449232+0.*I	0.+0.0009344108560983635*I	0.000016134882857783087+0.*I	0.+0.0012081929039048172*I	0.000018851911322122772+0.*I	0.+0.001575726983525194*I	0.000021847429911171166+0.*I	0.+0.0020890768827348614*I	0.00002520953649818913+0.*I	0.+0.002840337611544334*I	0.000029064700111965287+0.*I	0.+0.004005446535462062*I	0.00003360456526771824+0.*I	0.+0.005956163972877802*I	0.00003914072044924194+0.*I	0.+0.009596064257657686*I	0.00004623223225731341+0.*I	0.+0.01763741808472039*I	0.000056047229423283696+0.*I	0.+0.04183716746062801*I	0.00007180982346080607+0.*I	0.+0.21153800097932518*I	-0.4998870899281594+0.*I	0.-0.6373179143742831*I	-0.49988857253742025+0.*I	0.+0.2113594944821292*I	0.0000673441366762824+0.*I	0.+0.04146981281677529*I	0.00004854385429428803+0.*I	0.+0.01705905942915683*I	0.000035596556256149536+0.*I	0.+0.008769382950992074*I	0.000025232182364014587+0.*I	0.+0.0048224607145102285*I	0.000016227053917301507+0.*I	0.+0.0024734632222195635*I	7.951559036306742*^-6+0.*I	0.+0.0007656868726128662*I
0.+0.00004160014620392125*I	1.8078903764370738*^-6+0.*I	0.+0.00012648492226475646*I	3.6326010177334775*^-6+0.*I	0.+0.00021658115583411713*I	5.4916417608599645*^-6+0.*I	0.+0.0003159173194843338*I	7.403967400006541*^-6+0.*I	0.+0.0004294571324679133*I	9.390876832467316*^-6+0.*I	0.+0.0005637132071133297*I	0.000011477160728496813+0.*I	0.+0.0007276883512118311*I	0.000013692652907087636+0.*I	0.+0.0009344108560897641*I	0.000016074433276052435+0.*I	0.+0.001203576899402479*I	0.0000186701003903378+0.*I	0.+0.001566352792590497*I	0.000021542857461548784+0.*I	0.+0.0020746507389534747*I	0.00002477982013376968+0.*I	0.+0.002820394275945681*I	0.00002850639997338047+0.*I	0.+0.003979316564751823*I	0.00003291306994069654+0.*I	0.+0.005922924068977628*I	0.000038310088367880075+0.*I	0.+0.009554464111426249*I	0.00004525497395656934+0.*I	0.+0.01758577321253894*I	0.00005491401405501266+0.*I	0.+0.041773201197779955*I	0.00007050908292507894+0.*I	0.+0.2114586081512668*I	-0.49988857253741625+0.*I	0.-0.6374170280434057*I	-0.49989025487441663+0.*I	0.+0.21123461259831863*I	0.00006543966373413755+0.*I	0.+0.04131045367725279*I	0.00004638881169240561+0.*I	0.+0.01685233692421658*I	0.00003315432628816653+0.*I	0.+0.008495600903191094*I	0.000022454704391266925+0.*I	0.+0.004450310630391596*I	0.000013049724352360458+0.*I	0.+0.0019507391320860582*I	4.28488003640375*^-6+0.*I
8.306320018892081*^-7+0.*I	0.+0.00007484005011690703*I	2.499385649521775*^-6+0.*I	0.+0.00015261489298986486*I	4.190901191529738*^-6+0.*I	0.+0.0002365244914230913*I	5.921358140393277*^-6+0.*I	0.+0.0003303434632770183*I	7.708539897767052*^-6+0.*I	0.+0.0004388313233484692*I	9.572687731071008*^-6+0.*I	0.+0.0005683292116528381*I	0.00001153761037435148+0.*I	0.+0.0007276883511857694*I	0.000013632203272390478+0.*I	0.+0.0009297948516190455*I	0.000015892622357821436+0.*I	0.+0.0011942027084617458*I	0.000018365527910185528+0.*I	0.+0.0015519266488218009*I	0.000021113141065448886+0.*I	0.+0.002054707403334145*I	0.000024221519944405616+0.*I	0.+0.0027942643052712183*I	0.000027814904681731033+0.*I	0.+0.003946076660791555*I	0.00003208243794554057+0.*I	0.+0.005881323922780366*I	0.000037332830043960364+0.*I	0.+0.009502819239283002*I	0.00004412175858827518+0.*I	0.+0.017521806949755612*I	0.00005361327347626427+0.*I	0.+0.04169380836970118*I	0.00006902647366767267+0.*I	0.+0.21135949448211083*I	-0.49989025487440236+0.*I	0.-0.6375419099272344*I	-0.4998921593473807+0.*I	0.+0.21107525345878747*I	0.00006328462115678428+0.*I	0.+0.04110373117230451*I	0.00004394658176531686+0.*I	0.+0.016578554876513177*I	0.00003037684825835426+0.*I	0.+0.008123450819056756*I	0.000019277374777337862+0.*I	0.+0.003927586540220604*I	9.3830453037032*^-6+0.*I	0.+0.0011850522595195127*I
0.+0.00003323990391350064*I	1.5221273185447894*^-6+0.*I	0.+0.00010097002083208141*I	3.0576858311059273*^-6+0.*I	0.+0.00017255822857278617*I	4.620617577762605*^-6+0.*I	0.+0.00025095063522266424*I	6.225930617436456*^-6+0.*I	0.+0.0003397176542276833*I	7.890350806906182*^-6+0.*I	0.+0.000443447327863269*I	9.633137325122254*^-6+0.*I	0.+0.0005683292116158533*I	0.000011477160752476403+0.*I	0.+0.0007230723467250294*I	0.000013450392372642447+0.*I	0.+0.000920420660664404*I	0.000015588049886792794+0.*I	0.+0.001179776564677498*I	0.000017935811496194494+0.*I	0.+0.0015319833131810946*I	0.00002055484093468898+0.*I	0.+0.002028577432644673*I	0.000023530024631811896+0.*I	0.+0.002761024401347338*I	0.000026984272653080775+0.*I	0.+0.0039044765146161145*I	0.00003110517954525936+0.*I	0.+0.005829679050616133*I	0.00003619961471842594+0.*I	0.+0.009438852976429518*I	0.000042821018032042394+0.*I	0.+0.01744241412164968*I	0.00005213066421483488+0.*I	0.+0.04159469470055226*I	0.00006734413672218861+0.*I	0.+0.21123461259834508*I	-0.49989215934738707+0.*I	0.-0.6377012690667785*I	-0.49989431438991555+0.*I	0.+0.21086853095388366*I	0.00006084239119603894+0.*I	0.+0.04082994912450158*I	0.00004116910366741539+0.*I	0.+0.016206404792375485*I	0.000027199518730126746+0.*I	0.+0.007600726728902609*I	0.00001561069577849326+0.*I	0.+0.0031618996676291205*I	5.098165255219825*^-6+0.*I
6.914953495295261*^-7+0.*I	0.+0.000059369874612095076*I	2.0804273865798555*^-6+0.*I	0.+0.00012091335641149456*I	3.487402297613546*^-6+0.*I	0.+0.00018698437239726443*I	4.925190016482879*^-6+0.*I	0.+0.0002603248261307002*I	6.40774159574443*^-6+0.*I	0.+0.00034433365873713363*I	7.95080031775032*^-6+0.*I	0.+0.00044344732786034854*I	9.57268781330014*^-6+0.*I	0.+0.0005637132071440627*I	0.000011295349771529319+0.*I	0.+0.0007136981557726362*I	0.000013145819970026513+0.*I	0.+0.000905994516900438*I	0.000015158333428202508+0.*I	0.+0.0011598332290643466*I	0.00001737751139838602+0.*I	0.+0.001505853342502926*I	0.000019863345540362256+0.*I	0.+0.001995337528720078*I	0.00002269939268393277+0.*I	0.+0.00271942425513189*I	0.000026007014236760734+0.*I	0.+0.0038528316424567216*I	0.00002997196430752538+0.*I	0.+0.005765712787752509*I	0.000034898874049300836+0.*I	0.+0.009359460148414368*I	0.00004133840886325742+0.*I	0.+0.017343300452486853*I	0.000050448327201981596+0.*I	0.+0.041469812816802634*I	0.0000654396637461662+0.*I	0.+0.21107525345872308*I	-0.49989431438998977+0.*I	0.-0.637907991571643*I	-0.49989675661986166+0.*I	0.+0.21059474890607094*I	0.00005806491310806547+0.*I	0.+0.04045779904039776*I	0.00003799177417226202+0.*I	0.+0.01568368070215523*I	0.000023532839642933382+0.*I	0.+0.006835039856328249*I	0.000011325815762521641+0.*I	0.+0.001976847408170571*I
0.+0.000026129970739694767*I	1.2497954544632837*^-6+0.*I	0.+0.00007931321020021012*I	2.5101438720247294*^-6+0.*I	0.+0.00013533950022433206*I	3.7919747120865744*^-6+0.*I	0.+0.00019635856330398833*I	5.107000965409375*^-6+0.*I	0.+0.0002649408306354579*I	6.468191150468152*^-6+0.*I	0.+0.0003443336587083416*I	7.890350809249533*^-6+0.*I	0.+0.00043883132337802465*I	9.390876856986871*^-6+0.*I	0.+0.0005543390161844568*I	0.00001099077734092516+0.*I	0.+0.0006992720120313644*I	0.000012716103514589334+0.*I	0.+0.0008860511812515122*I	0.000014600033288507858+0.*I	0.+0.0011337032584070302*I	0.00001668601606147953+0.*I	0.+0.001472613438555598*I	0.000019032713576877468+0.*I	0.+0.001953737382558986*I	0.000021722134307591348+0.*I	0.+0.002667779382941488*I	0.000024873798911800644+0.*I	0.+0.0037888653796639836*I	0.00002867122370250295+0.*I	0.+0.0056863199596967635*I	0.0000334162648269469+0.*I	0.+0.009260346479219295*I	0.00003965607183356196+0.*I	0.+0.01721841856873318*I	0.000048543854248791495+0.*I	0.+0.04131045367718163*I	0.00006328462120274758+0.*I	0.+0.2108685309538863*I	-0.499896756619948+0.*I	0.-0.6381817736195262*I	-0.4998995340978518+0.*I	0.+0.21022259882199015*I	0.000054887583519667134+0.*I	0.+0.03993507495029436*I	0.000034325095195845856+0.*I	0.+0.014917993829584558*I	0.000019247959542945467+0.*I	0.+0.005649987596810891*I	6.227650586106438*^-6+0.*I
5.583000075754673*^-7+0.*I	0.+0.00004607330632401139*I	1.6795119932556214*^-6+0.*I	0.+0.00009373935401289005*I	2.8147162247290784*^-6+0.*I	0.+0.00014471369112730852*I	3.973785737070444*^-6+0.*I	0.+0.00020097456781318707*I	5.1674504494852205*^-6+0.*I	0.+0.00026494083064987453*I	6.407741680127533*^-6+0.*I	0.+0.000339717654220229*I	7.708539733935213*^-6+0.*I	0.+0.0004294571324448329*I	9.08630450604496*^-6+0.*I	0.+0.0005399128724283311*I	0.000010561060824444137+0.*I	0.+0.0006793286764004474*I	0.00001215780346015992+0.*I	0.+0.0008599212105936282*I	0.000013908537909636704+0.*I	0.+0.0011004633544396134*I	0.00001585538414045056+0.*I	0.+0.001431013292395517*I	0.0000180554551291764+0.*I	0.+0.0019020925103480997*I	0.000020588919035012873+0.*I	0.+0.0026038131201448675*I	0.00002357305825774433+0.*I	0.+0.0037094725515619837*I	0.000027188614552103025+0.*I	0.+0.005587206290464135*I	0.00003173392780239916+0.*I	0.+0.009135464595494898*I	0.00003775159896927107+0.*I	0.+0.017059059429107234*I	0.00004638881158998947+0.*I	0.+0.041103731172374834*I	0.00006084239124664668+0.*I	0.+0.21059474890601382*I	-0.4998995340980473+0.*I	0.-0.6385539237035108*I	-0.49990271142746723+0.*I	0.+0.2096998747316788*I	0.00005122090452898145+0.*I	0.+0.03916938807766633*I	0.000030040215113880553+0.*I	0.+0.013732941570064052*I	0.000014149794389247748+0.*I	0.+0.0036731401887362255*I
0.+0.00001994333551532228*I	9.880165369922059*^-7+0.*I	0.+0.00006049945016823411*I	1.984084356479233*^-6+0.*I	0.+0.00010311354487169587*I	2.996527277390189*^-6+0.*I	0.+0.00014932969572157705*I	4.034235217699323*^-6+0.*I	0.+0.00020097456771818524*I	5.107001015547097*^-6+0.*I	0.+0.00026032482623227567*I	6.225930608909704*^-6+0.*I	0.+0.00033034346322371566*I	7.403967388112783*^-6+0.*I	0.+0.00041503098872298395*I	8.65658796835939*^-6+0.*I	0.+0.0005199695367107247*I	0.000010002760814416826+0.*I	0.+0.0006531987057525316*I	0.000011466308015904645+0.*I	0.+0.0008266813066076244*I	0.000013077906014536363+0.*I	0.+0.001058863208338731*I	0.000014878125681458126+0.*I	0.+0.001379368420118632*I	0.000016922239873537352+0.*I	0.+0.0018381262475968346*I	0.00001928817839850426+0.*I	0.+0.00252442029199944*I	0.0000220904491026465+0.*I	0.+0.003610358882475413*I	0.000025506277414029675+0.*I	0.+0.005462324406698958*I	0.00002982945493375666+0.*I	0.+0.008976105455954286*I	0.000035596556244828995+0.*I	0.+0.016852336924199855*I	0.00004394658175916316+0.*I	0.+0.04082994912456694*I	0.000058064913176846475+0.*I	0.+0.2102225988219243*I	-0.4999027114275454+0.*I	0.-0.6390766477937526*I	-0.49990637810644667+0.*I	0.+0.2089341878592599*I	0.00004693602446108336+0.*I	0.+0.037984335818117554*I	0.000024942049894512275+0.*I	0.+0.0117560941619398*I	7.922143838431735*^-6+0.*I
4.297164630156163*^-7+0.*I	0.+0.00003436947940123208*I	1.2925889471832454*^-6+0.*I	0.+0.00006987364101588856*I	2.1658953409940435*^-6+0.*I	0.+0.00010772954942883341*I	3.0569767873846253*^-6+0.*I	0.+0.00014932969565310803*I	3.973785711274943*^-6+0.*I	0.+0.00019635856329940676*I	4.925189975956811*^-6+0.*I	0.+0.000250950635233116*I	5.92135822757228*^-6+0.*I	0.+0.0003159173194642111*I	6.974250892715313*^-6+0.*I	0.+0.00039508765306929474*I	8.098287896734572*^-6+0.*I	0.+0.0004938395660998076*I	9.311265392563292*^-6+0.*I	0.+0.0006199588018059614*I	0.000010635676132139367+0.*I	0.+0.000785081160436912*I	0.000012100647579404403+0.*I	0.+0.0010072183361023487*I	0.000013744910402386246+0.*I	0.+0.0013154021573421296*I	0.000015621499245155353+0.*I	0.+0.0017587334195214369*I	0.000017805569143617092+0.*I	0.+0.002425306622812165*I	0.000020408112128216744+0.*I	0.+0.003485476998680842*I	0.000023601804513057742+0.*I	0.+0.00530296526710636*I	0.000027674412322943088+0.*I	0.+0.008769382951084446*I	0.00003315432633831072+0.*I	0.+0.016578554876366565*I	0.00004116910363730181+0.*I	0.+0.040457799040513685*I	0.00005488758361772342+0.*I	0.+0.2096998747316696*I	-0.49990637810652555+0.*I	0.-0.6398423346662254*I	-0.49991066298652326+0.*I	0.+0.20774913559958155*I	0.000041837859213627567+0.*I	0.+0.036007488410159355*I	0.000018714399372891997+0.*I	0.+0.008082953973087023*I
0.+0.000014426143829816804*I	7.342888771009476*^-7+0.*I	0.+0.00004374367027297284*I	1.474399977899513*^-6+0.*I	0.+0.00007448964555977976*I	2.226344858711485*^-6+0.*I	0.+0.00010772954937977993*I	2.996527291612259*^-6+0.*I	0.+0.00014471369120696445*I	3.7919746762210234*^-6+0.*I	0.+0.00018698437232334675*I	4.6206175889228815*^-6+0.*I	0.+0.00023652449144967525*I	5.4916416845731254*^-6+0.*I	0.+0.0002959739838690461*I	6.4159508989857*^-6+0.*I	0.+0.0003689576823683462*I	7.406792455318538*^-6+0.*I	0.+0.0004605996621351692*I	8.48063351638116*^-6+0.*I	0.+0.0005783586556291717*I	9.658417633737825*^-6+0.*I	0.+0.0007334362882548597*I	0.000010967432321330917+0.*I	0.+0.0009432520733142092*I	0.000012444169738920027+0.*I	0.+0.001236009329228092*I	0.000014138890115857138+0.*I	0.+0.0016596197503706844*I	0.000016123232127703884+0.*I	0.+0.002300424739088018*I	0.0000185036391894235+0.*I	0.+0.0033261178590981468*I	0.000021446761873932836+0.*I	0.+0.0050962427622649135*I	0.00002523218240825125+0.*I	0.+0.008495600903216658*I	0.00003037684825752878+0.*I	0.+0.0162064047923177*I	0.00003799177420968717+0.*I	0.+0.03993507495024988*I	0.00005122090450282657+0.*I	0.+0.2089341878592315*I	-0.4999106629865704+0.*I	0.-0.6410273869258877*I	-0.4999157611518367+0.*I	0.+0.2057722881915812*I	0.000035610208792098593+0.*I	0.+0.03233434822134522*I	0.000010792255446972874+0.*I
