0.0009577740705845034-2.5943759523434398*^-6*I	0.002013995072876717-5.235314909608813*^-6*I	0.0032931686969057848-7.973918484122277*^-6*I	0.0049853416752973405-0.000010871436448188337*I	0.007423936351460077-0.000014007432559092137*I	0.011264460059179237-0.000017492944094376872*I	0.01794416783672962-0.000021492459736966436*I	0.030994334825104847-0.00002625749218693469*I	0.06018065845446511-0.000032149812214486463*I	0.1358338154297502-0.000039455065597363906*I	0.3626504197026632-0.00004672115695459781*I	0.135937536825509-0.00004028889633496706*I	0.060390981114083794-0.00003382262367647233*I	0.03131720554650217-0.000028779725925751483*I	0.018388997004568308-0.000024880141084968014*I	0.011844777382392813-0.000021768144193216916*I	0.008158392253233027-0.000019198931843933723*I	0.00589919697964581-0.000017015637754707936*I	0.004420505522137103-0.000015116081133167058*I	0.003401034155022953-0.000013431215084681836*I	0.0026679516771087814-0.000011912550250091731*I	0.002121949121995831-0.000010524809971379341*I	0.001702750100538932-9.241510842286686*^-6*I	0.0013720396143870265-8.042203658586294*^-6*I	0.0011044704738283162-6.910686714329508*^-6*I	0.0008826642277819594-5.833808257635306*^-6*I	0.0006942995278844451-4.800637448082254*^-6*I	0.0005303436814268709-3.801872160548513*^-6*I	0.00038393510296735666-2.8294022650301896*^-6*I	0.0002496476848424636-1.8759762750599917*^-6*I	0.00012298329686365915-9.349367025327587*^-7*I
0.0007349100398495832-2.328909796306275*^-6*I	0.0015331873458920978-4.693724145585269*^-6*I	0.002472179382915244-7.13331726167539*^-6*I	0.003663183268961113-9.693105913610066*^-6*I	0.005287688579865684-0.000012430044606983436*I	0.007673406711505801-0.00001542038865917266*I	0.011471933019208739-0.000018772582516108465*I	0.018117780280078308-0.00002264905054001069*I	0.031140261114188498-0.000027299637724391474*I	0.06030364175132876-0.000033084748917019204*I	0.13593753682550894-0.00004028889633496705*I	0.3627377590654183-0.00004745903171405095*I	0.13601075986206385-0.00004093515379872389*I	0.06045187517895512-0.000034380902759443764*I	0.031367179188288886-0.00002925305386404309*I	0.01842915337845682-0.00002527100292172743*I	0.011875968458959335-0.00002207853724210131*I	0.008181258604636041-0.000019430407778649052*I	0.005914196447405031-0.000017169334271194706*I	0.0044279330281224525-0.000015192744588628674*I	0.0034010341550229483-0.000013431215084681816*I	0.002660524171123426-0.000011835886794630076*I	0.0021069496542365997-0.000010371113454892516*I	0.0016798837491359031-9.0100349075713*^-6*I	0.0013408485378204828-7.731810609701847*^-6*I	0.0010643140999397696-6.519824877570017*^-6*I	0.0008326905859952086-5.360480319343606*^-6*I	0.0006334054630130825-4.242358365110715*^-6*I	0.0004571206448719633-3.1556146967915822*^-6*I	0.00029659574021231525-2.0915275055770034*^-6*I	0.0001459262890836707-1.0421455374567926*^-6*I
0.0005754132753075945-2.09934819324183*^-6*I	0.0011930943498881124-4.226912148372851*^-6*I	0.0019032019179474266-6.41291157507306*^-6*I	0.0027745262874835845-8.691925420470508*^-6*I	0.003912653629006842-0.0000111060620136906*I	0.005495161539895181-0.000013709683028715032*I	0.007847019154854456-0.000016576979462216904*I	0.011617859308292408-0.00001981472805356526*I	0.018240763576941946-0.000023583987242543433*I	0.031243982509947286-0.000028133468461994633*I	0.06039098111408379-0.000033822623676472326*I	0.13601075986206387-0.00004093515379872392*I	0.3627986531302895-0.00004801731079702239*I	0.13606073350385053-0.000041408481737015486*I	0.06049203155284361-0.00003477176459620315*I	0.03139837026485537-0.000029563446912927453*I	0.018452019729859825-0.000025502478856442746*I	0.011890967926718555-0.00002223223375858807*I	0.008188686110621386-0.000019507071234110653*I	0.005914196447405025-0.00001716933427119469*I	0.004420505522137095-0.00001511608113316701*I	0.003386034687263719-0.000013277518568194995*I	0.0026376578197203943-0.000011604410859914681*I	0.0020757585776700564-0.000010060720406008079*I	0.0016397273752473565-8.619173070811815*^-6*I	0.001290874896033732-7.258482671410151*^-6*I	0.0010034200350684068-5.961545794598478*^-6*I	0.000759467549440301-4.714222855586674*^-6*I	0.0005460661002580408-3.504483605657528*^-6*I	0.00035339924911317037-2.321783959188383*^-6*I	0.0001736124433486562-1.1565908030442455*^-6*I
0.0004581843100385286-1.8980023520665733*^-6*I	0.000945427847362922-3.818535622729616*^-6*I	0.001495441254456451-5.785520307167961*^-6*I	0.0021526722779931524-7.825867675153591*^-6*I	0.002981999247513081-9.971563842202085*^-6*I	0.004086266072355491-0.00001226265281673483*I	0.0056410878289788425-0.000014751828566171799*I	0.007970002451718106-0.000017511916164749627*I	0.011721580704051184-0.000020648558791168403*I	0.018328102939696965-0.000024321862001996546*I	0.03131720554650215-0.000028779725925751483*I	0.06045187517895509-0.00003438090275944376*I	0.13606073350385053-0.00004140848173701548*I	0.36283880950417796-0.000048408172633781715*I	0.13609192458041697-0.00004171887478589979*I	0.060514897904246544-0.000035003240530918415*I	0.03141336973261457-0.000029717143429414172*I	0.018459447235845167-0.000025579142311904327*I	0.011890967926718534-0.000022232233758588*I	0.008181258604636019-0.00001943040777864897*I	0.005899196979645783-0.000017015637754707845*I	0.004397639170734058-0.000014884605198451598*I	0.0033548436106971683-0.000012967125519310528*I	0.002597501445831844-0.000011213549023155176*I	0.0020257849358833032-9.587392467716361*^-6*I	0.0015788333103759916-8.060893987840254*^-6*I	0.0012176518594788225-6.612225207653207*^-6*I	0.0009160806723133639-5.2236710351452845*^-6*I	0.0006557461536815071-3.880392117983469*^-6*I	0.00042308280339438116-2.569546903124766*^-6*I	0.0002074729600294995-1.279638421731588*^-6*I
0.000370014572055328-1.7191874294877868*^-6*I	0.0007605312146068685-3.456610510861683*^-6*I	0.0011948982074086486-5.231491722810153*^-6*I	0.0017029142144859497-7.065158728899552*^-6*I	0.002326284721341804-8.982458478197832*^-6*I	0.003127925536596748-0.000011013709379658865*I	0.004209249369219146-0.000013197589519267567*I	0.005744809224737628-0.000015585659303774973*I	0.008057341814473137-0.000018249790924202777*I	0.011794803740606067-0.00002129481625492528*I	0.018388997004568298-0.000024880141084968*I	0.031367179188288866-0.00002925305386404308*I	0.06049203155284356-0.00003477176459620311*I	0.1360919245804169-0.00004171887478589978*I	0.3628616758555807-0.000048639648568497*I	0.13610692404817615-0.00004187257130238651*I	0.06052232541023187-0.000035079903986379995*I	0.031413369732614556-0.000029717143429414125*I	0.018452019729859787-0.000025502478856442655*I	0.011875968458959298-0.00002207853724210119*I	0.008158392253232992-0.00001919893184393358*I	0.005868005903079242-0.000016705244705823398*I	0.004357482796845512-0.00001449374336169211*I	0.0033048699689104187-0.000012493797581018839*I	0.0025366073809604825-0.000010655269940183637*I	0.0019525618993283954-8.941135003959434*^-6*I	0.0014914939476209494-7.323019228387069*^-6*I	0.0011139304637200285-5.778394470050006*^-6*I	0.0007930973754497041-4.288734332612524*^-6*I	0.0005098198645978361-2.838246580526677*^-6*I	0.00024947036004572507-1.4129561000805222*^-6*I
0.00030234690456834015-1.558608158795112*^-6*I	0.0006194849321010551-3.1321435295683247*^-6*I	0.0009680041746363691-4.736248932593284*^-6*I	0.001368510650757304-6.388082525854398*^-6*I	0.00184884050356962-8.107304266356346*^-6*I	0.0024492680182054607-9.917395180730574*^-6*I	0.0032316469323555343-0.000011847540117262036*I	0.004296588731974175-0.00001393546427872073*I	0.005818032261292525-0.00001623191676753187*I	0.00811823587934448-0.000018808070007174262*I	0.011844777382392799-0.000021768144193216916*I	0.018429153378456804-0.000025271002921727407*I	0.03139837026485537-0.000029563446912927416*I	0.06051489790424651-0.000035003240530918395*I	0.1361069240481761-0.0000418725713023865*I	0.3628691033615662-0.00004871631202395858*I	0.13610692404817606-0.00004187257130238646*I	0.0605148979042465-0.00003500324053091833*I	0.031398370264855306-0.000029563446912927294*I	0.018429153378456756-0.00002527100292172725*I	0.01184477738239275-0.000021768144193216736*I	0.00811823587934444-0.000018808070007174096*I	0.005818032261292488-0.000016231916767531695*I	0.004296588731974146-0.000013935464278720578*I	0.0032316469323555117-0.000011847540117261907*I	0.002449268018205441-9.917395180730455*^-6*I	0.0018488405035696023-8.107304266356231*^-6*I	0.0013685106507572906-6.388082525854311*^-6*I	0.0009680041746363583-4.736248932593213*^-6*I	0.0006194849321010483-3.1321435295682794*^-6*I	0.0003023469045683368-1.5586081587950892*^-6*I
0.0002494703600457276-1.4129561000805398*^-6*I	0.0005098198645978416-2.8382465805267136*^-6*I	0.0007930973754497122-4.288734332612579*^-6*I	0.0011139304637200387-5.77839447005008*^-6*I	0.0014914939476209617-7.323019228387153*^-6*I	0.001952561899328409-8.941135003959529*^-6*I	0.002536607380960497-0.000010655269940183742*I	0.0033048699689104378-0.000012493797581018949*I	0.004357482796845534-0.00001449374336169223*I	0.005868005903079264-0.00001670524470582352*I	0.008158392253233011-0.000019198931843933686*I	0.011875968458959317-0.000022078537242101278*I	0.018452019729859808-0.000025502478856442706*I	0.03141336973261454-0.000029717143429414145*I	0.06052232541023185-0.000035079903986379954*I	0.1361069240481761-0.00004187257130238645*I	0.36286167585558077-0.00004863964856849691*I	0.13609192458041688-0.00004171887478589965*I	0.06049203155284351-0.00003477176459620295*I	0.03136717918828879-0.000029253053864042884*I	0.018388997004568232-0.00002488014108496779*I	0.011794803740606019-0.000021294816254925077*I	0.008057341814473089-0.000018249790924202574*I	0.005744809224737588-0.000015585659303774794*I	0.004209249369219112-0.000013197589519267404*I	0.0031279255365967225-0.000011013709379658721*I	0.002326284721341783-8.982458478197701*^-6*I	0.0017029142144859334-7.065158728899446*^-6*I	0.0011948982074086352-5.23149172281007*^-6*I	0.0007605312146068595-3.4566105108616293*^-6*I	0.0003700145720553236-1.7191874294877601*^-6*I
0.00020747296002950123-1.2796384217316022*^-6*I	0.0004230828033943849-2.569546903124795*^-6*I	0.0006557461536815124-3.880392117983513*^-6*I	0.0009160806723133711-5.223671035145337*^-6*I	0.0012176518594788303-6.612225207653275*^-6*I	0.0015788333103760016-8.060893987840325*^-6*I	0.002025784935883313-9.587392467716442*^-6*I	0.002597501445831858-0.000011213549023155264*I	0.003354843610697183-0.000012967125519310616*I	0.00439763917073407-0.00001488460519845169*I	0.0058991969796458-0.000017015637754707916*I	0.00818125860463603-0.00001943040777864902*I	0.011890967926718532-0.000022232233758588027*I	0.018459447235845142-0.000025579142311904296*I	0.03141336973261454-0.000029717143429414105*I	0.0605148979042465-0.00003500324053091831*I	0.13609192458041686-0.000041718874785899646*I	0.3628388095041778-0.00004840817263378154*I	0.13606073350385037-0.00004140848173701524*I	0.06045187517895499-0.0000343809027594435*I	0.03131720554650206-0.000028779725925751222*I	0.018328102939696885-0.000024321862001996285*I	0.01172158070405112-0.00002064855879116816*I	0.007970002451718052-0.000017511916164749414*I	0.005641087828978801-0.000014751828566171606*I	0.0040862660723554566-0.00001226265281673466*I	0.002981999247513054-9.971563842201939*^-6*I	0.0021526722779931294-7.825867675153466*^-6*I	0.001495441254456435-5.785520307167863*^-6*I	0.0009454278473629105-3.818535622729551*^-6*I	0.0004581843100385229-1.8980023520665411*^-6*I
0.00017361244334865736-1.156590803044256*^-6*I	0.0003533992491131728-2.3217839591884033*^-6*I	0.0005460661002580447-3.504483605657559*^-6*I	0.0007594675494403054-4.714222855586712*^-6*I	0.0010034200350684116-5.96154579459852*^-6*I	0.0012908748960337375-7.258482671410192*^-6*I	0.0016397273752473628-8.619173070811848*^-6*I	0.002075758577670064-0.000010060720406008123*I	0.0026376578197204025-0.000011604410859914732*I	0.003386034687263724-0.00001327751856819503*I	0.004420505522137097-0.000015116081133167044*I	0.005914196447405024-0.000017169334271194696*I	0.008188686110621377-0.00001950707123411064*I	0.011890967926718522-0.000022232233758588*I	0.018452019729859777-0.00002550247885644263*I	0.03139837026485532-0.000029563446912927294*I	0.060492031552843516-0.00003477176459620296*I	0.13606073350385042-0.000041408481737015256*I	0.36279865313028925-0.000048017310797022095*I	0.13601075986206368-0.0000409351537987236*I	0.060390981114083656-0.00003382262367647201*I	0.03124398250994717-0.000028133468461994328*I	0.018240763576941852-0.000023583987242543125*I	0.011617859308292336-0.000019814728053564997*I	0.0078470191548544-0.000016576979462216677*I	0.005495161539895135-0.00001370968302871483*I	0.003912653629006802-0.000011106062013690425*I	0.002774526287483556-8.691925420470354*^-6*I	0.0019032019179474047-6.412911575072946*^-6*I	0.0011930943498880979-4.226912148372775*^-6*I	0.0005754132753075873-2.099348193241792*^-6*I
0.00014592628908367158-1.0421455374568005*^-6*I	0.000296595740212317-2.0915275055770195*^-6*I	0.00045712064487196614-3.1556146967916055*^-6*I	0.0006334054630130861-4.242358365110742*^-6*I	0.0008326905859952123-5.3604803193436405*^-6*I	0.001064314099939774-6.51982487757005*^-6*I	0.0013408485378204869-7.73181060970188*^-6*I	0.0016798837491359083-9.010034907571335*^-6*I	0.0021069496542366058-0.000010371113454892551*I	0.0026605241711234275-0.000011835886794630097*I	0.0034010341550229505-0.00001343121508468183*I	0.004427933028122448-0.000015192744588628667*I	0.005914196447405018-0.000017169334271194682*I	0.008181258604636015-0.00001943040777864897*I	0.011875968458959295-0.000022078537242101186*I	0.018429153378456766-0.000025271002921727258*I	0.03136717918828882-0.00002925305386404289*I	0.060451875178955006-0.00003438090275944351*I	0.13601075986206376-0.00004093515379872362*I	0.3627377590654181-0.00004745903171405063*I	0.13593753682550888-0.00004028889633496672*I	0.06030364175132864-0.00003308474891701888*I	0.031140261114188397-0.000027299637724391165*I	0.018117780280078204-0.00002264905054001041*I	0.01147193301920867-0.000018772582516108225*I	0.007673406711505749-0.000015420388659172454*I	0.005287688579865639-0.000012430044606983256*I	0.00366318326896108-9.693105913609914*^-6*I	0.00247217938291522-7.133317261675268*^-6*I	0.0015331873458920818-4.693724145585189*^-6*I	0.0007349100398495755-2.328909796306235*^-6*I
