0.-0.8487765815169117*I	-0.4999576061628063+0.*I	0.+0.16976462209724638*I	0.00001688149449771108+0.*I	0.+0.02425109573282618*I	0.00001077078624670375+0.*I	0.+0.008082531079442257*I	7.89354606616848*^-6+0.*I	0.+0.0036725881005367955*I	6.191524429373661*^-6+0.*I	0.+0.001976159873859772*I	5.0520423028277905*^-6+0.*I	0.+0.0011842175802905355*I	4.2262581306604655*^-6+0.*I	0.+0.0007646752204292143*I	3.6372426470638653*^-6+0.*I	0.+0.0005215536399884907*I	3.298852220468438*^-6+0.*I	0.+0.00037144117393010146*I	1.18734891147625*^-6+0.*I	0.+0.0002692465317792738*I	7.506811410851533*^-6+0.*I	0.+0.00021290478400397012*I	-9.134329291304698*^-6+0.*I	0.+0.00014283975429939014*I	0.00001916523960179085+0.*I	0.+0.0001418949636118989*I	-0.000018451517491163233+0.*I	0.+0.00007715426080995495*I	0.00001872545614931932+0.*I	0.+0.00009088479387380904*I	-0.000010031492286665506+0.*I	0.+0.00005258118152967859*I	6.139323600074081*^-6+0.*I	0.+0.00005071469351930741*I	-6.953515329900063*^-7+0.*I	0.+0.00003647510955882016*I	8.502101733950251*^-7+0.*I	0.+0.00002808971565815576*I	5.367276222320615*^-7+0.*I	0.+0.000020200300678853143*I	3.5247518720295365*^-7+0.*I	0.+0.000013051744634028994*I	2.114207473169396*^-7+0.*I	0.+6.408087008122052*^-6*I	7.130410956095862*^-8+0.*I
0.+0.00009088479386072182*I	8.693963832249885*^-6+0.*I	0.+0.00022062023621693356*I	-3.6182300180111175*^-6+0.*I	0.+0.00041322989330837875*I	0.000014851658080803713+0.*I	0.+0.0005925447572242451*I	6.567538928035289*^-6+0.*I	0.+0.0008335392568402868*I	0.00001461107795919506+0.*I	0.+0.0011229860893138697*I	0.000016150902032790733+0.*I	0.+0.0015074790078850224*I	0.00001966117504565301+0.*I	0.+0.0020354407349160862*I	0.000023369721812497813+0.*I	0.+0.0028001159553066235*I	0.000027524675867588386+0.*I	0.+0.003977925448595319*I	0.000032365297341649484+0.*I	0.+0.005941033577856953*I	0.00003820434661631643+0.*I	0.+0.009593421377689832*I	0.000045561165060624124+0.*I	0.+0.01764786274147098*I	0.00005548174112867388+0.*I	0.+0.04186248336471669*I	0.00007305858716948189+0.*I	0.+0.21157639076846668*I	-0.4998906868992537+0.*I	0.-0.6372527719299502*I	-0.4998806554069701+0.*I	0.+0.21143292479302445*I	0.000058225299749534485+0.*I	0.+0.0415911484350133*I	0.000059795322713679495+0.*I	0.+0.01719815773853786*I	0.00002985929685697379+0.*I	0.+0.00897278690483553*I	0.000031100080037025805+0.*I	0.+0.005087294020279897*I	0.00001740174420931019+0.*I	0.+0.0028418876146663547*I	0.000011162353011366367+0.*I	0.+0.0012862288604173907*I	3.6372426634873463*^-6+0.*I
-0.000010031492262427177+0.*I	0.+0.0001434659754170784*I	0.00001483328746217174+0.*I	0.+0.00027133492972819523*I	-4.313581529913753*^-6+0.*I	0.+0.0004497050029142335*I	0.0000157018682145795+0.*I	0.+0.0006206344728442903*I	7.104266598030197*^-6+0.*I	0.+0.0008537395575682018*I	0.000014963553068977889+0.*I	0.+0.0011360378339395206*I	0.000016362322849804918+0.*I	0.+0.0015138870949156487*I	0.000019732479139114987+0.*I	0.+0.002035440734916144*I	0.00002329841773023527+0.*I	0.+0.002793707868298245*I	0.00002731325503801019+0.*I	0.+0.0039648737039596465*I	0.000032012822217792784+0.*I	0.+0.005920833277180408*I	0.000037667618942194755+0.*I	0.+0.009565331662033239*I	0.000044710954901843345+0.*I	0.+0.01761138763187527*I	0.000056177092646991635+0.*I	0.+0.041811768671204445*I	0.00006691926362341138+0.*I	0.+0.21152380958690284*I	-0.49988065540697024+0.*I	0.-0.6373436567238633*I	-0.49989938086307256+0.*I	0.+0.2113557705322683*I	0.00007667681718374325+0.*I	0.+0.04144925347140608*I	0.00004063008310697284+0.*I	0.+0.017055317984308933*I	0.000038993626116771444+0.*I	0.+0.008759882120814846*I	0.000023593268654099383+0.*I	0.+0.0048180474885439264*I	0.000016214395311953325+0.*I	0.+0.002470446440678738*I	7.863500808731076*^-6+0.*I	0.+0.0007646752204234688*I
0.+0.00005258118151968134*I	-3.8921686688016346*^-6+0.*I	0.+0.00019418066892503287*I	0.00001413793592166993+0.*I	0.+0.00030781003927874524*I	-3.463371366114447*^-6+0.*I	0.+0.00047779471856499345*I	0.000016238595859334417+0.*I	0.+0.0006408347735479073*I	7.45674171908892*^-6+0.*I	0.+0.0008667913021882264*I	0.000015174973905468831+0.*I	0.+0.0011424459209022303*I	0.000016433626916048168+0.*I	0.+0.001513887094930113*I	0.000019661175039207687+0.*I	0.+0.0020290326478688064*I	0.000023086996931124467+0.*I	0.+0.0027806561237254395*I	0.00002696077990694292+0.*I	0.+0.003944673403251048*I	0.00003147609454107542+0.*I	0.+0.005892743561526073*I	0.00003681740877293726+0.*I	0.+0.009528856552430161*I	0.00004540630642771938+0.*I	0.+0.017560672938410477*I	0.00005003776909124889+0.*I	0.+0.0417591874896948*I	0.00007695075584223899+0.*I	0.+0.21143292479306186*I	-0.49989938086304553+0.*I	0.-0.6374208109846631*I	-0.4998809293456392+0.*I	0.+0.2112138755686357*I	0.000057511577593397615+0.*I	0.+0.041306413717079174*I	0.0000497644123708033+0.*I	0.+0.016842413200277982*I	0.000031486814768816966+0.*I	0.+0.008490635589043307*I	0.000022405919724529025+0.*I	0.+0.004446606314598569*I	0.000012915543066683075+0.*I	0.+0.0019488928006813654*I	4.226258109217061*^-6+0.*I
6.139323611803509*^-6+0.*I	0.+0.0001032958750505047*I	-4.587520172936587*^-6+0.*I	0.+0.00023065577851141624*I	0.000014988146104896234+0.*I	0.+0.0003358997549710484*I	-2.926643778425919*^-6+0.*I	0.+0.0004979950192380548*I	0.0000165910710245099+0.*I	0.+0.0006538865181604515*I	7.668162515487038*^-6+0.*I	0.+0.0008731993891781895*I	0.000015246278018363955+0.*I	0.+0.0011424459209505814*I	0.0000163623228215827+0.*I	0.+0.0015074790079092752*I	0.000019449754257964865+0.*I	0.+0.0020159809032565756*I	0.000022734521770123014+0.*I	0.+0.002760455823009522*I	0.000026424052261635005+0.*I	0.+0.003916583687651359*I	0.000030625884347596115+0.*I	0.+0.005856268451922339*I	0.000037512760340676396+0.*I	0.+0.009478141858918727*I	0.00003926698285904194+0.*I	0.+0.017508091756849267*I	0.000060069261336383195+0.*I	0.+0.04166830269578986*I	0.00005822529975102003+0.*I	0.+0.2113557705322497*I	-0.4998809293456393+0.*I	0.-0.6375627059482392*I	-0.49990009458520557+0.*I	0.+0.21107103581435258*I	0.00006664590688260398+0.*I	0.+0.04109350893308416*I	0.00004225760101983837+0.*I	0.+0.016573166668510154*I	0.00003029946583782508+0.*I	0.+0.008119194415087719*I	0.00001910706751084114+0.*I	0.+0.003925052674579685*I	9.278300410722734*^-6+0.*I	0.+0.0011842175802877636*I
0.+0.00005071469353250299*I	5.4439720615509*^-6+0.*I	0.+0.00013977098459648233*I	-3.7373100342734057*^-6+0.*I	0.+0.0002587454941808844*I	0.000015524873722579007+0.*I	0.+0.00035610005559910343*I	-2.5741685737619685*^-6+0.*I	0.+0.0005110467639155222*I	0.000016802491782754262+0.*I	0.+0.0006602946051349718*I	7.739466628043332*^-6+0.*I	0.+0.0008731993892103613*I	0.00001517497388691675+0.*I	0.+0.0011360378339385373*I	0.00001615090203406539+0.*I	0.+0.001494427263291438*I	0.000019097279086353857+0.*I	0.+0.0019957806025640208*I	0.000022197794161286572+0.*I	0.+0.0027323661073856945*I	0.000025573842063137725+0.*I	0.+0.0038801085779759143*I	0.00003132123591549603+0.*I	0.+0.005805553758444433*I	0.0000313734367424143+0.*I	0.+0.009425560677377955*I	0.000049298475108785154+0.*I	0.+0.017417206963022295*I	0.00004134380520784797+0.*I	0.+0.04159114843499943*I	0.00007667681723166203+0.*I	0.+0.21121387556863713*I	-0.49990009458524315+0.*I	0.-0.637705545702577*I	-0.499890960255938+0.*I	0.+0.2108581310303402*I	0.00005913909549830321+0.*I	0.+0.04082426240131331*I	0.000041070252110168975+0.*I	0.+0.01620172549458273*I	0.00002700061356728962+0.*I	0.+0.007597640775121244*I	0.000015469824844609563+0.*I	0.+0.0031603774541143965*I	5.052042287972825*^-6+0.*I
-6.953515527092992*^-7+0.*I	0.+0.00008718980309372455*I	6.294182263804084*^-6+0.*I	0.+0.00016786070026119984*I	-3.2005823915895947*^-6+0.*I	0.+0.0002789457948383649*I	0.00001587734888305703+0.*I	0.+0.00036915180026590694*I	-2.362747800504708*^-6+0.*I	0.+0.0005174548509105156*I	0.00001687379591656997+0.*I	0.+0.0006602946051621517*I	7.668162504669303*^-6+0.*I	0.+0.0008667913021862378*I	0.000014963553108800445+0.*I	0.+0.0011229860893044554*I	0.000015798426878267476+0.*I	0.+0.0014742269625950067*I	0.000018560551479270777+0.*I	0.+0.001967690886925515*I	0.000021347583943808846+0.*I	0.+0.0026958909977504936*I	0.000026269193638928814+0.*I	0.+0.0038293938845189264*I	0.000025181912285441324+0.*I	0.+0.005752972576895255*I	0.000041404929032817465+0.*I	0.+0.009334675883516488*I	0.00003057301896899992+0.*I	0.+0.01734005270222333*I	0.000059795322698508796+0.*I	0.+0.04144925347137548*I	0.00005751157758353627+0.*I	0.+0.21107103581433065*I	-0.49989096025592894+0.*I	0.-0.6379184504865889*I	-0.49989846706731056+0.*I	0.+0.21058888449860638*I	0.00005795174660698351+0.*I	0.+0.040452821227339945*I	0.00003777139982747009+0.*I	0.+0.015680171854602156*I	0.000023363370935164928+0.*I	0.+0.006832965554637351*I	0.000011243566724363773+0.*I	0.+0.0019761598739173546*I
0.+0.00003647510957676651*I	1.5485863561998883*^-7+0.*I	0.+0.00011527951874622164*I	6.830909894323551*^-6+0.*I	0.+0.00018806100094876895*I	-2.8481072497286527*^-6+0.*I	0.+0.0002919975394772402*I	0.000016088769652413673+0.*I	0.+0.00037555988725646933*I	-2.291443687439211*^-6+0.*I	0.+0.0005174548508849676*I	0.000016802491804405488+0.*I	0.+0.0006538865181784422*I	7.456741722466051*^-6+0.*I	0.+0.0008537395575768484*I	0.000014611077996767237+0.*I	0.+0.001102785788613109*I	0.000015261699238595738+0.*I	0.+0.001446137246953603*I	0.000017710341301999437+0.*I	0.+0.001931215777319447*I	0.000022042935480621247+0.*I	0.+0.0026451763042352043*I	0.00002012987002842975+0.*I	0.+0.003776812702975533*I	0.00003521340460762262+0.*I	0.+0.005662087783027197*I	0.00002267947284755809+0.*I	0.+0.009257521622696245*I	0.000049024536453213825+0.*I	0.+0.01719815773859759*I	0.000040630083079621276+0.*I	0.+0.04130641371708265*I	0.00006664590687494398+0.*I	0.+0.21085813103032897*I	-0.4998984670673182+0.*I	0.-0.6381876970182794*I	-0.49989965441621015+0.*I	0.+0.2102174433246286*I	0.00005465289435432555+0.*I	0.+0.03993126758735419*I	0.00003413415716650687+0.*I	0.+0.014915496634156752*I	0.000019137112833324908+0.*I	0.+0.005648747974382487*I	6.191524424629708*^-6+0.*I
8.502101935243904*^-7+0.*I	0.+0.00006456482522687268*I	6.915862286550537*^-7+0.*I	0.+0.00013547981943728317*I	7.183385044017397*^-6+0.*I	0.+0.00020111274556479998*I	-2.636686454328486*^-6+0.*I	0.+0.00029840562648647377*I	0.000016160073787837312+0.*I	0.+0.0003755598873038885*I	-2.36274782447902*^-6+0.*I	0.+0.000511046763868835*I	0.00001659107101222742+0.*I	0.+0.0006408347735491241*I	7.104266565948993*^-6+0.*I	0.+0.0008335392568523145*I	0.000014074350348510133+0.*I	0.+0.001074696072949727*I	0.000014411489064614308+0.*I	0.+0.0014096621373413175*I	0.000018405692841770986+0.*I	0.+0.00188050108384156*I	0.00001590361188546561+0.*I	0.+0.002592595122691405*I	0.000030161362278573065+0.*I	0.+0.0036859279091461432*I	0.0000164879484433928+0.*I	0.+0.005584933522205648*I	0.0000411309903653426+0.*I	0.+0.009115626659131149*I	0.000029859296853685134+0.*I	0.+0.017055317984244246*I	0.00004976441238556151+0.*I	0.+0.04109350893310827*I	0.000059139095508639426+0.*I	0.+0.21058888449854254*I	-0.49989965441623785+0.*I	0.-0.6385591381922435*I	-0.4999029532684779+0.*I	0.+0.20969588968459027*I	0.00005101565166342538+0.*I	0.+0.03916659236695792*I	0.000029907899015406438+0.*I	0.+0.013731279053864252*I	0.000014085070563475095+0.*I	0.+0.0036725881004974906*I
0.+0.000028089715643428098*I	1.386937802140353*^-6+0.*I	0.+0.00008476512592908626*I	1.044061440989683*^-6+0.*I	0.+0.00014853156403965925*I	7.394805812477025*^-6+0.*I	0.+0.00020752083258003445*I	-2.5653823715948095*^-6+0.*I	0.+0.00029840562648799756*I	0.000016088769677629586+0.*I	0.+0.0003691518002609792*I	-2.574168605140415*^-6+0.*I	0.+0.0004979950192434919*I	0.0000162385958842299+0.*I	0.+0.000620634472857455*I	6.567538976119963*^-6+0.*I	0.+0.0008054495412479372*I	0.00001322414015793381+0.*I	0.+0.0010382209633812243*I	0.000015106840594412296+0.*I	0.+0.0013589474438227825*I	0.000012266369197620898+0.*I	0.+0.0018279199022892345*I	0.000025935104152144816+0.*I	0.+0.0025017103288440022*I	0.000011435906204095077+0.*I	0.+0.0036087736483149087*I	0.00003493946590809536+0.*I	0.+0.005443038558594906*I	0.00002196575077267469+0.*I	0.+0.008972786904801435*I	0.00003899362609832282+0.*I	0.+0.01684241320029485*I	0.000042257600973445805+0.*I	0.+0.04082426240131676*I	0.00005795174657835505+0.*I	0.+0.21021744332462866*I	-0.49990295326844636+0.*I	0.-0.6390806918322645*I	-0.49990659051114195+0.*I	0.+0.20893121446417917*I	0.00004678939356831245+0.*I	0.+0.03798237478665904*I	0.000024855856789106952+0.*I	0.+0.011755119180017513*I	7.893546070085201*^-6+0.*I
5.367276329947197*^-7+0.*I	0.+0.00004829001633265341*I	1.7394129387496868*^-6+0.*I	0.+0.00009781687057610567*I	1.255482218648788*^-6+0.*I	0.+0.0001549396510417296*I	7.466109935004391*^-6+0.*I	0.+0.00020752083259499235*I	-2.636686456432841*^-6+0.*I	0.+0.0002919975394545703*I	0.000015877348885862607+0.*I	0.+0.0003561000556714572*I	-2.9266437552278414*^-6+0.*I	0.+0.00047779471855220653*I	0.000015701868216758203+0.*I	0.+0.0005925447571899589*I	5.717328786474025*^-6+0.*I	0.+0.0007689744316368976*I	0.000013919491684886694+0.*I	0.+0.0009875062698751498*I	8.96751699585102*^-6+0.*I	0.+0.001306366262296117*I	0.000022297861501016826+0.*I	0.+0.0017370351084080075*I	7.209648051990534*^-6+0.*I	0.+0.002424556068087142*I	0.000029887423638025884+0.*I	0.+0.003466878684726895*I	0.00001577422634862645+0.*I	0.+0.0053001988042785985*I	0.00003110008001335328+0.*I	0.+0.008759882120794343*I	0.00003148681476765138+0.*I	0.+0.01657316666851672*I	0.00004107025208224053+0.*I	0.+0.040452821227378255*I	0.0000546528943641979+0.*I	0.+0.20969588968461694*I	-0.499906590511141+0.*I	0.-0.6398453670527127*I	-0.4999108167692739+0.*I	0.+0.2077469968839346*I	0.00004173735127670966+0.*I	0.+0.03600621491280741*I	0.000018664332358734104+0.*I	0.+0.008082531079475206*I
0.+0.00002020030067917646*I	8.892027908102577*^-7+0.*I	0.+0.00006134176098451994*I	1.950833725493272*^-6+0.*I	0.+0.00010422495754374*I	1.3267863325999658*^-6+0.*I	0.+0.00015493965108352354*I	7.3948058234383645*^-6+0.*I	0.+0.0002011127455599543*I	-2.8481072418306803*^-6+0.*I	0.+0.0002789457948727862*I	0.000015524873713066718+0.*I	0.+0.00033589975492056374*I	-3.463371353522775*^-6+0.*I	0.+0.00044970500293341626*I	0.00001485165806225601+0.*I	0.+0.0005560696476096328*I	6.412680296797766*^-6+0.*I	0.+0.0007182597381437953*I	7.780168095294637*^-6+0.*I	0.+0.0009349250883352719*I	0.000018999009266597464+0.*I	0.+0.0012154814684629336*I	3.5724053618199357*^-6+0.*I	0.+0.0016598808476234132*I	0.00002566116552643658+0.*I	0.+0.002282661104427752*I	0.000010722184016900894+0.*I	0.+0.0033240389304104168*I	0.00002490855560791173+0.*I	0.+0.00508729402028455*I	0.000023593268641467635+0.*I	0.+0.008490635589043888*I	0.00003029946586449597+0.*I	0.+0.016201725494577532*I	0.00003777139984781527+0.*I	0.+0.03993126758736565*I	0.000051015651674618076+0.*I	0.+0.20893121446418841*I	-0.4999108167692796+0.*I	0.-0.6410295846329604*I	-0.49991586881153216+0.*I	0.+0.20577083701005217*I	0.00003554582683419653+0.*I	0.+0.032333626812294375*I	0.00001077078626113791+0.*I
3.524751291639986*^-7+0.*I	0.+0.000033252045317546115*I	1.100623586725659*^-6+0.*I	0.+0.00006774984800990822*I	2.0221378335476644*^-6+0.*I	0.+0.0001042249575553729*I	1.2554822433919486*^-6+0.*I	0.+0.00014853156404881826*I	7.183385024611276*^-6+0.*I	0.+0.0001880610009601698*I	-3.2005823903829726*^-6+0.*I	0.+0.000258745494154451*I	0.000014988146079026492+0.*I	0.+0.0003078100393011025*I	-4.313581527989904*^-6+0.*I	0.+0.0004132298933280777*I	0.000015547009555311192+0.*I	0.+0.0005053549541137856*I	2.7335672622648194*^-7+0.*I	0.+0.0006656785565853306*I	0.00001781166032110957+0.*I	0.+0.0008440402944419236*I	2.7355316281041354*^-7+0.*I	0.+0.0011383272076301958*I	0.000022023922847727925+0.*I	0.+0.0015179858840320326*I	6.495925918644367*^-6+0.*I	0.+0.0021398213501615925*I	0.000019856513300119648+0.*I	0.+0.003111134146394025*I	0.000017401744206488567+0.*I	0.+0.004818047488542385*I	0.000022405919759433762+0.*I	0.+0.008119194415099387*I	0.000027000613634783603+0.*I	0.+0.01568017185459856*I	0.000034134157190906676+0.*I	0.+0.039166592366919675*I	0.00004678939354126589+0.*I	0.+0.20774699688391887*I	-0.49991586881153155+0.*I	0.-0.6430057445068555*I	-0.4999220603359802+0.*I	0.+0.20209824890954878*I	0.00002765228076030595+0.*I	0.+0.024251095732823018*I
0.+0.000013051744619512372*I	5.63895944878678*^-7+0.*I	0.+0.00003966013234082034*I	1.1719276471995722*^-6+0.*I	0.+0.00006774984796961009*I	1.9508337476488803*^-6+0.*I	0.+0.00009781687055786804*I	1.0440614325667541*^-6+0.*I	0.+0.00013547981940010575*I	6.830909878723917*^-6+0.*I	0.+0.00016786070027312373*I	-3.737309991553899*^-6+0.*I	0.+0.00023065577853140305*I	0.000014137935886230105+0.*I	0.+0.00027133492970435395*I	-3.6182300116526677*^-6+0.*I	0.+0.0003625151998112504*I	9.40768598084926*^-6+0.*I	0.+0.0004527737726036275*I	0.0000103048489780561+0.*I	0.+0.000574793762697114*I	-9.137957676406646*^-7+0.*I	0.+0.0007668860336811546*I	0.000018725070634722793+0.*I	0.+0.0009964322440254444*I	2.858683232688966*^-6+0.*I	0.+0.0013751461297083387*I	0.00001563025518418363+0.*I	0.+0.0019269165661153936*I	0.000012349701915103423+0.*I	0.+0.0028418876146373887*I	0.000016214395334478784+0.*I	0.+0.004446606314617077*I	0.00001910706752403953+0.*I	0.+0.007597640775071952*I	0.000023363370966767995+0.*I	0.+0.014915496634120623*I	0.000029907899006799787+0.*I	0.+0.03798237478666793*I	0.000041737351290236745+0.*I	0.+0.20577083701003215*I	-0.4999220603359871+0.*I	0.-0.6466783326073368*I	-0.49992995388209394+0.*I	0.+0.19401571783010416*I	0.000016881494502337465+0.*I
2.1142079380129459*^-7+0.*I	0.+0.00001945983163128285*I	6.352000198849017*^-7+0.*I	0.+0.00003966013235663795*I	1.1006235875904186*^-6+0.*I	0.+0.00006134176096452934*I	1.73941295740451*^-6+0.*I	0.+0.00008476512590740456*I	6.915862766371797*^-7+0.*I	0.+0.00011527951874654438*I	6.294182219728907*^-6+0.*I	0.+0.0001397709846220413*I	-4.587520196325999*^-6+0.*I	0.+0.00019418066891435624*I	0.0000148332874612385+0.*I	0.+0.0002206202362198904*I	-9.757553621957897*^-6+0.*I	0.+0.0003099340182833786*I	0.000019439178255686282+0.*I	0.+0.00036188897870767647*I	-8.420607177545144*^-6+0.*I	0.+0.0004976395018986666*I	0.00001753772169979104+0.*I	0.+0.000624991070073748*I	-4.4016897513740594*^-7+0.*I	0.+0.0008535924897150126*I	0.000011993012509881659+0.*I	0.+0.0011622413456987852*I	8.123443783638327*^-6+0.*I	0.+0.0016576700343856527*I	0.000011162353069142173+0.*I	0.+0.002470446440712082*I	0.000012915543072330562+0.*I	0.+0.003925052674578392*I	0.000015469824887778794+0.*I	0.+0.00683296555468181*I	0.00001913711278837062+0.*I	0.+0.013731279053852376*I	0.00002485585675999893+0.*I	0.+0.03600621491280634*I	0.00003554582685501447+0.*I	0.+0.20209824890949465*I	-0.49992995388208666+0.*I	0.-0.6547608636868292*I	-0.49994072466835177+0.*I	0.+0.16976462209727888*I
0.+6.408086972029076*^-6*I	2.827248841823312*^-7+0.*I	0.+0.000019459831659102145*I	5.638959467451545*^-7+0.*I	0.+0.00003325204530167479*I	8.892027771538849*^-7+0.*I	0.+0.00004829001635320094*I	1.386937799094425*^-6+0.*I	0.+0.00006456482521055797*I	1.548586355600997*^-7+0.*I	0.+0.00008718980311063475*I	5.443972074385119*^-6+0.*I	0.+0.00010329587502362106*I	-3.892168677730712*^-6+0.*I	0.+0.00014346597541046958*I	8.69396384008999*^-6+0.*I	0.+0.00016803905468995204*I	2.739386673485271*^-7+0.*I	0.+0.00021904922437715672*I	7.137221462792792*^-7+0.*I	0.+0.00028473471790552*I	0.000010030910312172673+0.*I	0.+0.00035574453832447697*I	-1.6275179140182498*^-6+0.*I	0.+0.0004821513157646201*I	8.694160285956988*^-6+0.*I	0.+0.0006406877057264944*I	4.486201163742062*^-6+0.*I	0.+0.0008929948139422296*I	6.936094903707148*^-6+0.*I	0.+0.0012862288603858647*I	7.86350081546901*^-6+0.*I	0.+0.0019488928007293143*I	9.278300405660993*^-6+0.*I	0.+0.003160377454163776*I	0.000011243566734862402+0.*I	0.+0.005648747974381045*I	0.000014085070496789655+0.*I	0.+0.01175511917996881*I	0.000018664332366982277+0.*I	0.+0.03233362681227901*I	0.00002765228074374669+0.*I	0.+0.19401571783005456*I	-0.4999407246683472+0.*I	0.-0.679011959419604*I	-0.49995760616277+0.*I
7.130412709664127*^-8+0.*I	0.+6.408087017992147*^-6*I	2.1142075015559772*^-7+0.*I	0.+0.00001305174463884874*I	3.524751953241158*^-7+0.*I	0.+0.000020200300685168682*I	5.367276062405403*^-7+0.*I	0.+0.000028089715642082725*I	8.502101854925936*^-7+0.*I	0.+0.000036475109574480876*I	-6.953515409733257*^-7+0.*I	0.+0.00005071469351432567*I	6.139323614522336*^-6+0.*I	0.+0.00005258118152730002*I	-0.000010031492296030926+0.*I	0.+0.00009088479389262146*I	0.000018725456162461734+0.*I	0.+0.00007715426081754662*I	-0.000018451517504052798+0.*I	0.+0.00014189496358903213*I	0.000019165239603558454+0.*I	0.+0.00014283975429485742*I	-9.134329301150378*^-6+0.*I	0.+0.00021290478401692818*I	7.506811419039834*^-6+0.*I	0.+0.000269246531751228*I	1.1873488853173382*^-6+0.*I	0.+0.0003714411739555492*I	3.2988522371713854*^-6+0.*I	0.+0.0005215536399985161*I	3.6372426686929126*^-6+0.*I	0.+0.000764675220443196*I	4.2262581396906634*^-6+0.*I	0.+0.0011842175802602608*I	5.052042275322747*^-6+0.*I	0.+0.001976159873876474*I	6.191524442682189*^-6+0.*I	0.+0.003672588100517317*I	7.893546083798298*^-6+0.*I	0.+0.008082531079462276*I	0.000010770786239847418+0.*I	0.+0.024251095732797056*I	0.000016881494495288795+0.*I	0.+0.1697646220972375*I	-0.4999576061628486+0.*I	0.-0.8487765815168801*I
