0.-0.8487769754495245*I	-0.4999574435299124+0.*I	0.+0.16976403798306103*I	0.000015302360454423264+0.*I	0.+0.02424604950485533*I	0.000015818507324681766+0.*I	0.+0.008087555495317207*I	-3.438465530714743*^-6+0.*I	0.+0.0036542357599262665*I	0.000023384138340036128+0.*I	0.+0.0019906234720898155*I	-0.000015173552762137053+0.*I	0.+0.0011589389219997664*I	0.0000213552516747954+0.*I	0.+0.0007720243337408367*I	-7.87319060306399*^-6+0.*I	0.+0.000505074591005468*I	7.938926889883535*^-6+0.*I	0.+0.0003637121707093724*I	8.227453700102269*^-7+0.*I	0.+0.000259731581159911*I	2.1399203055586427*^-6+0.*I	0.+0.00019102046295256525*I	1.6368590400623332*^-6+0.*I	0.+0.0001409782732433168*I	1.2916045668501868*^-6+0.*I	0.+0.00010330733583847201*I	1.0102393196712737*^-6+0.*I	0.+0.00007374977209274186*I	7.46167233395781*^-7+0.*I	0.+0.000049466133531662904*I	4.907656955649551*^-7+0.*I	0.+0.000028477308515940936*I	2.4360762687662914*^-7+0.*I	0.+9.29994240102261*^-6*I
1.2916076663861989*^-6+0.*I	0.+0.0002442856136290335*I	3.938702045994203*^-6+0.*I	0.+0.0005090558363731538*I	6.824783590815784*^-6+0.*I	0.+0.0008182535665045594*I	8.138299104555613*^-6+0.*I	0.+0.0012104430331327737*I	0.00001632084640599198+0.*I	0.+0.0017248175605905068*I	8.447646631067724*^-6+0.*I	0.+0.0024875419500846635*I	0.000029559282645608456+0.*I	0.+0.003618003573843145*I	0.000013894962969506543+0.*I	0.+0.005559160903688452*I	0.00003653294135006691+0.*I	0.+0.009139646881995705*I	0.00003208424216596238+0.*I	0.+0.01712389504972725*I	0.00004661114935063297+0.*I	0.+0.04122896627472866*I	0.000060276650780685244+0.*I	0.+0.21080198381091086*I	-0.4998993068103993+0.*I	0.-0.6382347232363887*I	-0.49990012955237145+0.*I	0.+0.21017854005008657*I	0.00004937504205577024+0.*I	0.+0.03990942748175777*I	0.00004194588295826803+0.*I	0.+0.014891353643249408*I	4.772123165090744*^-6+0.*I	0.+0.005644859225566575*I	0.000023384138006732336+0.*I
0.+0.00010330732479975346*I	2.3018405147999777*^-6+0.*I	0.+0.0003180353824098897*I	4.684867431591843*^-6+0.*I	0.+0.0005585219812004119*I	7.315557560049549*^-6+0.*I	0.+0.0008467308553056704*I	8.381903685299541*^-6+0.*I	0.+0.001219742972335798*I	0.00001632084915844138+0.*I	0.+0.0017155176348761306*I	8.204040560418486*^-6+0.*I	0.+0.0024590646476359904*I	0.0000290685207567979+0.*I	0.+0.0035685374360086286*I	0.000013148797627038701+0.*I	0.+0.0054854111297348435*I	0.00003552269873439973+0.*I	0.+0.009036339556922693*I	0.00003079263937040456+0.*I	0.+0.016982916769070586*I	0.00004497428825286192+0.*I	0.+0.04103794582678533*I	0.00005813671862278727+0.*I	0.+0.2105422522129649*I	-0.49990012954710683+0.*I	0.-0.6385984353928981*I	-0.4999080684854107+0.*I	0.+0.20967346546745338*I	0.00005724822998687114+0.*I	0.+0.03913740314363077*I	0.00002059061948966723+0.*I	0.+0.013732414723213467*I	0.000019945684294141885+0.*I	0.+0.003654235759820823*I
1.0102377028684382*^-6+0.*I	0.+0.00017705711145318468*I	3.048009283885508*^-6+0.*I	0.+0.0003675015211830687*I	5.175634523618998*^-6+0.*I	0.+0.0005869992888883404*I	7.559162577439861*^-6+0.*I	0.+0.0008560308052813902*I	8.381911415951411*^-6+0.*I	0.+0.0012104430294300511*I	0.000016077235543744708+0.*I	0.+0.0016870403207122128*I	7.713268693278699*^-6+0.*I	0.+0.002409598517593236*I	0.000028322355324911073+0.*I	0.+0.003494787650738652*I	0.000012138553666431548+0.*I	0.+0.005382103791639962*I	0.00003423111915240753+0.*I	0.+0.008895361281091188*I	0.00002915577615900484+0.*I	0.+0.016791896323027928*I	0.0000428343579632271+0.*I	0.+0.04077821423504895*I	0.000057313974978303616+0.*I	0.+0.21017854004582817*I	-0.49990806848393793+0.*I	0.-0.6391035099788325*I	-0.499900195286542+0.*I	0.+0.2089014411400138*I	0.0000358929949864949+0.*I	0.+0.0379784642195935*I	0.00003576418334463418+0.*I	0.+0.011741791251464713*I	-3.438461707250262*^-6+0.*I
0.+0.00007374977758610457*I	1.756406588291506*^-6+0.*I	0.+0.00022652324012612662*I	3.538779795222387*^-6+0.*I	0.+0.00039597882664312717*I	5.419237669353792*^-6+0.*I	0.+0.0005962992151158156*I	7.559162088049859*^-6+0.*I	0.+0.0008467308740233298*I	8.138307841448034*^-6+0.*I	0.+0.001181965726656728*I	0.000015586471845210544+0.*I	0.+0.0016375741801099714*I	6.9671008023468735*^-6+0.*I	0.+0.0023358487331366917*I	0.000027312118821636658+0.*I	0.+0.00339148033414155*I	0.000010846954716416029+0.*I	0.+0.005241125518678773*I	0.000032594251902274356+0.*I	0.+0.008704340826907297*I	0.000027015849288367373+0.*I	0.+0.01653216472785679*I	0.00004201161122671684+0.*I	0.+0.040414502067747646*I	0.00004937505139530364+0.*I	0.+0.20967346546187088*I	-0.4999001952947848+0.*I	0.-0.6398755343099488*I	-0.4999215505318759+0.*I	0.+0.20774250220061088*I	0.00005106654317857428+0.*I	0.+0.035987840763483214*I	0.000012380039016288054+0.*I	0.+0.008087555499649568*I
7.461667935874757*^-7+0.*I	0.+0.00012321591041495643*I	2.2471734453206337*^-6+0.*I	0.+0.0002550005507955815*I	3.782372247448988*^-6+0.*I	0.+0.0004052787604991602*I	5.419244876707365*^-6+0.*I	0.+0.0005869992824222872*I	7.3155456475773705*^-6+0.*I	0.+0.0008182535661200012*I	7.64753280357318*^-6+0.*I	0.+0.0011324995987258332*I	0.000014840306543786579+0.*I	0.+0.0015638244028009607*I	5.956867766094609*^-6+0.*I	0.+0.0022325414090150902*I	0.000026020509435454574+0.*I	0.+0.003250502052558491*I	9.210101859164656*^-6+0.*I	0.+0.005050105066696098*I	0.00003045431850891293+0.*I	0.+0.008444609231272495*I	0.000026193108500597807+0.*I	0.+0.016168452561586024*I	0.000034072680756862416+0.*I	0.+0.03990942748226518*I	0.00005724824214971745+0.*I	0.+0.20890144113329254*I	-0.4999215505388804+0.*I	0.-0.6410344732380583*I	-0.4999063769788592+0.*I	0.+0.2057518787397402*I	0.00002768239945308462+0.*I	0.+0.03233360500045282*I	0.000015818511046372663+0.*I
0.+0.00004946613467701755*I	1.2369425305836759*^-6+0.*I	0.+0.00015169322051127032*I	2.4907783825394707*^-6+0.*I	0.+0.000264300480049183*I	3.7823771965289436*^-6+0.*I	0.+0.00039597882400282947*I	5.175638581062988*^-6+0.*I	0.+0.0005585219830906707*I	6.824793855444991*^-6+0.*I	0.+0.0007687874235557529*I	6.901367799016619*^-6+0.*I	0.+0.0010587498110569138*I	0.00001383005712320514+0.*I	0.+0.001460517066245115*I	4.665263869724367*^-6+0.*I	0.+0.002091563134459483*I	0.000024383646379955833+0.*I	0.+0.0030594815938317643*I	7.070176161198454*^-6+0.*I	0.+0.004790373474651402*I	0.000029631572375237357+0.*I	0.+0.008080897066059904*I	0.00001825418473551591+0.*I	0.+0.015663377982850404*I	0.000041945873000480715+0.*I	0.+0.03913740315277597*I	0.00003589298768203367+0.*I	0.+0.20774250220706708*I	-0.49990637697294643+0.*I	0.-0.6430250967034832*I	-0.49992976112201365+0.*I	0.+0.20209764297135785*I	0.00003112086669509032+0.*I	0.+0.024246049514017126*I
4.907712211274506*^-7+0.*I	0.+0.00007794344696818131*I	1.4805440892752542*^-6+0.*I	0.+0.0001609931569232054*I	2.490786688926633*^-6+0.*I	0.+0.0002550005532859919*I	3.5387682039804413*^-6+0.*I	0.+0.0003675015213705687*I	4.6848542055652476*^-6+0.*I	0.+0.0005090558372120183*I	6.078617055729069*^-6+0.*I	0.+0.0006950376430988463*I	5.891127714232475*^-6+0.*I	0.+0.0009554424871600617*I	0.000012538457002962689+0.*I	0.+0.0013195388062746897*I	3.028413549554382*^-6+0.*I	0.+0.0019005426735204014*I	0.00002224372817629175+0.*I	0.+0.002799750011637954*I	6.247433566256705*^-6+0.*I	0.+0.004426661303147586*I	0.000021692649189841012+0.*I	0.+0.007575822480760736*I	0.000026127367683148606+0.*I	0.+0.0148913536545959*I	0.000020590630155796485+0.*I	0.+0.03797846422565353*I	0.00005106654797318658+0.*I	0.+0.20575187873862996*I	-0.4999297611304813+0.*I	0.-0.6466793324597078*I	-0.49992632266856185+0.*I	0.+0.1940100874860117*I	0.000015302365273806018+0.*I
0.+0.000028477302250855263*I	7.343813704440275*^-7+0.*I	0.+0.00008724338729600156*I	1.4805389498343133*^-6+0.*I	0.+0.00015169321392732166*I	2.2471790619566284*^-6+0.*I	0.+0.00022652325443583282*I	3.0480027322586792*^-6+0.*I	0.+0.00031803537181151337*I	3.938703355727541*^-6+0.*I	0.+0.00043530606452361204*I	5.068379481986538*^-6+0.*I	0.+0.0005917303168572405*I	4.599533157988869*^-6+0.*I	0.+0.0008144642160235471*I	0.000010901603309414277+0.*I	0.+0.0011285183343981361*I	8.884730499209535*^-7+0.*I	0.+0.0016408110916755342*I	0.000021420984249764422+0.*I	0.+0.002436037836559421*I	-1.6914981954009839*^-6+0.*I	0.+0.003921586728519243*I	0.000029565845667352882+0.*I	0.+0.006803798153414559*I	4.7721229376450775*^-6+0.*I	0.+0.01373241472130586*I	0.000035764183255983906+0.*I	0.+0.035987840755230094*I	0.00002768239012287267+0.*I	0.+0.20209764299234492*I	-0.499926322659002+0.*I	0.-0.6547668879799651*I	-0.4999421411677+0.*I	0.+0.16976403799460316*I
2.436026610916353*^-7+0.*I	0.+0.00003777724362440261*I	7.343838467552266*^-7+0.*I	0.+0.0000779434477163119*I	1.2369351087976321*^-6+0.*I	0.+0.00012321591045644624*I	1.7563988853191992*^-6+0.*I	0.+0.00017705711254614024*I	2.3018338912855763*^-6+0.*I	0.+0.000244285604623336*I	2.9284724013950436*^-6+0.*I	0.+0.000331998730050291*I	3.776777004881049*^-6+0.*I	0.+0.00045075204378509877*I	2.962670322181893*^-6+0.*I	0.+0.0006234437543704386*I	8.761682566298112*^-6+0.*I	0.+0.0008687867513270527*I	6.574292507610657*^-8+0.*I	0.+0.001277098920101267*I	0.000013482054611699268+0.*I	0.+0.0019309632515706963*I	6.181700397574208*^-6+0.*I	0.+0.003149562388381837*I	8.210581489233315*^-6+0.*I	0.+0.005644859229910745*I	0.000019945684476697922+0.*I	0.+0.011741791253565342*I	0.000012380033869358043+0.*I	0.+0.032333604999562504*I	0.000031120866031589256+0.*I	0.+0.19401008749061116*I	-0.4999421411712773+0.*I	0.-0.6790129374621978*I	-0.49995744352424876+0.*I
0.+9.29993473740287*^-6*I	2.436131261297782*^-7+0.*I	0.+0.00002847730065701909*I	4.907642213513359*^-7+0.*I	0.+0.00004946613557316182*I	7.46171596454022*^-7+0.*I	0.+0.0000737497809039922*I	1.010235398346715*^-6+0.*I	0.+0.00010330732409228466*I	1.2916040228426936*^-6+0.*I	0.+0.00014097827546433878*I	1.636856021928454*^-6+0.*I	0.+0.0001910204639546803*I	2.1399255612540645*^-6+0.*I	0.+0.0002597315818501783*I	8.22748935225204*^-7+0.*I	0.+0.0003637121680929861*I	7.938928524157062*^-6+0.*I	0.+0.0005050745905187531*I	-7.873197948246476*^-6+0.*I	0.+0.0007720243348504491*I	0.000021355250578848213+0.*I	0.+0.0011589389243701204*I	-0.000015173551874997983+0.*I	0.+0.0019906234712785825*I	0.000023384148816781304+0.*I	0.+0.0036542357551254886*I	-3.4384701787587503*^-6+0.*I	0.+0.008087555498612752*I	0.000015818502046709655+0.*I	0.+0.02424604950544053*I	0.000015302359451197685+0.*I	0.+0.16976403797668965*I	-0.49995744352184+0.*I	0.-0.8487769754445209*I
