0.-0.8487990495605653*I	-0.4999453935843271+0.*I	0.+0.16978687812674437*I	-1.6301799939311059*^-6+0.*I	0.+0.024231039454271477*I	0.00002794139150923332+0.*I	0.+0.00809690299391274*I	-3.3442014772302043*^-6+0.*I	0.+0.0036644730836264267*I	0.000011339093487910116+0.*I	0.+0.0019789263548172092*I	3.528532389307062*^-6+0.*I	0.+0.0011833110760590612*I	4.407566381917576*^-6+0.*I	0.+0.0007643862105961019*I	3.6195408400448078*^-6+0.*I	0.+0.0005212082794143411*I	3.0830858954517256*^-6+0.*I	0.+0.0003703664642803403*I	2.6772585431500322*^-6+0.*I	0.+0.00027172359208599284*I	2.333375177184126*^-6+0.*I	0.+0.0002043613824151136*I	2.0347077082376967*^-6+0.*I	0.+0.0001566577807914707*I	1.7718615614342091*^-6+0.*I	0.+0.0001217957344017695*I	1.5369722705661478*^-6+0.*I	0.+0.0000955896996971059*I	1.32388113027523*^-6+0.*I	0.+0.00007536740083979865*I	1.1279025453848994*^-6+0.*I	0.+0.000059362670810775287*I	9.454047075524829*^-7+0.*I	0.+0.00004637021739792302*I	7.734789264836265*^-7+0.*I	0.+0.000035541356798604595*I	6.097522982238285*^-7+0.*I	0.+0.000026258564613024227*I	4.522039014794818*^-7+0.*I	0.+0.000018055533165993454*I	2.990912764446901*^-7+0.*I	0.+0.000010564179549851782*I	1.4884589748590395*^-7+0.*I	0.+3.477605022068897*^-6*I
0.+0.00007536740562651828*I	2.4517867024424233*^-6+0.*I	0.+0.00023031977363653644*I	4.934162331806133*^-6+0.*I	0.+0.0003984857220411045*I	7.479498431669547*^-6+0.*I	0.+0.0005906848611741608*I	0.000010123967041840242+0.*I	0.+0.0008213048082503019*I	0.00001290954127440708+0.*I	0.+0.0011110839316830767*I	0.000015885892115376805+0.*I	0.+0.0014920145824081701*I	0.000019117826147987125+0.*I	0.+0.002016700468114155*I	0.000022737368833761834+0.*I	0.+0.0027776090815996995*I	0.00002699608934252588+0.*I	0.+0.003950355964666044*I	0.0000302255297540181+0.*I	0.+0.005911226789178166*I	0.000041112417021749295+0.*I	0.+0.009549441310431173*I	0.000037158472587789444+0.*I	0.+0.017610802947145295*I	0.00006432637996002562+0.*I	0.+0.041795472182824575*I	0.0000617507910241825+0.*I	0.+0.21152298763817404*I	-0.49988477069697956+0.*I	0.-0.6373514293213034*I	-0.49988609457490935+0.*I	0.+0.21135203053551635*I	0.00005776203513322765+0.*I	0.+0.0414433566825339*I	0.000057620350310926806+0.*I	0.+0.017055659447564805*I	0.000027644256923105232+0.*I	0.+0.008754395066582848*I	0.00002865508046863848+0.*I	0.+0.004818198386166941*I	0.00001463873165887054+0.*I	0.+0.0024689055672942606*I	8.0271021145397*^-6+0.*I	0.+0.0007643862143734137*I
1.1279041156647113*^-6+0.*I	0.+0.00013473008165143944*I	3.3971898902632814*^-6+0.*I	0.+0.00027668998748702476*I	5.707645591135535*^-6+0.*I	0.+0.0004340270760906574*I	8.089257444963287*^-6+0.*I	0.+0.0006169434252394306*I	0.000010576171346339042+0.*I	0.+0.000839360344731641*I	0.000013208633243458937+0.*I	0.+0.0011216481146231433*I	0.000016034732285885958+0.*I	0.+0.0014954921867934043*I	0.0000191178274453908+0.*I	0.+0.002013222864537563*I	0.000022588519152515127+0.*I	0.+0.0027670448948591583*I	0.0000266969967354606+0.*I	0.+0.0039323004306848165*I	0.00002977332442083514+0.*I	0.+0.005884968223475705*I	0.0000405026717805289+0.*I	0.+0.009513899953131701*I	0.00003638499238200648+0.*I	0.+0.01756443273062378*I	0.00006338097561234808+0.*I	0.+0.04173610950973159*I	0.00006062288791715094+0.*I	0.+0.21144762023217278*I	-0.4998860945751376+0.*I	0.-0.6374470190174534*I	-0.49988763154592064+0.*I	0.+0.21123023480683256*I	0.00005599016700937273+0.*I	0.+0.041286698897940614*I	0.00005558564600760274+0.*I	0.+0.016851298060811308*I	0.000025310879279175986+0.*I	0.+0.008482671473594916*I	0.00002597782717774529+0.*I	0.+0.004447831921188908*I	0.00001155563705304292+0.*I	0.+0.0019476972872419901*I	4.407570337039424*^-6+0.*I
0.+0.00005936267335381051*I	2.073307558238948*^-6+0.*I	0.+0.00018110029520259502*I	4.170669680652064*^-6+0.*I	0.+0.00031223134922998136*I	6.317394217297887*^-6+0.*I	0.+0.0004602856398397831*I	8.541461552236294*^-6+0.*I	0.+0.000634998961798923*I	0.000010875258315124418+0.*I	0.+0.0008499245196476463*I	0.000013357481622284437+0.*I	0.+0.0011251257230211545*I	0.00001603473425073259+0.*I	0.+0.0014920145793801895*I	0.00001896898088581025+0.*I	0.+0.002002658680536895*I	0.000022289428509542726+0.*I	0.+0.0027489893594935186*I	0.00002624479523706743+0.*I	0.+0.0039060418731396915*I	0.000029163575300504736+0.*I	0.+0.005849426866074835*I	0.00003972919173665779+0.*I	0.+0.009467529733613964*I	0.00003543958714822391+0.*I	0.+0.017505070052526422*I	0.0000622530660095135+0.*I	0.+0.04166074210964678*I	0.000059299001947831534+0.*I	0.+0.21135203053799795*I	-0.49988763155302246+0.*I	0.-0.6375688147512257*I	-0.4998894034098092+0.*I	0.+0.21107357702826154*I	0.0000539554612027522+0.*I	0.+0.04108233751710371*I	0.00005325227414095935+0.*I	0.+0.016579574469986452*I	0.000022633627031479607+0.*I	0.+0.00811230500640188*I	0.00002289473375788827+0.*I	0.+0.00392662364045427*I	7.936100987110128*^-6+0.*I	0.+0.0011833110710294387*I
9.454016695637821*^-7+0.*I	0.+0.00010573289815687434*I	2.8467882964510843*^-6+0.*I	0.+0.00021664165082157434*I	4.780422463321292*^-6+0.*I	0.+0.00033848990857931056*I	6.7695997297086326*^-6+0.*I	0.+0.0004783411722187193*I	8.840551397648291*^-6+0.*I	0.+0.0006455631441472879*I	0.000011024105157684211+0.*I	0.+0.0008534021291479815*I	0.000013357477483049555+0.*I	0.+0.0011216481140305802*I	0.00001588589088530696+0.*I	0.+0.0014814504013783206*I	0.00001866989083493689+0.*I	0.+0.0019846031435592965*I	0.000021837222425642786+0.*I	0.+0.0027227307995382776*I	0.000025635038041802995+0.*I	0.+0.0038705005137533006*I	0.000028390099088722807+0.*I	0.+0.005803056648867531*I	0.00003878378191520886+0.*I	0.+0.009408167054024594*I	0.00003431168195416554+0.*I	0.+0.017429702658820555*I	0.00006092918788647201+0.*I	0.+0.04156515241004354*I	0.000057762033579169576+0.*I	0.+0.2112302348053006*I	-0.4998894034076797+0.*I	0.-0.6377254725322375*I	-0.4998914381166855+0.*I	0.+0.21086921564430763*I	0.00005162208961275293+0.*I	0.+0.04081061391912795*I	0.00005057501307771522+0.*I	0.+0.01620920800575378*I	0.000019550533474098746+0.*I	0.+0.007591096721910868*I	0.000019275190401837987+0.*I	0.+0.0031622374298317605*I	3.5285398323203765*^-6+0.*I
0.+0.00004637021237604427*I	1.7188868620364323*^-6+0.*I	0.+0.00014127424850182008*I	3.456535504696932*^-6+0.*I	0.+0.00024290021147110874*I	5.232625658798575*^-6+0.*I	0.+0.0003565454457380851*I	7.068686320208819*^-6+0.*I	0.+0.0004889053544352637*I	8.989399004175459*^-6+0.*I	0.+0.0006490407480530397*I	0.000011024111267449994+0.*I	0.+0.0008499245242928194*I	0.000013208629094434789+0.*I	0.+0.001111083936734425*I	0.00001558680063188926+0.*I	0.+0.0014633948607835068*I	0.000018217687491831142+0.*I	0.+0.0019583445860913914*I	0.000021227471666992442+0.*I	0.+0.0026871894415086486*I	0.000024861562538484336+0.*I	0.+0.003824130294830419*I	0.000027444694395021623+0.*I	0.+0.005743693970833699*I	0.00003765587869900094+0.*I	0.+0.009332799662074148*I	0.00003298779491192985+0.*I	0.+0.017334112960398478*I	0.000059392222676267084+0.*I	0.+0.04144335667893713*I	0.00005599016445004193+0.*I	0.+0.21107357702781074*I	-0.49989143811782494+0.*I	0.-0.6379298339127737*I	-0.49989377148413017+0.*I	0.+0.2105974920466051*I	0.00004894482920906211+0.*I	0.+0.04044024745976594*I	0.00004749192739135984+0.*I	0.+0.01568799972320753*I	0.000015930995230588538+0.*I	0.+0.006826710511774865*I	0.000014867627268456264+0.*I	0.+0.00197892635192589*I
7.734830086422353*^-7+0.*I	0.+0.00008191157200485324*I	2.3286336217837155*^-6+0.*I	0.+0.00016753281221487242*I	3.908743023741706*^-6+0.*I	0.+0.00026095574925233156*I	5.531713382720567*^-6+0.*I	0.+0.0003671096245120571*I	7.217536838072181*^-6+0.*I	0.+0.0004923829651477639*I	8.989395285376132*^-6+0.*I	0.+0.0006455631428276407*I	0.00001087526598265543+0.*I	0.+0.0008393603404990572*I	0.000012909539454890288+0.*I	0.+0.001093028395981881*I	0.000015134594393695248+0.*I	0.+0.0014371363047098315*I	0.00001760793312999634+0.*I	0.+0.0019228032258525333*I	0.000020453994820359563+0.*I	0.+0.00264081922586379*I	0.00002391615789023557+0.*I	0.+0.003764767620180662*I	0.00002631678602527032+0.*I	0.+0.005668326569305919*I	0.000036331995133282915+0.*I	0.+0.009237209963331088*I	0.00003145082738872048+0.*I	0.+0.01721231722393352*I	0.00005762035621266121+0.*I	0.+0.04128669889304343*I	0.0000539554657042697+0.*I	0.+0.2108692156438739*I	-0.4998937714940313+0.*I	0.-0.6382015575091239*I	-0.499896448743061+0.*I	0.+0.2102271255851497*I	0.00004586173905347414+0.*I	0.+0.03991903917664984*I	0.000043872386596285566+0.*I	0.+0.014923613510047215*I	0.000011523428587406211+0.*I	0.+0.005643399442904359*I	0.000011339092523821037+0.*I
0.+0.000035541353432033684*I	1.3832316101844989*^-6+0.*I	0.+0.00010817013574669632*I	2.7808347631873*^-6+0.*I	0.+0.0001855883451979748*I	4.207835192024942*^-6+0.*I	0.+0.0002715199322647077*I	5.680565337522521*^-6+0.*I	0.+0.0003705872337713481*I	7.217532188112595*^-6+0.*I	0.+0.000488905355790617*I	8.840552738605398*^-6+0.*I	0.+0.0006349989594632705*I	0.000010576170398456851+0.*I	0.+0.000821304803260349*I	0.000012457339540231573+0.*I	0.+0.0010667698397702347*I	0.00001452484709428576+0.*I	0.+0.0014015949448643525*I	0.000016834451039712742+0.*I	0.+0.0018764330096884552*I	0.000019508587569128575+0.*I	0.+0.002581456549893904*I	0.000022788253030031392+0.*I	0.+0.0036894002161958275*I	0.00002499290383077196+0.*I	0.+0.005572736874937818*I	0.000034795027905529505+0.*I	0.+0.009115414230014815*I	0.000029678967826110605+0.*I	0.+0.017055659443331393*I	0.000055585648224339315+0.*I	0.+0.0410823375222508*I	0.00005162209238733159+0.*I	0.+0.21059749204972278*I	-0.4998964487478697+0.*I	0.-0.6385719239726344*I	-0.4998995318424481+0.*I	0.+0.20970591729959792*I	0.000042242209188259806+0.*I	0.+0.039154652962722636*I	0.000039464822264299456+0.*I	0.+0.013740302436522085*I	7.994898036676694*^-6+0.*I	0.+0.0036644730795851316*I
6.097510631247253*^-7+0.*I	0.+0.00006179991427978057*I	1.8354353979564093*^-6+0.*I	0.+0.00012622567031101312*I	3.0799245626374405*^-6+0.*I	0.+0.00019615252796598032*I	4.356675567680672*^-6+0.*I	0.+0.0002749975423349594*I	5.680562220578293*^-6+0.*I	0.+0.00036710962594598765*I	7.068691015264612*^-6+0.*I	0.+0.00047834117651754084*I	8.541458203223189*^-6+0.*I	0.+0.0006169434207841868*I	0.000010123966960853312+0.*I	0.+0.0007950462460693388*I	0.000011847586386441284+0.*I	0.+0.001031228478257822*I	0.000013751367024446592+0.*I	0.+0.0013552247273266175*I	0.000015889051173579703+0.*I	0.+0.0018170703369917401*I	0.000018380686714949408+0.*I	0.+0.002506089145640148*I	0.000021464371410156892+0.*I	0.+0.0035938105237725004*I	0.00002345593028716778+0.*I	0.+0.0054509411416667555*I	0.0000330231637190126+0.*I	0.+0.008958756442567979*I	0.000027644256418208628+0.*I	0.+0.016851298063563745*I	0.000053252272986032126+0.*I	0.+0.040810613927701515*I	0.00004894482817473395+0.*I	0.+0.21022712558545195*I	-0.49989953183393865+0.*I	0.-0.6390931322561185*I	-0.4999031513756095+0.*I	0.+0.208941531087357*I	0.00003783463354233829+0.*I	0.+0.03797134189002784*I	0.00003593628714109467+0.*I	0.+0.011761376080033255*I	-3.3442035938247017*^-6+0.*I
0.+0.00002625856835297702*I	1.0619505576924006*^-6+0.*I	0.+0.00007985545147132928*I	2.1345261821264603*^-6+0.*I	0.+0.00013678986067057475*I	3.2287737557337305*^-6+0.*I	0.+0.00019963013459211448*I	4.356682270568052*^-6+0.*I	0.+0.0002715199355883338*I	5.53171371879558*^-6+0.*I	0.+0.0003565454358584533*I	6.769599667252885*^-6+0.*I	0.+0.0004602856464921562*I	8.089258639280603*^-6+0.*I	0.+0.0005906848565729386*I	9.514214314049821*^-6+0.*I	0.+0.0007595048939162616*I	0.000011074106418403016+0.*I	0.+0.0009848582616656387*I	0.000012805957833549668+0.*I	0.+0.001295862055591658*I	0.000014761141610417006+0.*I	0.+0.0017417029263694025*I	0.00001705680640232246+0.*I	0.+0.0024104994508283364*I	0.000019927399227932072+0.*I	0.+0.0034720147822891734*I	0.000021684070296641125+0.*I	0.+0.005294283362240103*I	0.00003098845608913535+0.*I	0.+0.00875439506975878*I	0.000025310879343354005+0.*I	0.+0.01657957447341328*I	0.00005057501368340602+0.*I	0.+0.04044024745365746*I	0.000045861742497328514+0.*I	0.+0.2097059173021888*I	-0.4999031513773696+0.*I	0.-0.63985751847343*I	-0.499907558941161+0.*I	0.+0.20775822001617242*I	0.0000343061031642768+0.*I	0.+0.035992415534830395*I	0.000024597194762449144+0.*I	0.+0.008096902992569446*I
4.522047952488407*^-7+0.*I	0.+0.00004431409653114344*I	1.3610456251709143*^-6+0.*I	0.+0.00009041963466013554*I	2.2833692673990055*^-6+0.*I	0.+0.000140267459483776*I	3.2287693547504194*^-6+0.*I	0.+0.00019615253266263964*I	4.2078392006796835*^-6+0.*I	0.+0.0002609557515962225*I	5.232619498336659*^-6+0.*I	0.+0.000338489905762775*I	6.3173971818022525*^-6+0.*I	0.+0.0004340270788802041*I	7.479503372137633*^-6+0.*I	0.+0.0005551435064543189*I	8.740739090247762*^-6+0.*I	0.+0.0007131346695389694*I	0.000010128701076796997+0.*I	0.+0.0009254955861239243*I	0.000011678058393631929+0.*I	0.+0.001220494651755254*I	0.000013437260238360275+0.*I	0.+0.001646113235663233*I	0.000015519831482461064+0.*I	0.+0.0022887037175848015*I	0.00001815553076821976+0.*I	0.+0.0033153570076673434*I	0.00001964936515554236+0.*I	0.+0.005089921978463007*I	0.00002865507620693299+0.*I	0.+0.008482671475325037*I	0.000022633627597816183+0.*I	0.+0.016209208007585334*I	0.00004749192466461917+0.*I	0.+0.039919039180422625*I	0.00004224220304508195+0.*I	0.+0.20894153108691454*I	-0.49990755894345096+0.*I	0.-0.6410408295385938*I	-0.4999110874725488+0.*I	0.+0.2057792936519251*I	0.00002296700457047281+0.*I	0.+0.032327942449412644*I	0.000027941391976371577+0.*I
0.+0.000018055535632853503*I	7.512954319514517*^-7+0.*I	0.+0.00005487828178565857*I	1.5098920919334557*^-6+0.*I	0.+0.0000938972423320042*I	2.283367316894379*^-6+0.*I	0.+0.00013678985988779813*I	3.0799338820880574*^-6+0.*I	0.+0.00018558834056939255*I	3.908744464738798*^-6+0.*I	0.+0.00024290020977242588*I	4.780419169824313*^-6+0.*I	0.+0.0003122313465009005*I	5.707642731875919*^-6+0.*I	0.+0.0003984857235545605*I	6.706027463723356*^-6+0.*I	0.+0.0005087732877531309*I	7.795332270233113*^-6+0.*I	0.+0.0006537719980275539*I	9.000797494439439*^-6+0.*I	0.+0.0008501281806685759*I	0.000010354169947253593+0.*I	0.+0.001124904954401998*I	0.000011900295413792723+0.*I	0.+0.001524317500267748*I	0.000013747965790202832+0.*I	0.+0.002132045933623289*I	0.000016120825059044178+0.*I	0.+0.0031109956232624678*I	0.0000173159871785222+0.*I	0.+0.004818198392307398*I	0.000025977822209113984+0.*I	0.+0.008112305004338648*I	0.000019550537820662016+0.*I	0.+0.015687999723972036*I	0.00004387238704870788+0.*I	0.+0.03915465296055309*I	0.00003783463503692488+0.*I	0.+0.20775822001878858*I	-0.4999110874826625+0.*I	0.-0.6430197558973975*I	-0.49992242657002334+0.*I	0.+0.20211482057710295*I	0.000026311201665833697+0.*I	0.+0.024231039446632574*I
2.990901571062188*^-7+0.*I	0.+0.000028619719214692506*I	9.001425712584776*^-7+0.*I	0.+0.00005835588308055723*I	1.5098929892973234*^-6+0.*I	0.+0.0000904196327279249*I	2.1345229155103618*^-6+0.*I	0.+0.00012622567281284877*I	2.780833196394661*^-6+0.*I	0.+0.00016753281058576002*I	3.4565401241144766*^-6+0.*I	0.+0.00021664165433775136*I	4.1706727695114965*^-6+0.*I	0.+0.0002766899873608443*I	4.934162627159844*^-6+0.*I	0.+0.00035211550488420943*I	5.760627026514531*^-6+0.*I	0.+0.0004494106111655194*I	6.6674268304096895*^-6+0.*I	0.+0.0005784045916546298*I	7.67691729044312*^-6+0.*I	0.+0.0007545384914314194*I	8.817200576997225*^-6+0.*I	0.+0.0010031092233001473*I	0.00001012842651875942+0.*I	0.+0.0013676597215232884*I	0.000011713253836559412+0.*I	0.+0.0019276845545299253*I	0.000013787455578992414+0.*I	0.+0.002839272036166341*I	0.000014638730538290429+0.*I	0.+0.004447831919054377*I	0.000022894728013391624+0.*I	0.+0.007591096724126954*I	0.000015931000629045705+0.*I	0.+0.014923613506805284*I	0.00003946481629786211+0.*I	0.+0.0379713418901473*I	0.000034306099259414496+0.*I	0.+0.20577929366299605*I	-0.49992242656584124+0.*I	0.-0.6466842289843586*I	-0.49991908237381955+0.*I	0.+0.1940179175761533*I	-1.630182268952396*^-6+0.*I
0.+0.000010564183579614417*I	4.4793795432150556*^-7+0.*I	0.+0.00003209732507364338*I	9.001379182852889*^-7+0.*I	0.+0.000054878279230487215*I	1.3610447095178663*^-6+0.*I	0.+0.00007985545759800483*I	1.835435455515361*^-6+0.*I	0.+0.00010817013146903476*I	2.328637709209385*^-6+0.*I	0.+0.00014127425058851895*I	2.8467826521103597*^-6+0.*I	0.+0.00018110029780624148*I	3.3971940564724444*^-6+0.*I	0.+0.0002303197742211105*I	3.988756627120451*^-6+0.*I	0.+0.00029275282984078665*I	4.632719632269105*^-6+0.*I	0.+0.0003740432076330888*I	5.3435431774707004*^-6+0.*I	0.+0.00048281489377553777*I	6.139945303300328*^-6+0.*I	0.+0.0006327427550223072*I	7.045335386380287*^-6+0.*I	0.+0.000846451443403895*I	8.093721751314983*^-6+0.*I	0.+0.0011632983310039952*I	9.379889567647022*^-6+0.*I	0.+0.001655960961398563*I	0.000011110193863042068+0.*I	0.+0.002468905563436402*I	0.00001155564109231619+0.*I	0.+0.003926623643748524*I	0.000019275194077242593+0.*I	0.+0.006826710507021862*I	0.00001152342619320485+0.*I	0.+0.013740302439840847*I	0.000035936282021455996+0.*I	0.+0.035992415540753414*I	0.000022967008310970522+0.*I	0.+0.20211482057046837*I	-0.49991908236807125+0.*I	0.-0.6547811319776717*I	-0.4999470237670453+0.*I	0.+0.169786878125962*I
1.4884307760615334*^-7+0.*I	0.+0.000014041790702159975*I	4.4793788021163516*^-7+0.*I	0.+0.000028619719237702577*I	7.512960905758925*^-7+0.*I	0.+0.000044314092393611394*I	1.0619564718913899*^-6+0.*I	0.+0.00006179992093589094*I	1.3832290851889528*^-6+0.*I	0.+0.00008191156955217784*I	1.7188842184046038*^-6+0.*I	0.+0.000105732894716397*I	2.0733051310090067*^-6+0.*I	0.+0.0001347300767071741*I	2.4517870348891857*^-6+0.*I	0.+0.00017095710245166844*I	2.8608594253437536*^-6+0.*I	0.+0.0002173854228559904*I	3.3088383802268306*^-6+0.*I	0.+0.00027845351719849487*I	3.8065744313309224*^-6+0.*I	0.+0.0003610191700269742*I	4.368077177234475*^-6+0.*I	0.+0.00047608497125436723*I	5.01062976156208*^-6+0.*I	0.+0.0006420900571047495*I	5.760348299126139*^-6+0.*I	0.+0.0008915747483389147*I	6.702631388660896*^-6+0.*I	0.+0.0012855944960533377*I	8.027105395352896*^-6+0.*I	0.+0.0019476972800629125*I	7.936094917310177*^-6+0.*I	0.+0.003162237424246592*I	0.000014867629954763706+0.*I	0.+0.005643399444352715*I	7.994892239369944*^-6+0.*I	0.+0.011761376081757107*I	0.000024597194579950576+0.*I	0.+0.03232794245042026*I	0.00002631120362663053+0.*I	0.+0.1940179175786435*I	-0.49994702376122857+0.*I	0.-0.6790121714324777*I	-0.4999453935808509+0.*I
0.+3.477604742792295*^-6*I	1.488472592936322*^-7+0.*I	0.+0.000010564183692746143*I	2.9909039572801234*^-7+0.*I	0.+0.000018055532659051743*I	4.522067320505102*^-7+0.*I	0.+0.00002625856384691483*I	6.097489691005017*^-7+0.*I	0.+0.00003554135410507864*I	7.73480052781849*^-7+0.*I	0.+0.000046370220954175534*I	9.45402092532449*^-7+0.*I	0.+0.00005936267444939941*I	1.1279043470216303*^-6+0.*I	0.+0.00007536740411780846*I	1.3238811885111303*^-6+0.*I	0.+0.00009558969674178935*I	1.5369732913990953*^-6+0.*I	0.+0.00012179572994950455*I	1.7718640227694761*^-6+0.*I	0.+0.00015665777958547011*I	2.034709509527893*^-6+0.*I	0.+0.0002043613827850399*I	2.333369965886519*^-6+0.*I	0.+0.0002717235902130605*I	2.6772598384202045*^-6+0.*I	0.+0.0003703664656013739*I	3.083091279866028*^-6+0.*I	0.+0.0005212082797993664*I	3.619536005563143*^-6+0.*I	0.+0.000764386213963214*I	4.4075667058778766*^-6+0.*I	0.+0.0011833110692429857*I	3.5285324791351093*^-6+0.*I	0.+0.00197892635517595*I	0.000011339091234053997+0.*I	0.+0.003664473083955455*I	-3.3441974326045267*^-6+0.*I	0.+0.008096903001816529*I	0.00002794139256842339+0.*I	0.+0.024231039448626146*I	-1.630183018438454*^-6+0.*I	0.+0.1697868781274905*I	-0.4999453935819247+0.*I	0.-0.8487990495586512*I
