0.-0.8487766217809316*I	-0.49995761053012255+0.*I	0.+0.1697645008344018*I	0.00001687264351067236+0.*I	0.+0.024250892194642836*I	0.000010757662477837337+0.*I	0.+0.00808224302511106*I	7.878345251789798*^-6+0.*I	0.+0.003672208181775972*I	6.176826157505637*^-6+0.*I	0.+0.001975663110467832*I	4.99821009699691*^-6+0.*I	0.+0.0011836315201508595*I	4.013562424915712*^-6+0.*I	0.+0.0007646467735780191*I	5.0866335788966074*^-6+0.*I	0.+0.0005177705486744602*I	-2.0811240565758802*^-6+0.*I	0.+0.00037782601862082965*I	0.000013854584774570353+0.*I	0.+0.00025665321839225027*I	-0.000015058357751387749+0.*I	0.+0.00022302225942795887*I	0.000022026666849763826+0.*I	0.+0.00013656815704869731*I	-0.000015623811520297545+0.*I	0.+0.00013540820800176328*I	0.000012697598340508085+0.*I	0.+0.00008662038174577916*I	-3.863908398234618*^-6+0.*I	0.+0.00007718729003525388*I	2.5999239339868067*^-6+0.*I	0.+0.000057378713328464234*I	7.099754667279915*^-7+0.*I	0.+0.00004481882169110182*I	6.934512174250384*^-7+0.*I	0.+0.00003374732881834229*I	5.613586251511382*^-7+0.*I	0.+0.000024139362911420313*I	3.954632919218469*^-7+0.*I	0.+0.00001556925690001559*I	2.3272762304939838*^-7+0.*I	0.+7.632838000123578*^-6*I	7.864155038449423*^-8+0.*I
2.599923894174049*^-6+0.*I	0.+0.00013456600337806578*I	-5.540089965269071*^-7+0.*I	0.+0.0002660052067658619*I	0.00001283704057168322+0.*I	0.+0.0004351607436444926*I	-2.2254123293602576*^-6+0.*I	0.+0.000595868263615231*I	0.000020196717801253855+0.*I	0.+0.0008344597799010993*I	5.371087672779179*^-6+0.*I	0.+0.001098745836308778*I	0.00001930431399631837+0.*I	0.+0.0014765718549449912*I	0.00001714454839244533+0.*I	0.+0.0019867095656252655*I	0.000021998454338285488+0.*I	0.+0.0027357870822715155*I	0.00002561655350693463+0.*I	0.+0.003895279239483959*I	0.00003005340497467984+0.*I	0.+0.005837195021149143*I	0.00003553677986640658+0.*I	0.+0.009464584381256117*I	0.000042705149647456785+0.*I	0.+0.017489448693057356*I	0.000050862888212389755+0.*I	0.+0.04166315359765145*I	0.00007159944010916324+0.*I	0.+0.21134103405032134*I	-0.4998987086883946+0.*I	0.-0.6375709959385889*I	-0.49988308487684074+0.*I	0.+0.21106905768522694*I	0.000052498986411937765+0.*I	0.+0.0410815345914581*I	0.00005068470067532145+0.*I	0.+0.01657398917839021*I	0.000026072453451479426+0.*I	0.+0.008113920134667248*I	0.000020275232289301934+0.*I	0.+0.003923941404208591*I	9.01177253335585*^-6+0.*I	0.+0.0011836315201651409*I
0.+0.00005737871333521418*I	3.3098993802433256*^-6+0.*I	0.+0.00017938482503230684*I	1.3944222847846614*^-7+0.*I	0.+0.0002997525356236871*I	0.000013398399184653454+0.*I	0.+0.00045930010655978123*I	-1.8299490350578627*^-6+0.*I	0.+0.0006114375204822797*I	0.000020429445442102844+0.*I	0.+0.000842092617939145*I	5.449729221004514*^-6+0.*I	0.+0.0010987458362762112*I	0.000019225672429794334+0.*I	0.+0.0014689390169300605*I	0.000016911820724185273+0.*I	0.+0.0019711403087165555*I	0.00002160299105708583+0.*I	0.+0.002711647719358775*I	0.00002505519487443247+0.*I	0.+0.003861531910645655*I	0.00002935995372975013+0.*I	0.+0.0057923761994724534*I	0.00003482680441020255+0.*I	0.+0.009407205667931226*I	0.000040105225765289055+0.*I	0.+0.01741226140299906*I	0.000054726796585914084+0.*I	0.+0.04157653321593817*I	0.00005890184173690099+0.*I	0.+0.2112056258422921*I	-0.49988308487686817+0.*I	0.-0.6377075640956664*I	-0.49990511154371214+0.*I	0.+0.21084603542583275*I	0.00006755734421583477+0.*I	0.+0.04082488137305987*I	0.000036830115910565+0.*I	0.+0.016196163159789334*I	0.000028153577533445627+0.*I	0.+0.007596149586017292*I	0.000015188598674338948+0.*I	0.+0.0031592946306208043*I	4.998210092913764*^-6+0.*I
7.099755123430332*^-7+0.*I	0.+0.00010219753499982031*I	4.003350573919933*^-6+0.*I	0.+0.00021313215388642326*I	7.008008912090275*^-7+0.*I	0.+0.00032389189853478264*I	0.000013793862446201554+0.*I	0.+0.00047486936344977033*I	-1.5972213889912782*^-6+0.*I	0.+0.0006190703584966164*I	0.00002050808695787093+0.*I	0.+0.000842092617908964*I	5.371087710414425*^-6+0.*I	0.+0.0010911129983285654*I	0.000018992944787452642+0.*I	0.+0.001453369760055118*I	0.00001651635749159625+0.*I	0.+0.001947000945775822*I	0.000021041632412530767+0.*I	0.+0.0026779003905120884*I	0.000024361743650649922+0.*I	0.+0.003816713088988582*I	0.000028649978225341987+0.*I	0.+0.005734997486148674*I	0.00003222688052329275+0.*I	0.+0.009330018377883428*I	0.00004396913407965741+0.*I	0.+0.01732564102129431*I	0.00004202919826300866+0.*I	0.+0.041441125007896575*I	0.00007452565325593223+0.*I	0.+0.2110690576852828*I	-0.49990511154367784+0.*I	0.-0.6379305863551141*I	-0.4998900531859325+0.*I	0.+0.21058938220748538*I	0.00005370275941855001+0.*I	0.+0.04044705535438605*I	0.00003891123997823527+0.*I	0.+0.0156783926111272*I	0.000023066943946680016+0.*I	0.+0.006831502812371244*I	0.00001117503621911269+0.*I	0.+0.001975663110510805*I
0.+0.00004481882168286104*I	1.403426682906717*^-6+0.*I	0.+0.00013594486381730928*I	4.564709232750241*^-6+0.*I	0.+0.0002372715168272454*I	1.0962641328058573*^-6+0.*I	0.+0.0003394611554433473*I	0.000014026590105560761+0.*I	0.+0.00048250220144453135*I	-1.5185798352353553*^-6+0.*I	0.+0.0006190703584751286*I	0.000020429445404167288+0.*I	0.+0.0008344597799573396*I	5.1383600320089824*^-6+0.*I	0.+0.0010755437414118041*I	0.000018597481534841022+0.*I	0.+0.001429230397098749*I	0.000015954998851301136+0.*I	0.+0.0019132536169342745*I	0.0000203481811726609+0.*I	0.+0.002633081568853785*I	0.00002365176816238632+0.*I	0.+0.0037593343756636833*I	0.00002605005436068156+0.*I	0.+0.005657810196091049*I	0.00003609078889308666+0.*I	0.+0.009243397996146287*I	0.000031271535773228564+0.*I	0.+0.017190232813279187*I	0.000057653009778028015+0.*I	0.+0.04130455685084247*I	0.000052498986419814304+0.*I	0.+0.21084603542582722*I	-0.499890053185961+0.*I	0.-0.6381872395734558*I	-0.4999039077706948+0.*I	0.+0.210211556188799*I	0.000055783883529305224+0.*I	0.+0.03992928480576464*I	0.000033824606414058894+0.*I	0.+0.014913745837565181*I	0.000019053381460128047+0.*I	0.+0.00564787129228103*I	6.176826130427864*^-6+0.*I
6.934512376491087*^-7+0.*I	0.+0.00007856615052006394*I	1.964785330831978*^-6+0.*I	0.+0.0001600842267731902*I	4.960172538055139*^-6+0.*I	0.+0.00025284077371424485*I	1.328991767386462*^-6+0.*I	0.+0.0003470939934057418*I	0.000014105231661843938+0.*I	0.+0.00048250220145363345*I	-1.5972214261959333*^-6+0.*I	0.+0.0006114375204951088*I	0.000020196717835275414+0.*I	0.+0.0008188905230391529*I	4.742896734181637*^-6+0.*I	0.+0.0010514043784754844*I	0.000018036122920752517+0.*I	0.+0.0013954830683016593*I	0.00001526154761468068+0.*I	0.+0.001868434795256912*I	0.000019638205697969932+0.*I	0.+0.002575702855529971*I	0.000021051844250010652+0.*I	0.+0.003682147085594053*I	0.000029913962741202023+0.*I	0.+0.005571189814397588*I	0.000023393190523628434+0.*I	0.+0.00910798978814423*I	0.000046895347284851935+0.*I	0.+0.017053664656229*I	0.000035626342939963944+0.*I	0.+0.04108153459142441*I	0.00006755734419134759+0.*I	0.+0.21058938220747903*I	-0.49990390777067956+0.*I	0.-0.6385650655921515*I	-0.4999018266466644+0.*I	0.+0.20969378564017768*I	0.00005069724991679319+0.*I	0.+0.0391646380321498*I	0.00002981104394613933+0.*I	0.+0.013730114317413647*I	0.000014055171354499424+0.*I	0.+0.003672208181742918*I
0.+0.00003374732882600403*I	1.2548098418173009*^-6+0.*I	0.+0.00010270551346975567*I	2.360248637206669*^-6+0.*I	0.+0.00017565348363721164*I	5.192900152779279*^-6+0.*I	0.+0.000260473611701259*I	1.4076333250279573*^-6+0.*I	0.+0.00034709399341788157*I	0.000014026590113991265+0.*I	0.+0.0004748693634513366*I	-1.8299490472382043*^-6+0.*I	0.+0.0005958682636151666*I	0.000019801254502626556+0.*I	0.+0.0007947511601291464*I	4.1815381258626605*^-6+0.*I	0.+0.0010176570496340845*I	0.000017342671696148868+0.*I	0.+0.001350664246597352*I	0.000014551572087438776+0.*I	0.+0.0018110560819585137*I	0.000017038281819266046+0.*I	0.+0.0024985155654687567*I	0.000024915752633630794+0.*I	0.+0.003595526703878747*I	0.000017216364376938557+0.*I	0.+0.005435781606346526*I	0.00003901700208720524+0.*I	0.+0.00897142163108672*I	0.000024868680484888564+0.*I	0.+0.01683064239679881*I	0.000050684700658058236+0.*I	0.+0.04082488137303588*I	0.000053702759442894586+0.*I	0.+0.21021155618882975*I	-0.4999018266466568+0.*I	0.-0.6390828361407339*I	-0.49990691328018194+0.*I	0.+0.20892913886654566*I	0.00004668368742121586+0.*I	0.+0.03798100651202039*I	0.00002481283390567755+0.*I	0.+0.01175445120695018*I	7.878345226207682*^-6+0.*I
5.613586368532982*^-7+0.*I	0.+0.00005788669177761207*I	1.6502731671413586*^-6+0.*I	0.+0.00011827477033906016*I	2.5929762343275396*^-6+0.*I	0.+0.00018328632165002165*I	5.271541704726863*^-6+0.*I	0.+0.0002604736117023587*I	1.328991802971956*^-6+0.*I	0.+0.00033946115540916557*I	0.000013793862461291087+0.*I	0.+0.00045930010657116373*I	-2.225412313196077*^-6+0.*I	0.+0.000571728900658146*I	0.000019239895888605377+0.*I	0.+0.0007610038312700508*I	3.488086886840175*^-6+0.*I	0.+0.0009728382279727323*I	0.000016632696207139247+0.*I	0.+0.0012932855332957285*I	0.000011951648213992866+0.*I	0.+0.0017338687918639776*I	0.000020902190202100554+0.*I	0.+0.002411895183748792*I	0.000012218154282960997+0.*I	0.+0.0034601184958708764*I	0.000032840175928479674+0.*I	0.+0.005299213449312277*I	0.000016990335225786364+0.*I	0.+0.008748399371671668*I	0.00003992703822685995+0.*I	0.+0.016573989178434334*I	0.00003683011591088427+0.*I	0.+0.040447055354423084*I	0.00005578388349159967+0.*I	0.+0.20969378564017438*I	-0.4999069132802037+0.*I	0.-0.6398474829143839*I	-0.4999109268426781+0.*I	0.+0.20774550734644937*I	0.00004168547734834553+0.*I	0.+0.036005343401562986*I	0.000018636007707803155+0.*I	0.+0.00808224302512474*I
0.+0.00002413936293510174*I	9.5682194001902*^-7+0.*I	0.+0.00007345594868950248*I	1.8830007612559623*^-6+0.*I	0.+0.00012590760833155958*I	2.671617820095543*^-6+0.*I	0.+0.00018328632163361368*I	5.192900135303012*^-6+0.*I	0.+0.00025284077369264104*I	1.09626415241183*^-6+0.*I	0.+0.0003238918985599541*I	0.000013398399170631715+0.*I	0.+0.00043516074360164665*I	-2.7867709363668065*^-6+0.*I	0.+0.000537981571839888*I	0.00001854644464605426+0.*I	0.+0.0007161850095908466*I	2.778111436703019*^-6+0.*I	0.+0.0009154595146632345*I	0.000014032772287068303+0.*I	0.+0.0012160982432188763*I	0.00001581555659565556+0.*I	0.+0.0016472484101770887*I	8.204591852027102*^-6+0.*I	0.+0.0022764869757419706*I	0.000027841965796303585+0.*I	0.+0.003323550338836309*I	0.000010813509100059687+0.*I	0.+0.0050761911898851465*I	0.0000320486929809258+0.*I	0.+0.00849174615328123*I	0.000026072453438211434+0.*I	0.+0.01619616315977072*I	0.00003891124003655238+0.*I	0.+0.03992928480575961*I	0.000050697249889535563+0.*I	0.+0.20892913886657444*I	-0.4999109268426801+0.*I	0.-0.6410311144344951*I	-0.49991592505278976+0.*I	0.+0.20576984423591368*I	0.0000355086512375848+0.*I	0.+0.03233313521980059*I	0.000010757662469039795+0.*I
3.9546328728345384*^-7+0.*I	0.+0.00003970861983662187*I	1.189549563556912*^-6+0.*I	0.+0.00008108878664380349*I	1.9616422991004117*^-6+0.*I	0.+0.00012590760832923708*I	2.59297627170194*^-6+0.*I	0.+0.00017565348365961418*I	4.960172493306212*^-6+0.*I	0.+0.00023727151681617815*I	7.008008671193563*^-7+0.*I	0.+0.00029975253561081983*I	0.000012837040551712012+0.*I	0.+0.00040141341478694843*I	-3.4802221780626914*^-6+0.*I	0.+0.0004931627501520477*I	0.000017836469150269547+0.*I	0.+0.0006588062962647133*I	1.7818754188936412*^-7+0.*I	0.+0.0008382722246030113*I	0.000017896680683211652+0.*I	0.+0.0011294778615015238*I	3.117958278776105*^-6+0.*I	0.+0.0015118402021519835*I	0.000023828403365115468+0.*I	0.+0.002139918818706519*I	5.815298980469503*^-6+0.*I	0.+0.0031005280793683205*I	0.00002587186684306156+0.*I	0.+0.0048195379715081825*I	0.00001819410822838083+0.*I	0.+0.008113920134631932*I	0.00002815357749881999+0.*I	0.+0.015678392611137095*I	0.00003382460638777587+0.*I	0.+0.03916463803215732*I	0.0000466836874864706+0.*I	0.+0.20774550734646258*I	-0.49991592505277954+0.*I	0.-0.6430067775449798*I	-0.4999221018789036+0.*I	0.+0.20209763605418804*I	0.000027630305984121543+0.*I	0.+0.024250892194646483*I
0.+0.000015569256877787582*I	6.281909146255865*^-7+0.*I	0.+0.000047341457801219676*I	1.2681910871110085*^-6+0.*I	0.+0.00008108878664641198*I	1.8830007735683269*^-6+0.*I	0.+0.00011827477036600546*I	2.360248633580288*^-6+0.*I	0.+0.00016008422678119493*I	4.5647092316909144*^-6+0.*I	0.+0.00021313215388600286*I	1.39442213505413*^-7+0.*I	0.+0.00026600520676970204*I	0.000012143589337389974+0.*I	0.+0.00035659459310494705*I	-4.1901976605317695*^-6+0.*I	0.+0.0004357840368460739*I	0.000015236545274905128+0.*I	0.+0.0005816190062281413*I	4.042095922585159*^-6+0.*I	0.+0.0007516518428721676*I	5.199082340402313*^-6+0.*I	0.+0.0009940696534792215*I	0.00001874176976554771+0.*I	0.+0.0013752720451262461*I	1.8017365544368436*^-6+0.*I	0.+0.001916896559264332*I	0.000020873656723882623+0.*I	0.+0.002843874860995215*I	0.000012017282052352425+0.*I	0.+0.004441711952868541*I	0.00002027523232737709+0.*I	0.+0.007596149585993777*I	0.00002306694393309278+0.*I	0.+0.014913745837518243*I	0.00002981104392595376+0.*I	0.+0.037981006512045654*I	0.00004168547738203599+0.*I	0.+0.2057698442359438*I	-0.49992210187891195+0.*I	0.-0.6466789857267713*I	-0.4999299802241377+0.*I	0.+0.19401539302901638*I	0.00001687264347888706+0.*I
2.327276129648545*^-7+0.*I	0.+0.000023202094909182624*I	7.06832474958098*^-7+0.*I	0.+0.00004734145782617844*I	1.1895495457503414*^-6+0.*I	0.+0.00007345594864769337*I	1.6502731375628733*^-6+0.*I	0.+0.00010270551344912419*I	1.964785326780897*^-6+0.*I	0.+0.00013594486383511248*I	4.003350611556683*^-6+0.*I	0.+0.00017938482505447454*I	-5.540089877818408*^-7+0.*I	0.+0.00022118638508617246*I	0.000011433613840510252+0.*I	0.+0.0002992158797916576*I	-6.790121578652264*^-6+0.*I	0.+0.00035859674678448926*I	0.00001910045365670414+0.*I	0.+0.0004949986245067659*I	-8.655502424683933*^-6+0.*I	0.+0.0006162436348538041*I	0.000020822893862434142+0.*I	0.+0.0008575014964590307*I	-3.2848970787373755*^-6+0.*I	0.+0.0011522497856503336*I	0.000016860094299492176+0.*I	0.+0.0016602433409002046*I	7.019071996876243*^-6+0.*I	0.+0.0024660488423701634*I	0.00001409840610896449+0.*I	0.+0.003923941404211076*I	0.000015188598683020684+0.*I	0.+0.006831502812391543*I	0.00001905338146498957+0.*I	0.+0.013730114317405584*I	0.00002481283387590224+0.*I	0.+0.036005343401527834*I	0.000035508651220912414+0.*I	0.+0.20209763605417969*I	-0.4999299802241196+0.*I	0.-0.6547612287519093*I	-0.4999407378865997+0.*I	0.+0.16976450083445427*I
0.+7.632838010764132*^-6*I	3.1136918505490745*^-7+0.*I	0.+0.00002320209484007122*I	6.28190917912129*^-7+0.*I	0.+0.000039708619825974556*I	9.568219070811913*^-7+0.*I	0.+0.000057886691781730174*I	1.254809872801262*^-6+0.*I	0.+0.00007856615052178858*I	1.403426733457471*^-6+0.*I	0.+0.00010219753496189128*I	3.3098993631746037*^-6+0.*I	0.+0.00013456600341097528*I	-1.2639844886330182*^-6+0.*I	0.+0.00016380767178672683*I	8.833689953204849*^-6+0.*I	0.+0.0002220285897432533*I	-2.9262131674097616*^-6+0.*I	0.+0.0002719763650507279*I	6.40285531056559*^-6+0.*I	0.+0.00035959041649342283*I	6.968309094365998*^-6+0.*I	0.+0.0004796754777946977*I	-1.203772988175187*^-6+0.*I	0.+0.0006344792370288036*I	0.000011773460710776702+0.*I	0.+0.0008955965672803595*I	3.0055095083151492*^-6+0.*I	0.+0.0012824173222159094*I	9.100196050995619*^-6+0.*I	0.+0.001948278293744415*I	9.011772533621267*^-6+0.*I	0.+0.0031592946306336464*I	0.000011175036241510026+0.*I	0.+0.005647871292241199*I	0.000014055171384421574+0.*I	0.+0.011754451206913548*I	0.000018636007729804714+0.*I	0.+0.03233313521979144*I	0.000027630306019515346+0.*I	0.+0.19401539302906473*I	-0.49994073788664267+0.*I	0.-0.6790121209466059*I	-0.4999576105301343+0.*I
7.864152933747376*^-8+0.*I	0.+7.632838002779006*^-6*I	2.3272762694488257*^-7+0.*I	0.+0.00001556925688373979*I	3.9546328254902756*^-7+0.*I	0.+0.000024139362940963582*I	5.613586255871501*^-7+0.*I	0.+0.000033747328834060825*I	6.934512183900596*^-7+0.*I	0.+0.000044818821679206626*I	7.099754873450038*^-7+0.*I	0.+0.000057378713324083095*I	2.5999239027233356*^-6+0.*I	0.+0.00007718729004235486*I	-3.863908377970676*^-6+0.*I	0.+0.00008662038171092113*I	0.000012697598333476004+0.*I	0.+0.00013540820803052767*I	-0.000015623811522010218+0.*I	0.+0.00013656815704183488*I	0.000022026666830371054+0.*I	0.+0.0002230222594331469*I	-0.00001505835774382346+0.*I	0.+0.0002566532183650614*I	0.000013854584749363181+0.*I	0.+0.00037782601862982056*I	-2.0811240610257305*^-6+0.*I	0.+0.0005177705486645577*I	5.086633607109337*^-6+0.*I	0.+0.0007646467736168075*I	4.013562420975139*^-6+0.*I	0.+0.0011836315201295023*I	4.998210098036931*^-6+0.*I	0.+0.0019756631105064025*I	6.176826147846737*^-6+0.*I	0.+0.0036722081817631928*I	7.878345233712692*^-6+0.*I	0.+0.008082243025129271*I	0.000010757662481957115+0.*I	0.+0.0242508921946233*I	0.000016872643527566004+0.*I	0.+0.169764500834403*I	-0.4999576105301141+0.*I	0.-0.8487766217809318*I
