0.0009547131380572365-2.5304626859574164*^-6*I	0.002007846003956381-5.107335588802846*^-6*I	0.0032838765914454233-7.78156617899782*^-6*I	0.004972822937027642-0.000010614247354890252*I	0.007408077150005816-0.000013684781839852738*I	0.011245114206073782-0.000017104040213403382*I	0.01792115400815068-0.000021036337186825583*I	0.030967433041371607-0.000025733002467711825*I	0.06014960569916988-0.00003155561289118006*I	0.13579830025820508-0.00003878960721837909*I	0.3626100756481373-0.00004598266756419279*I	0.1358919343599078-0.000039475363253054966*I	0.06033961785380614-0.00003293177214774262*I	0.03125949430956517-0.00002780899415341286*I	0.018324251215366856-0.00002382665105837843*I	0.011772193177020369-0.00002062866758788024*I	0.008077026449124485-0.000017969850109790092*I	0.0058079398216526875-0.000015692895305084374*I	0.004318046779335921-0.00001369513028990931*I	0.003285820684796889-0.000011906951108407358*I	0.002538133946547318-0.000010279234365931789*I	0.0019753133101486115-8.775977759622375*^-6*I	0.001536631193045036-7.369862658049063*^-6*I	0.0011832091861857135-6.039472816499846*^-6*I	0.0008889903949835483-4.7674799406350225*^-6*I	0.0006356939489291458-3.5394112549157255*^-6*I	0.00040983931827245614-2.3427761660520095*^-6*I	0.00020088826223506125-1.166417268276716*^-6*I
0.0007314680698260447-2.2585806605169933*^-6*I	0.0015262719694217506-4.55289408041782*^-6*I	0.0024617271395102327-6.921641115711096*^-6*I	0.0036490974802172557-9.410062019971945*^-6*I	0.00526983751136772-0.000012074929973109662*I	0.007651621031143389-0.000014992312412839744*I	0.01144600246830886-0.000018270457481680125*I	0.018087449445285578-0.0000220715827798906*I	0.031105224153725606-0.000026645313836131453*I	0.06026353588710915-0.00003235182082478897*I	0.13589193435990773-0.00003947536325305497*I	0.3626861576148345-0.00004656261888714646*I	0.13595257041404477-0.00003995328753566054*I	0.06038640746925121-0.000033310681169667924*I	0.03129362375008313-0.00002809121257391197*I	0.01834655942613178-0.000024013874883775945*I	0.011783216516358757-0.000020722005545378104*I	0.008077026449124482-0.000017969850109790092*I	0.005796916482314296-0.000015599557347586487*I	0.004295738568570987-0.00001350790646451177*I	0.003251691244278944-0.000011624732687908213*I	0.0024913443311022692-9.900325344006466*^-6*I	0.0019146772560117542-8.298053477016819*^-6*I	0.001460549226348059-6.789911335095408*^-6*I	0.0010895750844829928-5.3537167818239546*^-6*I	0.0007750602070442834-3.971272007026113*^-6*I	0.0004979028365751368-2.6270998864961085*^-6*I	0.0002435438811375679-1.307530572986993*^-6*I
0.000571558831364514-2.0224313944604057*^-6*I	0.0011853492053798956-4.072886187425243*^-6*I	0.0018914928581935826-6.1813899213919425*^-6*I	0.0027587417138503142-8.382323733930517*^-6*I	0.00389264136135483-0.000010717592592958956*I	0.0054707257736027895-0.000013241347241386394*I	0.007817916468278287-0.00001602755800590478*I	0.011583793580662877-0.000019182768850099763*I	0.018201379633224865-0.000022867790713499535*I	0.031198858255428355-0.000027331069870807358*I	0.06033961785380617-0.00003293177214774264*I	0.1359525704140448-0.000039953287535660526*I	0.36273294723027977-0.00004694152790907179*I	0.1359866998545627-0.00004023550595615963*I	0.06040871568001611-0.00003349790499506541*I	0.03130464708942148-0.000028184550531409797*I	0.018346559426131764-0.000024013874883775894*I	0.011772193177020353-0.0000206286675878802*I	0.008054718238359545-0.000017782626284392545*I	0.0057627870417963495-0.000015317338927087343*I	0.0042489489531259365-0.00001312899744258644*I	0.0031910551901420873-0.000011146808405302655*I	0.002415262364405291-9.320374021052804*^-6*I	0.0018210431543090333-7.612297442340927*^-6*I	0.0013466190384087938-5.993703401486497*^-6*I	0.0009517839721289833-4.441405413404337*^-6*I	0.0006087647699093946-2.936026413961095*^-6*I	0.00029701457434007535-1.4606826182193918*^-6*I
0.00045388113555384967-1.8143055269082453*^-6*I	0.0009367797201363437-3.65092723543452*^-6*I	0.001482363779719972-5.533568805644645*^-6*I	0.0021350367393311496-7.488920494378943*^-6*I	0.0029596299760853736-9.548741002207216*^-6*I	0.004058936798489715-0.000011752838186023962*I	0.0056085168859567975-0.000014153658609806002*I	0.00793184665621755-0.000016823765939513675*I	0.011677427682365593-0.000019868524884775628*I	0.018277461599921833-0.000023447742036453144*I	0.031259494309565206-0.000027808994153412884*I	0.0603864074692512-0.000033310681169667924*I	0.1359866998545626-0.000040235505956159656*I	0.36275525544104453-0.00004712875173446924*I	0.13599772319390097-0.000040328843913657425*I	0.06040871568001605-0.00003349790499506533*I	0.031293623750083065-0.00002809121257391186*I	0.018324251215366807-0.000023826651058378313*I	0.011738063736502397-0.000020346449167381035*I	0.008007928622914485-0.000017403717262467193*I	0.005702150987659485-0.000014839414644481774*I	0.004172866986428956-0.00001254904611963277*I	0.003097421088439363-0.00001046105237062675*I	0.0023013321764660233-8.52416608744388*^-6*I	0.001683252041955022-6.699986073921299*^-6*I	0.0011803236012739033-4.958457808421471*^-6*I	0.000750895709893921-3.2749881451276145*^-6*I	0.0003652208887718263-1.6284958409740996*^-6*I
0.0003652208887718289-1.628495840974115*^-6*I	0.0007508957098939264-3.274988145127646*^-6*I	0.001180323601273911-4.958457808421519*^-6*I	0.0016832520419550329-6.699986073921358*^-6*I	0.0023013321764660368-8.524166087443942*^-6*I	0.003097421088439378-0.000010461052370626824*I	0.004172866986428976-0.000012549046119632857*I	0.005702150987659513-0.000014839414644481876*I	0.008007928622914518-0.000017403717262467305*I	0.011738063736502428-0.000020346449167381144*I	0.018324251215366846-0.00002382665105837843*I	0.031293623750083106-0.000028091212573911974*I	0.06040871568001608-0.0000334979049950654*I	0.13599772319390085-0.000040328843913657425*I	0.3627552554410443-0.00004712875173446914*I	0.13598669985456244-0.00004023550595615948*I	0.06038640746925107-0.000033310681169667734*I	0.03125949430956508-0.000027808994153412674*I	0.01827746159992175-0.000023447742036452965*I	0.011677427682365531-0.00001986852488477546*I	0.0079318466562175-0.000016823765939513516*I	0.005608516885956758-0.000014153658609805861*I	0.004058936798489685-0.000011752838186023842*I	0.0029596299760853506-9.548741002207117*^-6*I	0.002135036739331133-7.488920494378855*^-6*I	0.0014823637797199592-5.533568805644577*^-6*I	0.0009367797201363347-3.6509272354344757*^-6*I	0.0004538811355538456-1.8143055269082233*^-6*I
0.00029701457434007687-1.4606826182194011*^-6*I	0.0006087647699093979-2.9360264139611147*^-6*I	0.0009517839721289877-4.441405413404364*^-6*I	0.0013466190384088-5.99370340148653*^-6*I	0.0018210431543090398-7.612297442340968*^-6*I	0.0024152623644052994-9.320374021052855*^-6*I	0.0031910551901420977-0.00001114680840530271*I	0.004248948953125952-0.000013128997442586502*I	0.005762787041796361-0.0000153173389270874*I	0.008054718238359557-0.0000177826262843926*I	0.011772193177020364-0.00002062866758788025*I	0.01834655942613177-0.000024013874883775938*I	0.031304647089421475-0.000028184550531409793*I	0.06040871568001604-0.000033497904995065325*I	0.1359866998545625-0.000040235505956159466*I	0.3627329472302793-0.00004694152790907153*I	0.1359525704140445-0.00003995328753566028*I	0.060339617853805996-0.000032931772147742365*I	0.03119885825542822-0.000027331069870807107*I	0.01820137963322475-0.000022867790713499295*I	0.0115837935806628-0.000019182768850099553*I	0.00781791646827823-0.000016027558005904596*I	0.005470725773602747-0.000013241347241386228*I	0.0038926413613547964-0.000010717592592958815*I	0.002758741713850288-8.382323733930393*^-6*I	0.0018914928581935642-6.181389921391859*^-6*I	0.0011853492053798833-4.072886187425184*^-6*I	0.0005715588313645083-2.022431394460376*^-6*I
0.0002435438811375688-1.3075305729869987*^-6*I	0.0004979028365751387-2.6270998864961195*^-6*I	0.0007750602070442858-3.9712720070261295*^-6*I	0.0010895750844829959-5.353716781823979*^-6*I	0.0014605492263480627-6.789911335095436*^-6*I	0.0019146772560117587-8.298053477016854*^-6*I	0.0024913443311022736-9.900325344006488*^-6*I	0.003251691244278952-0.00001162473268790825*I	0.004295738568570997-0.000013507906464511804*I	0.005796916482314299-0.000015599557347586517*I	0.008077026449124476-0.000017969850109790102*I	0.011783216516358748-0.000020722005545378094*I	0.018346559426131753-0.00002401387488377589*I	0.03129362375008306-0.000028091212573911862*I	0.060386407469251065-0.00003331068116966772*I	0.13595257041404443-0.00003995328753566026*I	0.3626861576148342-0.00004656261888714618*I	0.1358919343599076-0.00003947536325305468*I	0.06026353588710904-0.00003235182082478871*I	0.03110522415372551-0.000026645313836131202*I	0.0180874494452855-0.000022071582779890385*I	0.0114460024683088-0.000018270457481679925*I	0.007651621031143345-0.000014992312412839576*I	0.005269837511367688-0.000012074929973109517*I	0.0036490974802172297-9.410062019971825*^-6*I	0.0024617271395102136-6.921641115711006*^-6*I	0.0015262719694217382-4.552894080417761*^-6*I	0.0007314680698260383-2.2585806605169616*^-6*I
0.00020088826223506188-1.1664172682767194*^-6*I	0.0004098393182724574-2.342776166052018*^-6*I	0.0006356939489291473-3.539411254915736*^-6*I	0.0008889903949835503-4.7674799406350335*^-6*I	0.0011832091861857144-6.03947281649986*^-6*I	0.001536631193045038-7.369862658049079*^-6*I	0.0019753133101486136-8.775977759622389*^-6*I	0.0025381339465473203-0.000010279234365931807*I	0.0032858206847968903-0.000011906951108407358*I	0.004318046779335924-0.000013695130289909306*I	0.005807939821652684-0.000015692895305084357*I	0.008077026449124476-0.000017969850109790065*I	0.011772193177020343-0.000020628667587880175*I	0.0183242512153668-0.000023826651058378306*I	0.03125949430956506-0.00002780899415341265*I	0.06033961785380596-0.00003293177214774235*I	0.1358919343599075-0.00003947536325305468*I	0.3626100756481371-0.000045982667564192504*I	0.13579830025820486-0.00003878960721837878*I	0.06014960569916976-0.00003155561289117979*I	0.030967433041371496-0.000025733002467711584*I	0.017921154008150614-0.00002103633718682536*I	0.011245114206073738-0.000017104040213403202*I	0.007408077150005777-0.000013684781839852577*I	0.004972822937027613-0.000010614247354890124*I	0.003283876591445403-7.781566178997724*^-6*I	0.002007846003956368-5.1073355888027815*^-6*I	0.0009547131380572298-2.5304626859573838*^-6*I
0.00016629543713488898-1.0352455930650203*^-6*I	0.0003386793745890712-2.0787286366963392*^-6*I	0.0005237695062117227-3.1389840996609296*^-6*I	0.0007293280506318676-4.225167289591628*^-6*I	0.0009650723616805268-5.347431263588689*^-6*I	0.001243845240322572-6.517397099105413*^-6*I	0.0015834208084900868-7.748771679974408*^-6*I	0.002009442750666558-9.058196180121537*^-6*I	0.0025604421573122544-0.00001046645819132934*I	0.003296844024135283-0.000012000289065905242*I	0.004318046779335923-0.000013695130289909309*I	0.0057969164823142945-0.000015599557347586483*I	0.008054718238359543-0.00001778262628439253*I	0.011738063736502392-0.000020346449167381018*I	0.01827746159992175-0.000023447742036452958*I	0.031198858255428216-0.000027331069870807097*I	0.060263535887109025-0.000032351820824788695*I	0.13579830025820494-0.000038789607218378786*I	0.36249614546019815-0.00004518645963058362*I	0.13566050914585095-0.000037877295849959206*I	0.05998331026203489-0.0000305203672981148*I	0.030766544779136457-0.000024566585199434892*I	0.017677610127013053-0.00001972880661383838*I	0.010948099631733668-0.00001564335759518383*I	0.0070428562612339565-0.000012056285998878491*I	0.00451894180147377-8.799941827981906*^-6*I	0.0027123177600808955-5.759134784537353*^-6*I	0.0012763779341303304-2.848754928285823*^-6*I
0.0001377911123540092-9.12311368419619*^-7*I	0.0002802256250741536-1.8314535266739303*^-6*I	0.00043231347629179147-2.764484671372232*^-6*I	0.0005998514729086991-3.7189354226145826*^-6*I	0.0007899641047687242-4.703091572197178*^-6*I	0.0010118619771255755-5.726340285514014*^-6*I	0.0012779746808405151-6.799615519604555*^-6*I	0.0016057290192550214-7.935995505371942*^-6*I	0.002020466090004949-9.151534137619411*^-6*I	0.002560442157312253-0.00001046645819132933*I	0.0032858206847968903-0.00001190695110840736*I	0.004295738568570987-0.00001350790646451177*I	0.005762787041796346-0.000015317338927087336*I	0.008007928622914485-0.000017403717262467193*I	0.01167742768236553-0.00001986852488477545*I	0.01820137963322476-0.000022867790713499295*I	0.03110522415372551-0.0000266453138361312*I	0.060149605699169766-0.000031555612891179796*I	0.13566050914585095-0.000037877295849959206*I	0.3623298500230633-0.00004415121403751863*I	0.13545962088361593-0.00003671087858168252*I	0.05973976638089736-0.000029212836725127834*I	0.030469530204796386-0.000023105902581215517*I	0.01731238923824124-0.000018100310772864297*I	0.010494218496179828-0.000013829052068275616*I	0.006471297429869449-0.000010033854604418116*I	0.0037874737316477324-6.541361167464949*^-6*I	0.0017576046220236666-3.2286720985799693*^-6*I
