0.-0.8487766720379828*I	-0.49995761538925976+0.*I	0.+0.16976434926272987*I	0.00001686299102761681+0.*I	0.+0.024250636725058655*I	0.00001074287372541362+0.*I	0.+0.008081879265742194*I	7.856018359570321*^-6+0.*I	0.+0.003671733688158256*I	6.14462508401771*^-6+0.*I	0.+0.0019750896378486035*I	4.997889516453882*^-6+0.*I	0.+0.0011829189449646745*I	4.167010428796691*^-6+0.*I	0.+0.0007631471558975761*I	3.5276612234329496*^-6+0.*I	0.+0.0005197380471708875*I	3.0155633145581508*^-6+0.*I	0.+0.00036865095566018444*I	2.632253601653252*^-6+0.*I	0.+0.0002697476405619531*I	2.4372159957676895*^-6+0.*I	0.+0.0002027192445524942*I	4.243869283778281*^-7+0.*I	0.+0.0001510394591360089*I	6.81626174828579*^-6+0.*I	0.+0.0001267129004525805*I	-9.774828608276806*^-6+0.*I	0.+0.00007758625724659611*I	0.000018560899175144768+0.*I	0.+0.00009062872476238762*I	-0.000019032019650294457+0.*I	0.+0.00003532401794918794*I	0.00001815938151501694+0.*I	0.+0.000055379902731178044*I	-0.000010589963095837486+0.*I	0.+0.00002117330924506289*I	5.5828411552946705*^-6+0.*I	0.+0.000021717967218432915*I	-1.2516220347457118*^-6+0.*I	0.+8.50836503126009*^-6*I	2.441260887364635*^-7+0.*I
2.437215983933501*^-6+0.*I	0.+0.0004724668851277012*I	5.493856482768561*^-6+0.*I	0.+0.0009921572999346026*I	0.00001532568158910088+0.*I	0.+0.0016386082475366053*I	9.078514194616705*^-6+0.*I	0.+0.002479341660652979*I	0.000031806423808224504+0.*I	0.+0.0037528893303946775*I	0.000017772293676443507+0.*I	0.+0.0057633029861502245*I	0.0000420763003018803+0.*I	0.+0.009490416577058675*I	0.00003934235551769977+0.*I	0.+0.01759346915205253*I	0.000055668070423893845+0.*I	0.+0.041865823844335376*I	0.00007127943943743545+0.*I	0.+0.2116386814721051*I	-0.4998860918237035+0.*I	0.-0.6371379905658504*I	-0.4998863359498138+0.*I	0.+0.21163017310706542*I	0.00007253106150846133+0.*I	0.+0.041844105877130146*I	0.00005008522926306288+0.*I	0.+0.017572295842813942*I	0.00004993231865238283+0.*I	0.+0.0094350366743344*I	0.0000239169187696422+0.*I	0.+0.005727978968191827*I	0.000036804313345265617+0.*I	0.+0.003662260605639633*I	0.00001324552462156768+0.*I	0.+0.0024017554034147675*I	0.000018853342803611944+0.*I	0.+0.0015118953470934762*I	8.50941984850034*^-6+0.*I	0.+0.0008411178407699023*I	5.069469577628746*^-6+0.*I	0.+0.0002697476405904123*I
0.+0.00020271924454568125*I	2.8616029097734653*^-6+0.*I	0.+0.0006235063442706062*I	0.000012310118236964138+0.*I	0.+0.001118870200381917*I	5.550852985579611*^-6+0.*I	0.+0.0017161945047825256*I	0.000027639413359657722+0.*I	0.+0.0025699703854357354*I	0.000012774404145756617+0.*I	0.+0.003788213348319958*I	0.00003593167521464187+0.*I	0.+0.005818682888891673*I	0.00003148633719938615+0.*I	0.+0.009511589886292521*I	0.00004492519666346607+0.*I	0.+0.017615187119283237*I	0.000054416448384358216+0.*I	0.+0.04187433220939776*I	0.0000715235655368322+0.*I	0.+0.2116386814721058*I	-0.49988633594977694+0.*I	0.-0.6371464989309211*I	-0.4998850843277568+0.*I	0.+0.21160845513986984*I	0.00006694822031548417+0.*I	0.+0.04182293256789022*I	0.000060675192352888837+0.*I	0.+0.017516915940064135*I	0.0000317729371030588+0.*I	0.+0.009399712656387319*I	0.000042948938408013035+0.*I	0.+0.005637350243444291*I	0.000018243414179866234+0.*I	0.+0.0035846743483844592*I	0.000023020353240483705+0.*I	0.+0.0022750425029499886*I	0.000012037081044273011+0.*I	0.+0.0013608558879703977*I	8.085032913793017*^-6+0.*I	0.+0.0006383985962227715*I	2.6322535945679095*^-6+0.*I
4.243869350213582*^-7+0.*I	0.+0.0003537587036877484*I	9.677864636668086*^-6+0.*I	0.+0.0007502192447082384*I	2.535289651290571*^-6+0.*I	0.+0.0011964564576252598*I	0.00002411175214893996+0.*I	0.+0.0018068232295392855*I	8.607393716359585*^-6+0.*I	0.+0.0026052944033776223*I	0.00003093378565945165+0.*I	0.+0.003843593251053002*I	0.000025341712128361095+0.*I	0.+0.0058398561981478575*I	0.00003706917835680913+0.*I	0.+0.009533307853518141*I	0.0000436735746529103+0.*I	0.+0.017623695484290748*I	0.000054660574479392864+0.*I	0.+0.04187433220935272*I	0.00007127943946297466+0.*I	0.+0.21163017310708346*I	-0.49988508432776313+0.*I	0.-0.6371682168981088*I	-0.49989066716893354+0.*I	0.+0.21158728183060385*I	0.00007753818341837505+0.*I	0.+0.04176755266516059*I	0.00004251581084436072+0.*I	0.+0.017481591922118452*I	0.00005080495676011371+0.*I	0.+0.009309083931644677*I	0.00002438803926777909+0.*I	0.+0.005559763986213145*I	0.000028018242771700738+0.*I	0.+0.003457961447924682*I	0.00001620409147643151+0.*I	0.+0.0021240030438270086*I	0.000011612694125888229+0.*I	0.+0.0011581366433912926*I	5.6478169090988375*^-6+0.*I	0.+0.00036865095565870114*I
0.+0.00015103945913023736*I	7.240648679896613*^-6+0.*I	0.+0.00048047160414918055*I	-9.696395681470532*^-8+0.*I	0.+0.0008278055019626223*I	0.000021096188844899986+0.*I	0.+0.0012870851823823671*I	5.079732512984873*^-6+0.*I	0.+0.0018421472474812834*I	0.000026766775212687263+0.*I	0.+0.002660674306095349*I	0.000020343822594893208+0.*I	0.+0.0038647665603040644*I	0.00003092455327085837+0.*I	0.+0.005861574165363936*I	0.00003581755630168826+0.*I	0.+0.00954181621856572*I	0.00004391770074131824+0.*I	0.+0.017623695484315277*I	0.000054416448394207325+0.*I	0.+0.04186582384431871*I	0.00007253106145267326+0.*I	0.+0.21160845513989482*I	-0.4998906671689132+0.*I	0.-0.6371893902073882*I	-0.4998800772058307+0.*I	0.+0.21153190192789342*I	0.000059378801947572544+0.*I	0.+0.04173222864721337*I	0.00006154783046886459+0.*I	0.+0.017390963197355235*I	0.00003224405758372972+0.*I	0.+0.009231497674373026*I	0.0000341628678385341+0.*I	0.+0.005433051085752523*I	0.000021201981024361846+0.*I	0.+0.0033069219887918015*I	0.000015779704565864377+0.*I	0.+0.0019212837992909832*I	9.175478161045148*^-6+0.*I	0.+0.0008883890028228789*I	3.0155633193285183*^-6+0.*I
6.816261719395759*^-6+0.*I	0.+0.0002777523596076999*I	-2.53417991601347*^-6+0.*I	0.+0.0005580578613824797*I	0.000018463935206731273+0.*I	0.+0.0009184342267120521*I	2.0641691889086776*^-6+0.*I	0.+0.0013224092003193328*I	0.00002323911400454414+0.*I	0.+0.0018975271502211526*I	0.00001617681215447624+0.*I	0.+0.0026818476153311964*I	0.000025926663717508968+0.*I	0.+0.003886484527543971*I	0.00002967293125835218+0.*I	0.+0.005870082530388908*I	0.00003606168237831132+0.*I	0.+0.009541816218573142*I	0.000043673574644802405+0.*I	0.+0.017615187119249035*I	0.00005566807044077461+0.*I	0.+0.04184410587712925*I	0.00006694822030881447+0.*I	0.+0.21158728183059666*I	-0.49988007720582855+0.*I	0.-0.6372447701100613*I	-0.49989823658732335+0.*I	0.+0.21149657790994286*I	0.00007841082150245051+0.*I	0.+0.041641599922430515*I	0.00004298693134241772+0.*I	0.+0.017313376940131*I	0.000042018886205650364+0.*I	0.+0.00910478477394556*I	0.00002734660614021338+0.*I	0.+0.005282011626619581*I	0.000020777594072935584+0.*I	0.+0.003104202744224537*I	0.00001334248856900559+0.*I	0.+0.0016515361586922272*I	6.54322453943489*^-6+0.*I	0.+0.0005197380471704128*I
0.+0.00012671290045845275*I	-2.9585668669053277*^-6+0.*I	0.+0.0003553386168298421*I	0.000016026719252765716+0.*I	0.+0.0006486865861484487*I	-5.680844117829458*^-7+0.*I	0.+0.0009537582446711134*I	0.00002022355068856213+0.*I	0.+0.0013777891030443748*I	0.000012649150920320432+0.*I	0.+0.0019187004594472536*I	0.000021759653311415162+0.*I	0.+0.0027035655825627496*I	0.000024675041702570945+0.*I	0.+0.0038949928925677167*I	0.00002991705732405994+0.*I	0.+0.005870082530394976*I	0.0000358175563014883+0.*I	0.+0.009533307853511103*I	0.000044925196679605464+0.*I	0.+0.017593469152067363*I	0.00005008522925773642+0.*I	0.+0.04182293256789496*I	0.00007753818343170666+0.*I	0.+0.2115319019278955*I	-0.49989823658735183+0.*I	0.-0.6372800941280458*I	-0.49987920456766216+0.*I	0.+0.21140594918519917*I	0.00005984992238440799+0.*I	0.+0.04156401366517615*I	0.00005276175994110612+0.*I	0.+0.01718666403967156*I	0.00003520262442027325+0.*I	0.+0.008953745314807452*I	0.0000269222191644236+0.*I	0.+0.005079292382073094*I	0.00001834037810916418+0.*I	0.+0.0028344551036540767*I	0.0000107102349945636+0.*I	0.+0.0012828852030640414*I	3.5276612198612895*^-6+0.*I
-9.774828620486115*^-6+0.*I	0.+0.0002042991577031192*I	0.000015602332308110165+0.*I	0.+0.00044596734158867116*I	-3.0053003900814776*^-6+0.*I	0.+0.0006840106040866574*I	0.00001759129707312428+0.*I	0.+0.0010091381474149734*I	9.633587624942026*^-6+0.*I	0.+0.0013989624122727876*I	0.000018231992079196458+0.*I	0.+0.0019404184266726013*I	0.000020508031264229067+0.*I	0.+0.002712073947609258*I	0.00002491916777267879+0.*I	0.+0.003894992892570174*I	0.000029672931252313432+0.*I	0.+0.005861574165353624*I	0.00003706917832877226+0.*I	0.+0.009511589886321316*I	0.000039342355554976565+0.*I	0.+0.017572295842823733*I	0.000060675192333382725+0.*I	0.+0.0417675526651374*I	0.00005937880191596415+0.*I	0.+0.2114965779099466*I	-0.49987920456769963+0.*I	0.-0.6373707228528083*I	-0.49989776546688386+0.*I	0.+0.21132836292792306*I	0.00006962475099883824+0.*I	0.+0.041437300764742786*I	0.00004594549817799117+0.*I	0.+0.01703562458055054*I	0.00003477823752827021+0.*I	0.+0.00875102607024254*I	0.000024485003178624038+0.*I	0.+0.004809544741488501*I	0.00001570812451615049+0.*I	0.+0.0024658041480115087*I	7.6946716510968*^-6+0.*I	0.+0.0007631471558797817*I
0.+0.00007758625724501701*I	8.786070552936942*^-6+0.*I	0.+0.00029492788245226816*I	-3.429687308934012*^-6+0.*I	0.+0.0004812913595233204*I	0.000015154081107782197+0.*I	0.+0.0007393905068421036*I	7.001333990768601*^-6+0.*I	0.+0.0010303114566443104*I	0.000015216428756441922+0.*I	0.+0.0014206803794848091*I	0.00001698037003599333+0.*I	0.+0.001948926791733311*I	0.000020752157348917923+0.*I	0.+0.0027120739475864062*I	0.000024675041706945525+0.*I	0.+0.0038864845275252843*I	0.00003092455326965174+0.*I	0.+0.005839856198118601*I	0.00003148633720013119+0.*I	0.+0.009490416577115086*I	0.00004993231861735605+0.*I	0.+0.0175169159400464*I	0.00004251581087239999+0.*I	0.+0.04173222864722689*I	0.00007841082153777013+0.*I	0.+0.2114059491851547*I	-0.49989776546686304+0.*I	0.-0.6374483091100099*I	-0.4998879906382503+0.*I	0.+0.2112016500274869*I	0.0000628084892349876+0.*I	0.+0.041286261305608696*I	0.00004552111125255093+0.*I	0.+0.016832905335997992*I	0.00003234102152366525+0.*I	0.+0.008481278429664276*I	0.000021852749584020742+0.*I	0.+0.004440893785836568*I	0.000012692561198495803+0.*I	0.+0.0019460661008576293*I	4.1670104315095*^-6+0.*I
0.00001856089917769866+0.*I	0.+0.00016821498200050045*I	-0.000010245949090314241+0.*I	0.+0.0003302519003986083*I	0.000014729694182873498+0.*I	0.+0.0005366712622775218*I	4.564118015699351*^-6+0.*I	0.+0.0007605638160712718*I	0.000012584175174878523+0.*I	0.+0.0010520294238593796*I	0.000013964806723837841+0.*I	0.+0.0014291887445578345*I	0.000017224496135588718+0.*I	0.+0.0019489267917081254*I	0.000020508031248555827+0.*I	0.+0.0027035655825572774*I	0.000025926663763784248+0.*I	0.+0.0038647665603058954*I	0.000025341712109650042+0.*I	0.+0.0058186828889455295*I	0.000042076300298904756+0.*I	0.+0.00943503667434809*I	0.00003177293711919329+0.*I	0.+0.017481591922131404*I	0.00006154783046954305+0.*I	0.+0.04164159992239771*I	0.0000598499223731439+0.*I	0.+0.21132836292792728*I	-0.49988799063824946+0.*I	0.-0.6375750220105147*I	-0.49989480689998145+0.*I	0.+0.2110506105683505*I	0.00006238410231112862+0.*I	0.+0.0410835420610344*I	0.000043083895237029894+0.*I	0.+0.01656315769542005*I	0.000029708767925264333+0.*I	0.+0.008112627474016414*I	0.000018837186297901462+0.*I	0.+0.003921155738686406*I	9.164899969896221*^-6+0.*I	0.+0.0011829189449414402*I
0.+0.0000906287247645983*I	-4.711204772518399*^-7+0.*I	0.+0.0002035389999337555*I	7.913432421695953*^-6+0.*I	0.+0.00038563180314393243*I	4.139731074809257*^-6+0.*I	0.+0.0005578445714948019*I	0.000010146959175977342+0.*I	0.+0.0007822817833011657*I	0.000011332553114580085+0.*I	0.+0.0010605377888866878*I	0.000014208932803381317+0.*I	0.+0.0014291887445550165*I	0.000016980370024690142+0.*I	0.+0.0019404184266640673*I	0.000021759653305021734+0.*I	0.+0.002681847615331766*I	0.00002034382257951397+0.*I	0.+0.0038435932510889025*I	0.000035931675212589995+0.*I	0.+0.005763302986166685*I	0.000023916918772710743+0.*I	0.+0.009399712656376822*I	0.000050804956751183273+0.*I	0.+0.017390963197362802*I	0.000042986931356209614+0.*I	0.+0.04156401366519026*I	0.00006962475096574243+0.*I	0.+0.211201650027491*I	-0.49989480690000526+0.*I	0.-0.6377260614696141*I	-0.4998952312869474+0.*I	0.+0.21084789132379353*I	0.000059946886343718837+0.*I	0.+0.040813794420499296*I	0.00004045164164581211+0.*I	0.+0.016194506739750487*I	0.000026693204629342263+0.*I	0.+0.007592889426850796*I	0.00001530952505636377+0.*I	0.+0.0031580085828275084*I	4.997889541924231*^-6+0.*I
-0.000019032019637038093+0.*I	0.+0.00012595274269027875*I	0.000017688261035256016+0.*I	0.+0.00025891890268501627*I	-2.6765306516158828*^-6+0.*I	0.+0.00040680511237030907*I	9.722572240662366*^-6+0.*I	0.+0.000579562538735046*I	8.895337118316758*^-6+0.*I	0.+0.0007907901483282785*I	0.000011576679184193599+0.*I	0.+0.0010605377889069444*I	0.000013964806742533092+0.*I	0.+0.0014206803795067684*I	0.000018231992077387385+0.*I	0.+0.0019187004594583999*I	0.000016176812129835538+0.*I	0.+0.0026606743061093688*I	0.00003093378568354715+0.*I	0.+0.003788213348351987*I	0.000017772293687494156+0.*I	0.+0.005727978968229056*I	0.000042948938446300544+0.*I	0.+0.009309083931638573*I	0.00003224405759278887+0.*I	0.+0.0173133769400832*I	0.00005276175993470298+0.*I	0.+0.04143730076477357*I	0.00006280848924746176+0.*I	0.+0.21105061056834*I	-0.49989523128694846+0.*I	0.-0.6379287807142189*I	-0.49989766850292+0.*I	0.+0.2105781436832018*I	0.00005731463271482278+0.*I	0.+0.040445143464853506*I	0.00003743607834593708+0.*I	0.+0.015674768692557895*I	0.000023165543381561347+0.*I	0.+0.006829742271010824*I	0.000011142514642727432+0.*I	0.+0.0019750896378283346*I
0.+0.00003532401794209277*I	-8.72638132038411*^-7+0.*I	0.+0.00018133264545482753*I	7.098297938197911*^-6+0.*I	0.+0.0002800922119274051*I	2.9063104904872737*^-6+0.*I	0.+0.00042852307959518146*I	8.470950206992756*^-6+0.*I	0.+0.0005880709037588982*I	9.139463234955916*^-6+0.*I	0.+0.0007907901483304221*I	0.000011332553106654925+0.*I	0.+0.0010520294238543374*I	0.00001521642875344934+0.*I	0.+0.001398962412296389*I	0.000012649150916157965+0.*I	0.+0.0018975271502161457*I	0.000026766775234038213+0.*I	0.+0.002605294403374346*I	0.000012774404167768867+0.*I	0.+0.003752889330385946*I	0.00003680431333443456+0.*I	0.+0.005637350243446855*I	0.000024388039261166578+0.*I	0.+0.009231497674362729*I	0.00004201888617618567+0.*I	0.+0.017186664039693142*I	0.00004594549818826015+0.*I	0.+0.041286261305574196*I	0.00006238410229252786+0.*I	0.+0.21084789132381176*I	-0.49989766850290146+0.*I	0.-0.6381985283547378*I	-0.4999003007565057+0.*I	0.+0.21020949272756823*I	0.000054299069386737814+0.*I	0.+0.03992540541762045*I	0.00003390841710621013+0.*I	0.+0.014911621536734388*I	0.000018998532963529792+0.*I	0.+0.005646823325999521*I	6.144625077351574*^-6+0.*I
0.000018159381493384192+0.*I	0.+0.00009070392066405273*I	-0.00001146260123270954+0.*I	0.+0.00020250595468431678*I	0.000012681139114146414+0.*I	0.+0.0003018101791485714*I	1.654688459152217*^-6+0.*I	0.+0.0004370314446499238*I	8.715076272024694*^-6+0.*I	0.+0.0005880709037466948*I	8.89533711596511*^-6+0.*I	0.+0.0007822817832826326*I	0.000012584175152537453+0.*I	0.+0.0010303114566510663*I	9.633587600651046*^-6+0.*I	0.+0.0013777891030521635*I	0.00002323911399711306+0.*I	0.+0.001842147247480468*I	8.60739374540673*^-6+0.*I	0.+0.0025699703854082123*I	0.00003180642378650257+0.*I	0.+0.003662260605640928*I	0.000018243414187150473+0.*I	0.+0.005559763986215715*I	0.00003416286787596531+0.*I	0.+0.009104784773927082*I	0.000035202624472461364+0.*I	0.+0.017035624580552314*I	0.000045521111245452195+0.*I	0.+0.041083542061045954*I	0.00005994688630324324+0.*I	0.+0.21057814368320427*I	-0.4999003007565378+0.*I	0.-0.6385671793104094*I	-0.499903316319818+0.*I	0.+0.20968975468036902*I	0.000050771408181310345+0.*I	0.+0.039162258261779534*I	0.000029741406699536328+0.*I	0.+0.013728702591732487*I	0.000014000643424580032+0.*I	0.+0.0036717336881802952*I
0.+0.00005537990274375238*I	7.5694184139270594*^-6+0.*I	0.+0.00011187722990003361*I	-5.879760087122312*^-6+0.*I	0.+0.00022422392189888385*I	0.000011429517069557725+0.*I	0.+0.00031031854419276097*I	1.8988145390050727*^-6+0.*I	0.+0.000437031444621683*I	8.470950199257847*^-6+0.*I	0.+0.0005795625387417219*I	0.000010146959180314121+0.*I	0.+0.0007605638160618146*I	7.001333994283581*^-6+0.*I	0.+0.001009138147414899*I	0.00002022355066986991+0.*I	0.+0.0013224092003020307*I	5.079732518144715*^-6+0.*I	0.+0.001806823229532927*I	0.000027639413351326777+0.*I	0.+0.0024793416606699744*I	0.000013245524634103768+0.*I	0.+0.003584674348356121*I	0.000028018242783247738+0.*I	0.+0.0054330510857718605*I	0.000027346606105104154+0.*I	0.+0.00895374531479143*I	0.000034778237485243207+0.*I	0.+0.01683290533597952*I	0.00004308389529869973+0.*I	0.+0.040813794420479506*I	0.00005731463271361853+0.*I	0.+0.21020949272756836*I	-0.49990331631979895+0.*I	0.-0.6390869173576096*I	-0.49990684398106416+0.*I	0.+0.2089266075245301*I	0.0000466043977139723+0.*I	0.+0.03797933931682138*I	0.000024743517155017083+0.*I	0.+0.011753612953890808*I	7.856018369390685*^-6+0.*I
-0.000010589963130944345+0.*I	0.+0.00007655321198799143*I	0.000013152259585563059+0.*I	0.+0.00013359519712398383*I	-7.131382120494247*^-6+0.*I	0.+0.00023273228693862247*I	0.000011673643166120075+0.*I	0.+0.0003103185441786705*I	1.6546884321294537*^-6+0.*I	0.+0.00042852307958190345*I	9.722572274804895*^-6+0.*I	0.+0.0005578445715235308*I	4.564117978020818*^-6+0.*I	0.+0.0007393905068203045*I	0.000017591297109872188+0.*I	0.+0.0009537582446532274*I	2.064169157787169*^-6+0.*I	0.+0.0012870851823785464*I	0.000024111752180481935+0.*I	0.+0.0017161945047728543*I	9.078514192418553*^-6+0.*I	0.+0.0024017554033967273*I	0.000023020353220879337+0.*I	0.+0.0034579614479337472*I	0.000021201981040610974+0.*I	0.+0.005282011626643697*I	0.000026922219220983892+0.*I	0.+0.00875102607023589*I	0.0000323410215130738+0.*I	0.+0.01656315769540344*I	0.00004045164166220948+0.*I	0.+0.04044514346484532*I	0.00005429906941153257+0.*I	0.+0.20968975468036016*I	-0.4999068439810549+0.*I	0.-0.6398500645134725*I	-0.4999110109915015+0.*I	0.+0.2077436885795547*I	0.000041606508231942596+0.*I	0.+0.03600424967898922*I	0.00001859889206637477+0.*I	0.+0.008081879265740511*I
0.+0.000021173309211810198*I	-5.007121936342155*^-6+0.*I	0.+0.00009827117920301706*I	0.000011900637527348143+0.*I	0.+0.00014210356214041276*I	-6.8872560319529785*^-6+0.*I	0.+0.00023273228696064959*I	0.000011429517064747664+0.*I	0.+0.00030181017912750613*I	2.9063104923774594*^-6+0.*I	0.+0.0004068051124042365*I	4.13973108186359*^-6+0.*I	0.+0.0005366712622615295*I	0.000015154081113471735+0.*I	0.+0.0006840106041096171*I	-5.680844200742156*^-7+0.*I	0.+0.0009184342267076546*I	0.000021096188817025277+0.*I	0.+0.001196456457619538*I	5.550852965473775*^-6+0.*I	0.+0.0016386082475019989*I	0.000018853342838440573+0.*I	0.+0.0022750425029623663*I	0.000016204091489752476+0.*I	0.+0.003306921988793294*I	0.0000207775940961067+0.*I	0.+0.005079292382107135*I	0.00002448500316219977+0.*I	0.+0.008481278429665423*I	0.000029708767936915776+0.*I	0.+0.016194506739757676*I	0.00003743607836683431+0.*I	0.+0.0399254054176558*I	0.00005077140816331292+0.*I	0.+0.2089266075245255*I	-0.4999110109914903+0.*I	0.-0.6410329834584285*I	-0.4999160088810349+0.*I	0.+0.20576859894170207*I	0.000035461883150630905+0.*I	0.+0.03233251599080632*I	0.000010742873700540111+0.*I
5.582841163526963*^-6+0.*I	0.+0.00004289127646936201*I	-6.258743987002342*^-6+0.*I	0.+0.00010677954420620831*I	0.000012144763635294251+0.*I	0.+0.000142103562156738*I	-7.131382110086949*^-6+0.*I	0.+0.00022422392189401893*I	0.000012681139100056881+0.*I	0.+0.00028009221191528405*I	-2.676530665621647*^-6+0.*I	0.+0.0003856318031633377*I	0.000014729694167807235+0.*I	0.+0.0004812913595269419*I	-3.0053003902557224*^-6+0.*I	0.+0.0006486865861528514*I	0.00001846393522993854+0.*I	0.+0.0008278055019413408*I	2.5352896615328936*^-6+0.*I	0.+0.0011188702003776493*I	0.00001532568158590003+0.*I	0.+0.00151189534705563*I	0.000012037081039843747+0.*I	0.+0.0021240030438592445*I	0.000015779704560574826+0.*I	0.+0.0031042027442296253*I	0.00001834037811105679+0.*I	0.+0.004809544741502793*I	0.00002185274959633427+0.*I	0.+0.008112627474017847*I	0.000026693204607229702+0.*I	0.+0.015674768692606453*I	0.00003390841714375532+0.*I	0.+0.039162258261770534*I	0.000046604397737110475+0.*I	0.+0.20774368857953635*I	-0.4999160088810045+0.*I	0.-0.6430080730962592*I	-0.4999221535061181+0.*I	0.+0.20209686525357748*I	0.000027605864781017467+0.*I	0.+0.02425063672505267*I
0.+0.000021717967207212002*I	4.33121911793091*^-6+0.*I	0.+0.0000513996414890599*I	-6.014617878541257*^-6+0.*I	0.+0.00010677954425307646*I	0.00001190063752597821+0.*I	0.+0.00013359519712478394*I	-5.879760083072458*^-6+0.*I	0.+0.00020250595468415705*I	7.098297947759053*^-6+0.*I	0.+0.00025891890269847735*I	7.913432427192146*^-6+0.*I	0.+0.00033025190038366714*I	-3.4296873392950007*^-6+0.*I	0.+0.0004459673415865827*I	0.000016026719267516158+0.*I	0.+0.000558057861405071*I	-9.696396672938772*^-8+0.*I	0.+0.0007502192446836829*I	0.000012310118258440711+0.*I	0.+0.000992157299898748*I	8.50941983047142*^-6+0.*I	0.+0.0013608558879458397*I	0.000011612694137322654+0.*I	0.+0.001921283799285172*I	0.000013342488584882473+0.*I	0.+0.0028344551036484345*I	0.000015708124506035154+0.*I	0.+0.004440893785864848*I	0.000018837186252791974+0.*I	0.+0.007592889426824263*I	0.00002316554338820339+0.*I	0.+0.014911621536741207*I	0.000029741406671094483+0.*I	0.+0.03797933931680557*I	0.00004160650821430953+0.*I	0.+0.20576859894173208*I	-0.49992215350609326+0.*I	0.-0.6466798067844646*I	-0.49993000952445804+0.*I	0.+0.19401498598781505*I	0.00001686299103948266+0.*I
-1.2516220236953742*^-6+0.*I	0.+0.000030226332233772284*I	4.575345180806887*^-6+0.*I	0.+0.0000513996414823729*I	-6.258743969387296*^-6+0.*I	0.+0.00009827117919643491*I	0.000013152259555590263+0.*I	0.+0.00011187722990658737*I	-0.000011462601235918697+0.*I	0.+0.00018133264546298114*I	0.00001768826101536554+0.*I	0.+0.0002035389999541523*I	-0.000010245949039740411+0.*I	0.+0.0002949278824543381*I	0.000015602332334228514+0.*I	0.+0.0003553386168188083*I	-2.5341799416431286*^-6+0.*I	0.+0.0004804716041368942*I	9.677864644834364*^-6+0.*I	0.+0.0006235063442620016*I	5.493856536285688*^-6+0.*I	0.+0.0008411178407804472*I	8.08503291783045*^-6+0.*I	0.+0.0011581366433840725*I	9.175478113961107*^-6+0.*I	0.+0.001651536158678848*I	0.000010710234967955504+0.*I	0.+0.0024658041480510448*I	0.000012692561223223622+0.*I	0.+0.003921155738672587*I	0.00001530952501206911+0.*I	0.+0.00682974227101009*I	0.00001899853296384856+0.*I	0.+0.01372870259173021*I	0.00002474351715087787+0.*I	0.+0.03600424967897324*I	0.00003546188311973788+0.*I	0.+0.20209686525355808*I	-0.49993000952446054+0.*I	0.-0.6547616860501801*I	-0.4999407523981769+0.*I	0.+0.16976434926276276*I
0.+8.50836500738034*^-6*I	-1.007495954030173*^-6+0.*I	0.+0.000030226332262133515*I	4.3312191233604694*^-6+0.*I	0.+0.00004289127646292145*I	-5.00712194377253*^-6+0.*I	0.+0.0000765532119678159*I	7.569418403515363*^-6+0.*I	0.+0.00009070392066603255*I	-8.72638115658732*^-7+0.*I	0.+0.0001259527427134502*I	-4.711204730234564*^-7+0.*I	0.+0.00016821498197632567*I	8.786070561818409*^-6+0.*I	0.+0.00020429915772717067*I	-2.958566849357559*^-6+0.*I	0.+0.00027775235955266664*I	7.24064867716008*^-6+0.*I	0.+0.0003537587037131169*I	2.8616028930892003*^-6+0.*I	0.+0.0004724668850769548*I	5.069469543962722*^-6+0.*I	0.+0.0006383985962660288*I	5.647816933089215*^-6+0.*I	0.+0.0008883890028330898*I	6.543224581008217*^-6+0.*I	0.+0.0012828852030296795*I	7.694671633681677*^-6+0.*I	0.+0.0019460661008408333*I	9.164899943111628*^-6+0.*I	0.+0.003158008582777624*I	0.00001114251460363529+0.*I	0.+0.005646823326000893*I	0.000014000643424965309+0.*I	0.+0.01175361295391453*I	0.000018598892079486138+0.*I	0.+0.03233251599081501*I	0.000027605864816982594+0.*I	0.+0.1940149859877798*I	-0.49994075239819996+0.*I	0.-0.679012322775269*I	-0.49995761538923983+0.*I
2.4412608420554195*^-7+0.*I	0.+8.50836502006317*^-6*I	-1.2516220365925011*^-6+0.*I	0.+0.000021717967217706493*I	5.5828411445917655*^-6+0.*I	0.+0.000021173309240761604*I	-0.000010589963088562083+0.*I	0.+0.00005537990272446701*I	0.000018159381491252976+0.*I	0.+0.00003532401795924483*I	-0.00001903201962491922+0.*I	0.+0.00009062872477136157*I	0.000018560899175310244+0.*I	0.+0.00007758625722489896*I	-9.774828581493475*^-6+0.*I	0.+0.00012671290044634356*I	6.816261728111227*^-6+0.*I	0.+0.0001510394591376489*I	4.2438691860052*^-7+0.*I	0.+0.00020271924455990577*I	2.437216012576767*^-6+0.*I	0.+0.00026974764057262986*I	2.632253609638225*^-6+0.*I	0.+0.00036865095564235116*I	3.015563302910052*^-6+0.*I	0.+0.0005197380471494987*I	3.527661229369756*^-6+0.*I	0.+0.0007631471559241549*I	4.167010429586437*^-6+0.*I	0.+0.001182918944959054*I	4.997889509129731*^-6+0.*I	0.+0.0019750896378591364*I	6.144625094344316*^-6+0.*I	0.+0.003671733688149095*I	7.856018325287564*^-6+0.*I	0.+0.00808187926575347*I	0.000010742873711873304+0.*I	0.+0.02425063672504024*I	0.000016862991082357298+0.*I	0.+0.16976434926274847*I	-0.49995761538921923+0.*I	0.-0.8487766720379759*I
