-0.025052342269656087-0.023856842354734783*I	0.004532560870440367-0.005093526690034754*I	0.02745566328831537+0.025873022089768802*I	-0.010463895792530655+0.011926074484725229*I	-0.03405862860497287-0.031216383650751314*I	0.02074839654408342-0.024596099974984985*I	0.05276610788920264+0.045537162668990425*I	-0.047107017600071965+0.06673962329194673*I	-0.15780576847776312-0.07015567985029025*I	-0.03394926890728587-0.29981110877999123*I	0.38278748532029966-0.4158201607119327*I	-0.03263589067706129-0.30118452001937024*I	-0.15753019797449616-0.06988787925032691*I	-0.0484956081987079+0.06821064256410479*I	0.05218512320160894+0.04499441654452673*I	0.022310918624847152-0.026245471153548368*I	-0.03307791674439323-0.03032482518975591*I	-0.012293305658155819+0.01389175528502291*I	0.025968175111358623+0.02451171728780348*I	0.006849441911937711-0.007581200847023992*I	-0.022772239376719114-0.02178015982794356*I	-0.0031158177654089228+0.003418513699146121*I	0.02146937231717555+0.020660915796240985*I
-0.011526599582163354+0.012365670346545862*I	-0.003582969952475985-0.003195926558494875*I	0.012943342687204054-0.014040683337443169*I	0.008266393864081178+0.0072887888203020355*I	-0.016557796567791827+0.018385556975125027*I	-0.016356847357690208-0.013993455183261765*I	0.0250128874537369-0.02908990166509318*I	0.036045038502533336+0.029205792662490824*I	-0.0498089864289217+0.06958405380348646*I	-0.1416656837786526-0.05436705596825448*I	-0.03263589067704076-0.3011845200193673*I	0.36692297112448663-0.43134098399400406*I	-0.032635890677054684-0.30118452001937873*I	-0.14166568377867275-0.05436705596826763*I	-0.04980898642894269+0.06958405380348073*I	0.03604503850251325+0.029205792662496604*I	0.025012887453719754-0.029089901665086564*I	-0.016356847357696484-0.013993455183264681*I	-0.0165577965677821+0.018385556975117505*I	0.00826639386410033+0.007288788820302626*I	0.012943342687213675-0.014040683337429003*I	-0.0035829699524840067-0.0031959265584759556*I	-0.011526599582176555+0.012365670346558152*I
0.02146937231717878+0.020660915796247438*I	-0.0031158177653992994+0.0034185136991471674*I	-0.022772239376707835-0.021780159827952925*I	0.006849441911943024-0.007581200847035055*I	0.025968175111361427+0.024511717287798822*I	-0.012293305658142576+0.013891755285020568*I	-0.03307791674436583-0.030324825189762133*I	0.02231091862487367-0.02624547115355443*I	0.05218512320162364+0.04499441654452742*I	-0.048495608198696465+0.06821064256410758*I	-0.1575301979744793-0.06988787925033361*I	-0.032635890677045226-0.30118452001938717*I	0.3827874853202967-0.4158201607119534*I	-0.033949268907305034-0.299811108780004*I	-0.15780576847777714-0.07015567985029257*I	-0.04710701760006791+0.06673962329194948*I	0.052766107889219295+0.04553716266899009*I	0.020748396544099882-0.024596099974992385*I	-0.03405862860495947-0.03121638365076583*I	-0.010463895792519424+0.011926074484716047*I	0.027455663288324998+0.02587302208977678*I	0.004532560870444991-0.005093526690010382*I	-0.025052342269655747-0.02385684235471268*I
0.008410781816757053-0.008947156647398589*I	0.0022801028929383075+0.0020766825267891365*I	-0.009209718540667515+0.009877996189556404*I	-0.005070458129433606-0.004557231360451091*I	0.011113932821588152-0.012075002537132527*I	0.009247105724682203+0.008180347281303891*I	-0.014995274487007593+0.01673618579656131*I	-0.016937832045279898-0.014536201307722173*I	0.023624296855092538-0.027618882392925554*I	0.03632060900579271+0.029473593262456257*I	-0.0484956081987011+0.06821064256409003*I	-0.14166568377866617-0.054367055968282986*I	-0.03394926890729798-0.29981110878000977*I	0.3666474006211858-0.4316087845939719*I	-0.031247300078439132-0.3026555392915281*I	-0.14108469909107718-0.05382430984379464*I	-0.051371508509694686+0.07123342498204453*I	0.03506432664194632+0.02831423420148972*I	0.026842297319350252-0.031055582465393736*I	-0.014869359180745157-0.01263215038129274*I	-0.018874677609292845+0.02087323113213257*I	0.005986290971152619+0.005212106293537122*I	0.016059160452622567-0.017459197036570867*I
-0.01918926942424295-0.01858423326946902*I	0.0023168810414837776-0.002487674157002107*I	0.01998188414020517+0.019299610994284448*I	-0.004945227631028817+0.005384194499457722*I	-0.021791527516116745-0.02088860136694789*I	0.008411963992723644-0.00923057202559596*I	0.025387190423774898+0.023968971163342113*I	-0.013681896256776129+0.015362774557195938*I	-0.032802346241094765-0.030057024589782093*I	0.023624296855105573-0.02761888239292908*I	0.05218512320161856+0.04499441654451771*I	-0.04980898642894213+0.06958405380347522*I	-0.1578057684777701-0.07015567985029662*I	-0.031247300078427204-0.3026555392915335*I	0.3833684700078825-0.4152774145874759*I	-0.03551179098807495-0.298161737601435*I	-0.1587864803383637-0.07104723831129305*I	-0.04527760773445568+0.06477394249164636*I	0.0542535960661578+0.046898467470962095*I	0.018431515502580993-0.022108425817984563*I	-0.03633873149791202-0.03329306617754179*I	-0.0073480780271141565+0.008507560785565364*I	0.031038633240806746+0.02906894864824725*I
-0.006093900775266454+0.006459482490387106*I	-0.0014874881769696667-0.0013613048019819407*I	0.006581371951123316-0.006981475847101213*I	0.003260814753519101+0.0029682409877879084*I	-0.0076471964598973175+0.008228625010986883*I	-0.0056514428170243505-0.005099977484921648*I	0.009725342222958212-0.010603983264967764*I	0.009522676227966325+0.00844814788128572*I	-0.013681896256755794+0.015362774557198708*I	-0.016937832045260996-0.014536201307716552*I	0.02231091862487086-0.026245471153541415*I	0.03604503850252442+0.029205792662508778*I	-0.04710701760006189+0.06673962329195447*I	-0.1410846990910679-0.05382430984380342*I	-0.03551179098806653-0.2981617376014462*I	0.36566668876059083-0.4325003430549748*I	-0.029417890212833774-0.3046212200918276*I	-0.13959721091414265-0.05246300504181652*I	-0.0536883895512122+0.07372109913905554*I	0.03278422374900144+0.026237551674712926*I	0.029958115084765435-0.03447409616454715*I	-0.011286389228255552-0.009436223822822914*I	-0.023407238479736248+0.025966757822143333*I
0.017701781247280907+0.017222928467485583*I	-0.0018294098656167614+0.0019656808002937566*I	-0.018208557563647264-0.017692674808463923*I	0.003879403122260838-0.0041370453355606815*I	0.019400899452613952+0.018756864869812123*I	-0.006333818229664407+0.006855213771605319*I	-0.02151595701283903-0.020620800766983586*I	0.009725342222968872-0.010603983264963512*I	0.025387190423786673+0.023968971163349433*I	-0.014995274487007154+0.016736185796575178*I	-0.03307791674437088-0.030324825189739064*I	0.025012887453742815-0.029089901665068613*I	0.052766107889223+0.045537162669001964*I	-0.051371508509706426+0.07123342498204356*I	-0.15878648033836715-0.07104723831130388*I	-0.029417890212826047-0.30462122009184*I	0.3848559581848253-0.4139161097854973*I	-0.03782867202957156-0.29567406344441655*I	-0.1610665832312885-0.07312392083806397*I	-0.04216178996902911+0.06135542879249859*I	0.05783656601865115+0.05009439402944588*I	0.013898954632139993-0.017014899127948565*I	-0.04232502246906278-0.038505172471054734*I
0.0042644909096447945-0.004493801690094439*I	0.0009807118606005938+0.0008915584610087462*I	-0.0045313786944752+0.004810111311847849*I	-0.0020684728645441633-0.001904050926426775*I	0.005192781352500774-0.005510456574939979*I	0.0035363852568029773+0.0032360415877445187*I	-0.006333818229652969+0.006855213771605379*I	-0.0056514428170225915-0.0050999774849192665*I	0.008411963992707569-0.009230572025591426*I	0.009247105724663357+0.00818034728131141*I	-0.012293305658144646+0.013891755285029643*I	-0.016356847357676885-0.013993455183253428*I	0.020748396544096086-0.0245960999749745*I	0.03506432664191676+0.02831423420150793*I	-0.0452776077344742+0.06477394249165004*I	-0.13959721091413646-0.05246300504183057*I	-0.03782867202956236-0.29567406344443364*I	0.36338658586768124-0.43457702558174954*I	-0.026302072447391883-0.3080397337909798*I	-0.13601424096164763-0.04926707848333821*I	-0.05822095042166507+0.07881462582909368*I	0.026797932777835754+0.02102544538121631*I	0.03730619311187183-0.042981656950088376*I
-0.01672106938669218-0.01633137000648327*I	0.0015625220807732121-0.0016493711785469307*I	0.01712079655969828+0.016680182343044133*I	-0.003218000464232895+0.0034367000724693795*I	-0.01793298706034952-0.01742487420849628*I	0.00519278135251856-0.005510456574945284*I	0.019400899452625086+0.01875686486980346*I	-0.007647196459909411+0.008228625010975394*I	-0.021791527516140292-0.020888601366958345*I	0.011113932821579374-0.012075002537138956*I	0.02596817511136992+0.024511717287795796*I	-0.016557796567783244+0.018385556975125308*I	-0.034058628604978845-0.031216383650743994*I	0.026842297319328322-0.031055582465369738*I	0.0542535960661499+0.04689846747097383*I	-0.05368838955120996+0.0737210991390477*I	-0.1610665832312873-0.07312392083808718*I	-0.026302072447391994-0.30803973379099864*I	0.38843892813731806-0.41072018322703197*I	-0.04236123290002562-0.29058053675440554*I	-0.1670528742024621-0.07833602713159347*I	-0.03481371194193924+0.052847868006934286*I	0.06912295524689066+0.05953061785226184*I
-0.002701968828875452+0.002844430511541509*I	-0.0005809846876007618-0.0005427461244566297*I	0.0028759003110089354-0.003022782417933189*I	0.0012562823638876733+0.001159359060968864*I	-0.0032180004642175346+0.0034367000724595553*I	-0.002068472864526246-0.0019040509264398463*I	0.0038794031222645904-0.00413704533557379*I	0.0032608147535103+0.0029682409877707333*I	-0.004945227631032835+0.005384194499437922*I	-0.005070458129422528-0.0045572313604635645*I	0.0068494419119545045-0.007581200847033922*I	0.008266393864078268+0.007288788820312258*I	-0.010463895792545778+0.011926074484732598*I	-0.014869359180743382-0.012632150381281943*I	0.018431515502597928-0.0221084258179801*I	0.0327842237490015+0.026237551674712745*I	-0.04216178996904639+0.0613554287924875*I	-0.13601424096165987-0.0492670784833606*I	-0.04236123290002378-0.29058053675442086*I	0.35740029489651787-0.4397891318752939*I	-0.01895399442028657-0.31654729457657743*I	-0.12472785173340636-0.03983085466055866*I	-0.07211990505381749+0.09582952495701755*I
0.01614008469910015+0.01578862388202912*I	-0.0013885905986316415+0.001471019272158419*I	-0.0164454988834105-0.016063569406530316*I	0.0028759003110205056-0.003022782417942765*I	0.01712079655970711+0.01668018234302716*I	-0.004531378694476966+0.004810111311837126*I	-0.018208557563651386-0.017692674808463118*I	0.006581371951127772-0.006981475847101575*I	0.019981884140216392+0.01929961099427336*I	-0.009209718540663455+0.009877996189548613*I	-0.022772239376717525-0.021780159827942312*I	0.012943342687189548-0.014040683337422553*I	0.027455663288308424+0.025873022089775682*I	-0.01887467760928177+0.02087323113212347*I	-0.036338731497895425-0.033293066177540645*I	0.02995811508476081-0.03447409616453299*I	0.05783656601863021+0.05009439402945195*I	-0.05822095042167787+0.07881462582908039*I	-0.1670528742024557-0.07833602713160634*I	-0.018953994420276447-0.31654729457657343*I	0.3997253173655821-0.40128395940423656*I	-0.05626018753216092-0.2735656376264718*I	-0.19385080698029789-0.09936147251280622*I
0.001313378230252346-0.001373411239376275*I	0.000275570503298314+0.0002678005999657824*I	-0.0013885905986175478+0.001471019272157494*I	-0.0005809846875896994-0.0005427461244676124*I	0.0015625220807638266-0.0016493711785617476*I	0.0009807118605796863+0.0008915584610103935*I	-0.0018294098656246524+0.001965680800316673*I	-0.001487488176960248-0.0013613048019580258*I	0.0023168810414852777-0.0024876741569948833*I	0.002280102892912721+0.002076682526789009*I	-0.003115817765437154+0.0034185136991572804*I	-0.0035829699524955573-0.0031959265584792316*I	0.0045325608704453995-0.005093526690031762*I	0.005986290971150399+0.00521210629351984*I	-0.007348078027123114+0.008507560785575664*I	-0.01128638922826529-0.009436223822794602*I	0.013898954632136279-0.017014899127934018*I	0.026797932777839803+0.021025445381211632*I	-0.03481371194192877+0.05284786800693538*I	-0.12472785173339342-0.039830854660534536*I	-0.05626018753215234-0.27356563762644664*I	0.3306023621186913-0.460814577256461*I	0.015859717521657046-0.36939516258347377*I
-0.0158645141958047-0.015520823282061448*I	0.0013133782302604713-0.0013734112393735784*I	0.01614008469911477+0.015788623882030686*I	-0.0027019688288706465+0.0028444305115355*I	-0.016721069386706672-0.0163313700064905*I	0.0042644909096251375-0.004493801690087113*I	0.017701781247275398+0.017222928467510622*I	-0.00609390077526087+0.006459482490413525*I	-0.01918926942425165-0.01858423326945656*I	0.008410781816724208-0.008947156647396452*I	0.02146937231714236+0.02066091579625063*I	-0.011526599582177346+0.012365670346550884*I	-0.02505234226964835-0.02385684235473446*I	0.016059160452611458-0.017459197036582417*I	0.031038633240785575+0.029068948648260935*I	-0.0234072384797458+0.025966757822168292*I	-0.04232502246905532-0.03850517247104375*I	0.0373061931118842-0.04298165695008967*I	0.06912295524689918+0.059530617852269624*I	-0.07211990505380983+0.09582952495704565*I	-0.19385080698029009-0.09936147251277466*I	0.015859717521660918-0.3693951625834587*I	0.5244531690989861-0.36145310474365844*I
