0.-0.8488153524263304*I	-0.4999576161901981+0.*I	0.+0.16979324992602848*I	0.000016855104428004642+0.*I	0.+0.02423457203248583*I	0.000010736197610295559+0.*I	0.+0.00808764276646047*I	7.844453218698615*^-6+0.*I	0.+0.003670181613841965*I	6.1306847197348745*^-6+0.*I	0.+0.0019747583036073962*I	4.980958692071363*^-6+0.*I	0.+0.0011825289375561668*I	4.146947478823762*^-6+0.*I	0.+0.0007626284715912882*I	3.507481973291307*^-6+0.*I	0.+0.0005191214686434478*I	2.9962053969448643*^-6+0.*I	0.+0.0003679517344905639*I	2.573649061456258*^-6+0.*I	0.+0.0002689170406426425*I	2.214780644411509*^-6+0.*I	0.+0.0002011058100175045*I	1.9029175289692548*^-6+0.*I	0.+0.00015288858923046683*I	1.6264677603508533*^-6+0.*I	0.+0.00011743388034556046*I	1.377054275961679*^-6+0.*I	0.+0.00009053794082476696*I	1.1484476732172965*^-6+0.*I	0.+0.00006950604169281283*I	9.358484177251637*^-7+0.*I	0.+0.00005254348589124602*I	7.354526143309013*^-7+0.*I	0.+0.0000384085679061702*I	5.441629922334103*^-7+0.*I	0.+0.00002620542100129769*I	3.59331596844341*^-7+0.*I	0.+0.00001525490305257643*I	1.7865675011253733*^-7+0.*I	0.+5.009123312041397*^-6*I
2.214774206372449*^-6+0.*I	0.+0.00047002285593936063*I	6.6913452065590854*^-6+0.*I	0.+0.000990863175057183*I	0.000011314011331829267+0.*I	0.+0.0016274185188216988*I	0.000016198563860335698+0.*I	0.+0.0024805849361326186*I	0.000021493950647921168+0.*I	0.+0.0037326199222977225*I	0.0000274107652645029+0.*I	0.+0.005759921698992948*I	0.00003427688781303868+0.*I	0.+0.00946851188184133*I	0.000042665509493205436+0.*I	0.+0.017582360077334616*I	0.00005376104174701657+0.*I	0.+0.04183218701461698*I	0.00007079481093217224+0.*I	0.+0.21163044606687015*I	-0.4998868213900662+0.*I	0.-0.6371899154842172*I	-0.499887000032918+0.*I	0.+0.21161018203585083*I	0.00007025680862430989+0.*I	0.+0.041790726691044285*I	0.00005285755014416411+0.*I	0.+0.017517746086574252*I	0.00004138588474656338+0.*I	0.+0.009377559837329285*I	0.00003260559925263241+0.*I	0.+0.005637872181541409*I	0.00002532646361913738+0.*I	0.+0.0035725759296575186*I	0.000018968450707395327+0.*I	0.+0.0022726131158343297*I	0.00001319502709840731+0.*I	0.+0.001357096056924569*I	7.784634489737089*^-6+0.*I	0.+0.000636868777433263*I	2.573642648662222*^-6+0.*I
0.+0.00020110581018670248*I	4.117696411183307*^-6+0.*I	0.+0.000622911439113201*I	8.317813666957907*^-6+0.*I	0.+0.001108297056012418*I	0.000012691071951865208+0.*I	0.+0.0017179564683006202*I	0.00001734700317122647+0.*I	0.+0.002550090974768826*I	0.000022429801814041918+0.*I	0.+0.003785163401469782*I	0.000028146219230305982+0.*I	0.+0.005798330263529154*I	0.00003482105559009883+0.*I	0.+0.009494717316963878*I	0.00004302484073616723+0.*I	0.+0.017597614977197633*I	0.00005393969576472222+0.*I	0.+0.0418371961375937*I	0.00007079480805844302+0.*I	0.+0.21162543693974803*I	-0.4998870000371952+0.*I	0.-0.6372051703862041*I	-0.4998873593740822+0.*I	0.+0.21158397661266648*I	0.0000697126516820286+0.*I	0.+0.041752318127913905*I	0.000052122097284377264+0.*I	0.+0.017465202602165213*I	0.000040450041756322264+0.*I	0.+0.009308053797128638*I	0.00003145714662286877+0.*I	0.+0.005547334230911839*I	0.000023949406972552257+0.*I	0.+0.0034551420540848213*I	0.00001734198309480097+0.*I	0.+0.0021197245236711793*I	0.000011292115584960238+0.*I	0.+0.0011559902471970362*I	5.569854951908583*^-6+0.*I	0.+0.0003679517310364311*I
1.9029196603567489*^-6+0.*I	0.+0.0003539944032711439*I	5.744164250073711*^-6+0.*I	0.+0.0007403453164637688*I	9.69486711054725*^-6+0.*I	0.+0.0011988349960310807*I	0.000013839523435891139+0.*I	0.+0.0017874625056008345*I	0.00001828285477216544+0.*I	0.+0.002602634463676638*I	0.000023165256853193634+0.*I	0.+0.0038235719670415475*I	0.000028690368290307645+0.*I	0.+0.005824535690196271*I	0.000035180389679794765+0.*I	0.+0.009509972211812026*I	0.00004320349427934628+0.*I	0.+0.017602624107000916*I	0.00005393969870749558+0.*I	0.+0.04183218701373321*I	0.00007061615207545091+0.*I	0.+0.21161018203457443*I	-0.49988735937122064+0.*I	0.-0.6372313758083549*I	-0.49988790353370727+0.*I	0.+0.21154556804558458*I	0.00006897719711110859+0.*I	0.+0.04169977464228014*I	0.00005118624788996313+0.*I	0.+0.017395696558832538*I	0.00003930160655513241+0.*I	0.+0.009217515855274005*I	0.000030080091572467894+0.*I	0.+0.005429900351562149*I	0.00002232293840664141+0.*I	0.+0.00330225346529661*I	0.00001543906194816919+0.*I	0.+0.0019186187185288015*I	9.07733723131394*^-6+0.*I	0.+0.0008870732041991574*I	2.9962078347267607*^-6+0.*I
0.+0.00015288859287600903*I	3.5293872714333612*^-6+0.*I	0.+0.0004714282733457309*I	7.121221257688127*^-6+0.*I	0.+0.0008308832669011099*I	0.000010843312497963386+0.*I	0.+0.0012683410345301419*I	0.000014775366399447739+0.*I	0.+0.001840005997920481*I	0.000019018305498134954+0.*I	0.+0.0026410430263007698*I	0.000023709415680792745+0.*I	0.+0.0038497773938076935*I	0.000029049710278022215+0.*I	0.+0.005839790588143698*I	0.00003535904731416023+0.*I	0.+0.009514981342680279*I	0.00004320349336133753+0.*I	0.+0.017597614977247395*I	0.00005376104421862862+0.*I	0.+0.04181693211363861*I	0.00007025681690100549+0.*I	0.+0.21158397661223724*I	-0.4998879035367942+0.*I	0.-0.6372697843777301*I	-0.4998886389859845+0.*I	0.+0.21149302456832858*I	0.00006804135599423612+0.*I	0.+0.04163026860029915*I	0.00005003779580196405+0.*I	0.+0.017305158614048653*I	0.00003792454262882943+0.*I	0.+0.009100081975683925*I	0.000028453621770024122+0.*I	0.+0.005277011759178003*I	0.00002042002297794832+0.*I	0.+0.0031011476623796497*I	0.00001322428150751215+0.*I	0.+0.00164970167050308*I	6.503692927805266*^-6+0.*I	0.+0.0005191214679119427*I
1.6264700493840063*^-6+0.*I	0.+0.00027032246473962453*I	4.906447738750972*^-6+0.*I	0.+0.0005619662232721525*I	8.26966763691756*^-6+0.*I	0.+0.0009003893015405006*I	0.000011779162437222185+0.*I	0.+0.0013208845244865707*I	0.000015510820883794552+0.*I	0.+0.0018784145553077825*I	0.00001956247145123233+0.*I	0.+0.0026672484550266757*I	0.000024068748595299258+0.*I	0.+0.0038650322960168517*I	0.00002922836052084275+0.*I	0.+0.005844799718452773*I	0.0000353590413181035+0.*I	0.+0.009509972215202733*I	0.00004302484483019525+0.*I	0.+0.017582360076759222*I	0.00005340171265462562+0.*I	0.+0.04179072668364729*I	0.00006971265567431082+0.*I	0.+0.21154556804907623*I	-0.49988863898889857+0.*I	0.-0.6373223278646519*I	-0.49988957483424173+0.*I	0.+0.2114235185230457*I	0.00006689290647590566+0.*I	0.+0.041539730653121235*I	0.00004866074772603529+0.*I	0.+0.01718772473731037*I	0.000036298070824477844+0.*I	0.+0.00894719338244619*I	0.000026550706490261504+0.*I	0.+0.0050759059544642346*I	0.00001820524356799274+0.*I	0.+0.002832230616019255*I	0.000010650641071742005+0.*I	0.+0.0012817499417687144*I	3.507482163933595*^-6+0.*I
0.+0.00011743386701760367*I	3.003524320279104*^-6+0.*I	0.+0.00036086041817487424*I	6.054888788529563*^-6+0.*I	0.+0.0006314722576708787*I	9.20551611413855*^-6+0.*I	0.+0.0009529327933139875*I	0.00001251461346225191+0.*I	0.+0.0013592930884721924*I	0.000016054981466459055+0.*I	0.+0.0019046199869096683*I	0.00001992179502464823+0.*I	0.+0.0026825033426842518*I	0.00002424740520700492+0.*I	0.+0.0038700414223720447*I	0.00002922836234858229+0.*I	0.+0.005839790592754017*I	0.00003518039341381056+0.*I	0.+0.00949471731623687*I	0.00004266550813639897+0.*I	0.+0.017556154644031045*I	0.000052857551046918625+0.*I	0.+0.04175231813018872*I	0.00006897719580059464+0.*I	0.+0.21149302455832444*I	-0.49988957483257485+0.*I	0.-0.637391833900311*I	-0.4998907232813171+0.*I	0.+0.211332980572466*I	0.00006551585135054633+0.*I	0.+0.041422296778530536*I	0.000047034277941451576+0.*I	0.+0.017034836144274174*I	0.000034395155805468155+0.*I	0.+0.008746087580191166*I	0.000024335926672819158+0.*I	0.+0.004806988908906323*I	0.00001563159496411444+0.*I	0.+0.0024642788812648878*I	7.654430329199512*^-6+0.*I	0.+0.0007626284683215773*I
1.3770601029103912*^-6+0.*I	0.+0.00020797182186442243*I	4.151969661611545*^-6+0.*I	0.+0.00043036645522151695*I	6.990738565841852*^-6+0.*I	0.+0.0006840157449337032*I	9.940967635761851*^-6+0.*I	0.+0.0009913413505585268*I	0.00001305877121718262+0.*I	0.+0.0013854985176114444*I	0.000016414316144849736+0.*I	0.+0.001919874885135157*I	0.0000201004593814857+0.*I	0.+0.002687512477444906*I	0.00002424740252390595+0.*I	0.+0.003865032292114485*I	0.000029049708861220318+0.*I	0.+0.005824535692663929*I	0.00003482105760879819+0.*I	0.+0.009468511883599382*I	0.00004212135074619481+0.*I	0.+0.017517746087495224*I	0.000052122084948237734+0.*I	0.+0.04169977463986189*I	0.00006804135356915034+0.*I	0.+0.21142351852402358*I	-0.49989072328176803+0.*I	0.-0.6374823718511076*I	-0.49989210033367254+0.*I	0.+0.21121554670191392*I	0.000063889374044945+0.*I	0.+0.04126940818195247*I	0.00004513136106804383+0.*I	0.+0.016833730340390547*I	0.00003218037741727356+0.*I	0.+0.008477170531941157*I	0.00002176228626174483+0.*I	0.+0.004439037176103379*I	0.000012635385341387437+0.*I	0.+0.001945157414071148*I	4.146952130912318*^-6+0.*I
0.+0.00009053794921790037*I	2.5255037258540774*^-6+0.*I	0.+0.00027747786260406276*I	5.08781583433931*^-6+0.*I	0.+0.00048290993953051947*I	7.72619114232498*^-6+0.*I	0.+0.0007224243102636752*I	0.00001048513172311748+0.*I	0.+0.0010175467799966517*I	0.0000134181119976491+0.*I	0.+0.001400753411867392*I	0.000016592973077919192+0.*I	0.+0.0019248840140917434*I	0.000020100454158221014+0.*I	0.+0.0026825033497913722*I	0.000024068749919866393+0.*I	0.+0.0038497773973786495*I	0.000028690372678145232+0.*I	0.+0.005798330263635264*I	0.00003427689351420474+0.*I	0.+0.009430103319241705*I	0.000041385891437787984+0.*I	0.+0.017465202599803456*I	0.000051186250117189425+0.*I	0.+0.0416302686022611*I	0.00006689291135926205+0.*I	0.+0.2113329805666713*I	-0.4998921003429176+0.*I	0.-0.6375998057202885*I	-0.4998937268013794+0.*I	0.+0.21106265810776265*I	0.0000619864596091307+0.*I	0.+0.041068302380047106*I	0.0000429165831998451+0.*I	0.+0.016564813294081177*I	0.000029606725650562633+0.*I	0.+0.008109218796739072*I	0.000018766076640103934+0.*I	0.+0.003919915705774719*I	9.127903166288613*^-6+0.*I	0.+0.0011825289403505357*I
1.148445599300002*^-6+0.*I	0.+0.00016004398706344775*I	3.4613457479934403*^-6+0.*I	0.+0.0003300213439311034*I	5.823276650892189*^-6+0.*I	0.+0.0005213185051379308*I	8.270351071717135*^-6+0.*I	0.+0.0007486297368519084*I	0.000010844468977849356+0.*I	0.+0.0010328016779139213*I	0.000013596755073207765+0.*I	0.+0.0014057625417126342*I	0.000016592976780245852+0.*I	0.+0.00191987488269377*I	0.00001992179993629048+0.*I	0.+0.00266724845091742*I	0.000023709418139983046+0.*I	0.+0.0038235719663475545*I	0.00002814620637323096+0.*I	0.+0.005759921703788859*I	0.000033541444612230716+0.*I	0.+0.009377559834713122*I	0.00004045003970517088+0.*I	0.+0.017395696563661*I	0.00005003780689459387+0.*I	0.+0.04153973064871312*I	0.00006551584622239692+0.*I	0.+0.21121554670463202*I	-0.49989372680340816+0.*I	0.-0.637752694317111*I	-0.4998956297287696+0.*I	0.+0.2108615523049016*I	0.00005977168574331388+0.*I	0.+0.04079938533024982*I	0.0000403429341262155+0.*I	0.+0.01619686155837869*I	0.000026610528536969187+0.*I	0.+0.007590097328881407*I	0.000015258586803768529+0.*I	0.+0.0031572872416492435*I	4.980960980560667*^-6+0.*I
0.+0.00006950603825334883*I	2.0842902307545954*^-6+0.*I	0.+0.00021258747432087444*I	4.196801478825263*^-6+0.*I	0.+0.0003684299042190642*I	6.367435154200075*^-6+0.*I	0.+0.0005475239313533012*I	8.629689619526721*^-6+0.*I	0.+0.0007638846289886661*I	0.000011023119465675985+0.*I	0.+0.0010378108146765486*I	0.000013596764969215491+0.*I	0.+0.0014007534138373995*I	0.000016414318389575364+0.*I	0.+0.0019046199828214247*I	0.0000195624692850734+0.*I	0.+0.002641043021058498*I	0.00002316524891212356+0.*I	0.+0.0037851634096804226*I	0.00002741075441829232+0.*I	0.+0.005707378214790983*I	0.000032605590196394487+0.*I	0.+0.009308053797528963*I	0.00003930159918375223+0.*I	0.+0.01730515861168503*I	0.000048660746773801554+0.*I	0.+0.04142229677791382*I	0.00006388938332689738+0.*I	0.+0.21106265810508523*I	-0.49989562972737683+0.*I	0.-0.637953800114291*I	-0.4998978445016317+0.*I	0.+0.21059263525708433*I	0.000057198038802532195+0.*I	0.+0.04043143359960692*I	0.00003734672692434013+0.*I	0.+0.015677740088868235*I	0.000023103039245739927+0.*I	0.+0.006827468861223658*I	0.000011111642363007903+0.*I	0.+0.001974758292893994*I
9.358417012909685*^-7+0.*I	0.+0.00012204952753022512*I	2.819750061750375*^-6+0.*I	0.+0.00025099603710367725*I	4.74096652472627*^-6+0.*I	0.+0.0003946353340960552*I	6.726768730843185*^-6+0.*I	0.+0.0005627788280932805*I	8.808338037710719*^-6+0.*I	0.+0.0007688937604840204*I	0.000011023115993781514+0.*I	0.+0.0010328016794327927*I	0.000013418110812562847+0.*I	0.+0.0013854985158198551*I	0.00001605498461898991+0.*I	0.+0.0018784145570364843*I	0.000019018306773092728+0.*I	0.+0.0026026344599821595*I	0.000022429799103364075+0.*I	0.+0.0037326199173635826*I	0.000026474907816075186+0.*I	0.+0.00563787217782985*I	0.000031457151551579805+0.*I	0.+0.009217515844626762*I	0.00003792454319930861+0.*I	0.+0.01718772473852257*I	0.000047034277410315934+0.*I	0.+0.04126940818687095*I	0.00006198646154797029+0.*I	0.+0.21086155230204578*I	-0.49989784450083913+0.*I	0.-0.6382227171634803*I	-0.49990041815441744+0.*I	0.+0.21022468352282447*I	0.000054201834266215035+0.*I	0.+0.039912312127674404*I	0.00003383924392792872+0.*I	0.+0.014915111625932767*I	0.000018956090607909372+0.*I	0.+0.005644939917900263*I	6.130680855087611*^-6+0.*I
0.+0.000052543488927317417*I	1.671299646141303*^-6+0.*I	0.+0.00016045808790145916*I	3.363911393429812*^-6+0.*I	0.+0.0002772014594477762*I	5.100298147591275*^-6+0.*I	0.+0.00040989023353688037*I	6.9054222792982115*^-6+0.*I	0.+0.0005677879548803694*I	8.808339476196846*^-6+0.*I	0.+0.0007638846337226154*I	0.000010844464741061444+0.*I	0.+0.0010175467821397152*I	0.000013058780014292973+0.*I	0.+0.0013592930899103892*I	0.00001551082236135019+0.*I	0.+0.001840005997261425*I	0.000018282851832027196+0.*I	0.+0.0025500909746648676*I	0.000021493954124547716+0.*I	0.+0.003663113882204777*I	0.00002532645794425427+0.*I	0.+0.005547334226102159*I	0.000030080091106714007+0.*I	0.+0.009100081976842006*I	0.00003629807357759578+0.*I	0.+0.017034836147044173*I	0.00004513135791380056+0.*I	0.+0.04106830237905555*I	0.00005977168363185689+0.*I	0.+0.2105926352597298*I	-0.49990041814722913+0.*I	0.-0.6385906688998523*I	-0.49990341435897184+0.*I	0.+0.20970556205382518*I	0.000050694353676640844+0.*I	0.+0.03914968366354302*I	0.000029692295081713007+0.*I	0.+0.013732582680556875*I	0.000013975136586671553+0.*I	0.+0.0036701816228925446*I
7.354540230820552*^-7+0.*I	0.+0.00009095205043318521*I	2.2154633168549456*^-6+0.*I	0.+0.00018666351827135666*I	3.72324203051527*^-6+0.*I	0.+0.00029245635859508366*I	5.278947168954162*^-6+0.*I	0.+0.00041489936428647315*I	6.905420419425518*^-6+0.*I	0.+0.0005627788272073555*I	8.629684901730472*^-6+0.*I	0.+0.0007486297383244833*I	0.000010485137940772986+0.*I	0.+0.000991341352037217*I	0.000012514616899505237+0.*I	0.+0.0013208845309065657*I	0.000014775366897770173+0.*I	0.+0.001787462505530198*I	0.00001734700201065638+0.*I	0.+0.0024805849377401703*I	0.000020345508865473917+0.*I	0.+0.003572575931630281*I	0.00002394940917967015+0.*I	0.+0.005429900352850738*I	0.000028453622112861223+0.*I	0.+0.008947193383847219*I	0.00003439515665667242+0.*I	0.+0.016833730340437784*I	0.00004291658221543683+0.*I	0.+0.04079938533405683*I	0.00005719803570664888+0.*I	0.+0.21022468351857762*I	-0.4999034143566145+0.*I	0.-0.6391097903659473*I	-0.4999069218395836+0.*I	0.+0.20894293358334518*I	0.00004654739746409305+0.*I	0.+0.037967154725723255*I	0.000024711336653220777+0.*I	0.+0.011757824379923105*I	7.844449067206938*^-6+0.*I
0.+0.0000384085629758224*I	1.2796206665947118*^-6+0.*I	0.+0.00011715747516274216*I	2.5748011244666285*^-6+0.*I	0.+0.00020191841501825125*I	3.901898244076244*^-6+0.*I	0.+0.00029746549099667757*I	5.2789519594690094*^-6+0.*I	0.+0.0004098902302208385*I	6.726767255488289*^-6+0.*I	0.+0.0005475239276194754*I	8.270355238662705*^-6+0.*I	0.+0.0007224243110627859*I	9.940968060999604*^-6+0.*I	0.+0.0009529327950391214*I	0.000011779162128595553+0.*I	0.+0.0012683410417048194*I	0.000013839523537981543+0.*I	0.+0.0017179564713429504*I	0.0000161985555181547+0.*I	0.+0.002390046985240646*I	0.000018968449030326633+0.*I	0.+0.003455142061498044*I	0.000022322942584076608+0.*I	0.+0.005277011762375758*I	0.000026550701659504555+0.*I	0.+0.008746087580090808*I	0.00003218037549674766+0.*I	0.+0.01656481329658547*I	0.00004034293371310786+0.*I	0.+0.040431433599548164*I	0.00005420183228283264+0.*I	0.+0.20970556205062507*I	-0.49990692183906066+0.*I	0.-0.6398724188323414*I	-0.4999110687880296+0.*I	0.+0.2077604046405417*I	0.00004156644116856607+0.*I	0.+0.03599239642047719*I	0.000018580658124348016+0.*I	0.+0.008087642760633812*I
5.441638280997579*^-7+0.*I	0.+0.00006461398768538954*I	1.6389513181110686*^-6+0.*I	0.+0.00013241237264088063*I	2.7534498457340972*^-6+0.*I	0.+0.00020692754652519544*I	3.901897345343512*^-6+0.*I	0.+0.00029245636223914815*I	5.100304347051591*^-6+0.*I	0.+0.0003946353377172559*I	6.367432175439152*^-6+0.*I	0.+0.0005213185019826808*I	7.726196111930372*^-6+0.*I	0.+0.0006840157451053661*I	9.20551482288513*^-6+0.*I	0.+0.0009003893083816853*I	0.000010843309891840936+0.*I	0.+0.001198834996243025*I	0.00001269107545858853+0.*I	0.+0.0016274185182251972*I	0.000014821505341353079+0.*I	0.+0.002272613116825645*I	0.00001734198135542637+0.*I	0.+0.003302253467582956*I	0.00002042001891798303+0.*I	0.+0.005075905954966504*I	0.00002433592695399896+0.*I	0.+0.008477170531115963*I	0.00002960673102452859+0.*I	0.+0.01619686156353349*I	0.00003734672466360158+0.*I	0.+0.039912312129383454*I	0.00005069434676417728+0.*I	0.+0.20894293358688132*I	-0.4999110687851708+0.*I	0.-0.6410549477805276*I	-0.4999160497454823+0.*I	0.+0.2057856463475844*I	0.000035435757255070555+0.*I	0.+0.0323222147978867*I	0.000010736204678618577+0.*I
0.+0.00002620542503718737*I	9.034949148359375*^-7+0.*I	0.+0.00007986888190387315*I	1.8176047855668853*^-6+0.*I	0.+0.00013742150653289764*I	2.7534566459203963*^-6+0.*I	0.+0.00020191841470106747*I	3.723241137901186*^-6+0.*I	0.+0.00027720146241469457*I	4.740967930969244*^-6+0.*I	0.+0.0003684299066894353*I	5.8232723251338194*^-6+0.*I	0.+0.0004829099352816335*I	6.990735791854134*^-6+0.*I	0.+0.0006314722649377463*I	8.269672066995065*^-6+0.*I	0.+0.0008308832698476348*I	9.694869664381882*^-6+0.*I	0.+0.0011082970530677388*I	0.00001131401479277684+0.*I	0.+0.0015099846453222251*I	0.000013195036961093194+0.*I	0.+0.0021197245241764973*I	0.000015439062718029513+0.*I	0.+0.003101147661363754*I	0.000018205240482514957+0.*I	0.+0.004806988915642747*I	0.000021762277016824992+0.*I	0.+0.008109218795059402*I	0.000026610524271806054+0.*I	0.+0.015677740089512796*I	0.00003383924146586061+0.*I	0.+0.03914968366035819*I	0.0000465473951255528+0.*I	0.+0.20776040464524329*I	-0.49991604974267806+0.*I	0.-0.6430297060811483*I	-0.4999221804251567+0.*I	0.+0.20211546472760236*I	0.000027591306220307856+0.*I	0.+0.02423457203608831*I
3.593348352863568*^-7+0.*I	0.+0.00004146032259711473*I	1.0821517332539055*^-6+0.*I	0.+0.00008487801706973677*I	1.8176060822619466*^-6+0.*I	0.+0.00013241237503813975*I	2.5747970680799204*^-6+0.*I	0.+0.00018666351576739448*I	3.3639080396219434*^-6+0.*I	0.+0.0002509960363085477*I	4.196808334654134*^-6+0.*I	0.+0.0003300213451467327*I	5.087812581575785*^-6+0.*I	0.+0.00043036645235828376*I	6.054891317379407*^-6+0.*I	0.+0.0005619662206983868*I	7.12122132428758*^-6+0.*I	0.+0.0007403453190723539*I	8.317812909681283*^-6+0.*I	0.+0.0009908631763709721*I	9.687551909821207*^-6+0.*I	0.+0.001357096059246525*I	0.000011292111161343571+0.*I	0.+0.001918618713580963*I	0.000013224281619018952+0.*I	0.+0.0028322306144113545*I	0.000015631598980072464+0.*I	0.+0.00443903717799722*I	0.000018766071865690404+0.*I	0.+0.007590097331105465*I	0.000023103036856247233+0.*I	0.+0.014915111622970078*I	0.00002969229803756121+0.*I	0.+0.03796715471987468*I	0.000041566443696936656+0.*I	0.+0.20578564634658483*I	-0.49992218042604947+0.*I	0.-0.6466998877007623*I	-0.4999300248815871+0.*I	0.+0.19402782195862311*I	0.000016855106300228684+0.*I
0.+0.000015254895595201434*I	5.379882776014293*^-7+0.*I	0.+0.00004646945128590485*I	1.0821482961063798*^-6+0.*I	0.+0.00007986888615396648*I	1.6389535760828966*^-6+0.*I	0.+0.00011715747458437842*I	2.2154575696577634*^-6+0.*I	0.+0.0001604580892476462*I	2.8197479605502747*^-6+0.*I	0.+0.0002125874749186879*I	3.461348665531349*^-6+0.*I	0.+0.00027747786499852933*I	4.15197241120712*^-6+0.*I	0.+0.00036086041590939477*I	4.906442904608256*^-6+0.*I	0.+0.000471428272871402*I	5.744171023919369*^-6+0.*I	0.+0.0006229114371237576*I	6.6913424519848*^-6+0.*I	0.+0.0008379745903184035*I	7.784633366816071*^-6+0.*I	0.+0.001155990246280228*I	9.077339104290093*^-6+0.*I	0.+0.0016497016733891048*I	0.000010650636957034712+0.*I	0.+0.0024642788810791266*I	0.000012635385598353178+0.*I	0.+0.003919915710199451*I	0.000015258588233161516+0.*I	0.+0.006827468855155089*I	0.00001895609194144373+0.*I	0.+0.013732582683203605*I	0.00002471133606996114+0.*I	0.+0.03599239642161502*I	0.000035435762313588734+0.*I	0.+0.20211546472363223*I	-0.49993002488412536+0.*I	0.-0.6547875304587157*I	-0.4999407610806055+0.*I	0.+0.16979324992568798*I
1.7865535371225372*^-7+0.*I	0.+0.000020264026553890656*I	5.379888851630987*^-7+0.*I	0.+0.00004146032229127995*I	9.034968233637142*^-7+0.*I	0.+0.00006461398687156824*I	1.2796109585683224*^-6+0.*I	0.+0.00009095204960232456*I	1.6713023736417143*^-6+0.*I	0.+0.00012204953193234632*I	2.0842945819624092*^-6+0.*I	0.+0.00016004398243419401*I	2.5255034957691325*^-6+0.*I	0.+0.0002079718249812043*I	3.003526086294006*^-6+0.*I	0.+0.00027032246419287823*I	3.5293862323537706*^-6+0.*I	0.+0.00035399439923995555*I	4.117695882557837*^-6+0.*I	0.+0.00047002285238320173*I	4.788422157044059*^-6+0.*I	0.+0.0006368687806136087*I	5.5698488795608014*^-6+0.*I	0.+0.0008870732027599986*I	6.503691357302721*^-6+0.*I	0.+0.0012817499380073218*I	7.654431577165666*^-6+0.*I	0.+0.0019451574117842249*I	9.127907103494148*^-6+0.*I	0.+0.0031572872420844856*I	0.000011111634552932181+0.*I	0.+0.005644939918372991*I	0.000013975138756776306+0.*I	0.+0.011757824377265727*I	0.000018580655090527642+0.*I	0.+0.03232221480218028*I	0.000027591309845281797+0.*I	0.+0.1940278219678373*I	-0.4999407610823497+0.*I	0.-0.6790221025016118*I	-0.4999576161876709+0.*I
0.+5.009130054953181*^-6*I	1.7865266062103216*^-7+0.*I	0.+0.000015254899708216918*I	3.593342896675444*^-7+0.*I	0.+0.00002620542597516623*I	5.441629565040512*^-7+0.*I	0.+0.00003840856358088007*I	7.354529733028985*^-7+0.*I	0.+0.00005254348564541489*I	9.358421316860917*^-7+0.*I	0.+0.00006950604142162697*I	1.148447715966016*^-6+0.*I	0.+0.00009053795374301676*I	1.3770579582073834*^-6+0.*I	0.+0.00011743387451481485*I	1.6264635286731145*^-6+0.*I	0.+0.00015288858989059156*I	1.9029235930365261*^-6+0.*I	0.+0.00020110580179397153*I	2.21477677497029*^-6+0.*I	0.+0.00026891704554561635*I	2.573646495008871*^-6+0.*I	0.+0.0003679517332748003*I	2.996208072502956*^-6+0.*I	0.+0.0005191214694058588*I	3.5074823314301727*^-6+0.*I	0.+0.0007626284661178817*I	4.146949858738631*^-6+0.*I	0.+0.0011825289472837952*I	4.980957571190374*^-6+0.*I	0.+0.0019747582950586026*I	6.130682864745107*^-6+0.*I	0.+0.0036701816226044764*I	7.844453264077897*^-6+0.*I	0.+0.00808764276260561*I	0.000010736199658732974+0.*I	0.+0.02423457203607826*I	0.00001685509942897265+0.*I	0.+0.16979324992572578*I	-0.4999576161811419+0.*I	0.-0.8488153524218257*I
