0.-0.8487766451132961*I	-0.4999576128247826+0.*I	0.+0.16976443067315058*I	0.000016865690977591085+0.*I	0.+0.024250770768929057*I	0.000010743324609912194+0.*I	0.+0.008082048923922981*I	7.896107044441826*^-6+0.*I	0.+0.0036719732013860765*I	6.346299380589706*^-6+0.*I	0.+0.001976039090677867*I	3.4988754666464693*^-6+0.*I	0.+0.0011803136120270494*I	9.333989743983406*^-6+0.*I	0.+0.000771560314862002*I	-7.64452622799378*^-6+0.*I	0.+0.0005057870045037313*I	0.00002040979552996932+0.*I	0.+0.00038863233085974225*I	-0.00001739110790464513+0.*I	0.+0.0002511728917925504*I	0.00001964344350074991+0.*I	0.+0.000217439430529702*I	-9.225126738327895*^-6+0.*I	0.+0.00014706443019902454*I	6.854878776242549*^-6+0.*I	0.+0.00012289934891687726*I	-5.204738559774346*^-8+0.*I	0.+0.00009277992865384249*I	1.4318098127764582*^-6+0.*I	0.+0.00007286739648394713*I	1.0690039273576247*^-6+0.*I	0.+0.00005647707398460933*I	8.41848270666543*^-7+0.*I	0.+0.000042996443962300956*I	6.652723013269314*^-7+0.*I	0.+0.00003160694495595029*I	4.956064031228786*^-7+0.*I	0.+0.000021656447336891593*I	3.2684776807333065*^-7+0.*I	0.+0.00001263995835458498*I	1.6310403605208067*^-7+0.*I	0.+4.157355252831785*^-6*I
1.0690074946149846*^-6+0.*I	0.+0.00012934447172501288*I	3.342666680174258*^-6+0.*I	0.+0.0002651208346368301*I	3.955884133540582*^-6+0.*I	0.+0.00041962713443220983*I	0.000011306370488655881+0.*I	0.+0.0005883480110060626*I	2.408101507002793*^-6+0.*I	0.+0.0008184274020379493*I	0.000022214640860914474+0.*I	0.+0.0010737576463164626*I	4.823531399125913*^-6+0.*I	0.+0.0014582326237850827*I	0.000025070223831255677+0.*I	0.+0.001951379664739266*I	0.00001709885098681299+0.*I	0.+0.002701283535015608*I	0.000025937232802230868+0.*I	0.+0.0038499901985333236*I	0.000028770836650508338+0.*I	0.+0.0057830328453797*I	0.00003427528166865343+0.*I	0.+0.009398528969872226*I	0.000041102391374512145+0.*I	0.+0.017407710503839387*I	0.00005041390372954677+0.*I	0.+0.04156570134812539*I	0.00006733164558404927+0.*I	0.+0.21120723267265107*I	-0.4998971360592606+0.*I	0.-0.6377164768721956*I	-0.49988791093046353+0.*I	0.+0.2108427288099161*I	0.00005005844429962564+0.*I	0.+0.040827125246841484*I	0.00005058387345215076+0.*I	0.+0.016187722141860983*I	0.00001943074529519513+0.*I	0.+0.007599886213901822*I	0.000019179166443668622+0.*I	0.+0.0031563527068289372*I	3.4988776852484804*^-6+0.*I
0.+0.00005647707328644558*I	1.910856098323091*^-6+0.*I	0.+0.00017234091100483406*I	4.007935104945152*^-6+0.*I	0.+0.0002967277849637087*I	4.4514966893891284*^-6+0.*I	0.+0.000441283580095167*I	0.000011633221337052431+0.*I	0.+0.000600987974432074*I	2.5712003580806916*^-6+0.*I	0.+0.000822584751707503*I	0.000022214643328462802+0.*I	0.+0.001069600291321672*I	4.6604250483854175*^-6+0.*I	0.+0.0014455926641816844*I	0.000024743376275594897+0.*I	0.+0.0019297232223936533*I	0.000016603242863493642+0.*I	0.+0.0026696765854610713*I	0.000025271962897628435+0.*I	0.+0.0038069937575215193*I	0.00002792898651722286+0.*I	0.+0.005726555773187321*I	0.000033206278133108647+0.*I	0.+0.009325661576376917*I	0.00003967057725029561+0.*I	0.+0.01731493057989265*I	0.00005046595670511697+0.*I	0.+0.04144280199447901*I	0.000060476770223463536+0.*I	0.+0.21106016824500995*I	-0.49988791093594087+0.*I	0.-0.6379339163054745*I	-0.4999075543747656+0.*I	0.+0.21059155592070036*I	0.00006744955324901123+0.*I	0.+0.04043849291398266*I	0.000030174072868281382+0.*I	0.+0.01568193514661708*I	0.000027075271895076546+0.*I	0.+0.006828325902354944*I	9.845173423019062*^-6+0.*I	0.+0.001976039089211526*I
8.418474451968761*^-7+0.*I	0.+0.00009947351916644971*I	2.576132755592974*^-6+0.*I	0.+0.00020394785986446883*I	4.503541892718236*^-6+0.*I	0.+0.0003183842311262445*I	4.778344793971973*^-6+0.*I	0.+0.0004539235402534128*I	0.000011796327087392763+0.*I	0.+0.0006051453217673088*I	2.5712034630724633*^-6+0.*I	0.+0.0008184274058665947*I	0.000022051535453882913+0.*I	0.+0.0010569603269779402*I	4.333581940802737*^-6+0.*I	0.+0.001423936221954121*I	0.000024247763365181956+0.*I	0.+0.0018981162723640623*I	0.000015937974980280206+0.*I	0.+0.002626680146174988*I	0.000024430106434942008+0.*I	0.+0.003750516682565106*I	0.000026859982452965547+0.*I	0.+0.005653688376597987*I	0.00003177447088834153+0.*I	0.+0.009232881649051722*I	0.00003972263407608062+0.*I	0.+0.01719203122749172*I	0.0000436110743019938+0.*I	0.+0.041295737563104715*I	0.00006970189072341484+0.*I	0.+0.2108427288114926*I	-0.4999075543768043+0.*I	0.-0.6381850891933617*I	-0.499890163262132+0.*I	0.+0.2102029235858507*I	0.00004703976190313086+0.*I	0.+0.03993270591259248*I	0.00003781859097822007+0.*I	0.+0.014910374830057659*I	0.000017741286054453445+0.*I	0.+0.005648012291412242*I	6.3463024598808815*^-6+0.*I
0.+0.00004299644233370786*I	1.5071186362325959*^-6+0.*I	0.+0.0001310804604541041*I	3.0717320437636113*^-6+0.*I	0.+0.000225604304353276*I	4.830394392952581*^-6+0.*I	0.+0.00033102418790834087*I	4.941447505550803*^-6+0.*I	0.+0.0004580808976918649*I	0.000011796331537287494+0.*I	0.+0.000600987965984276*I	2.408094749634609*^-6+0.*I	0.+0.0008057874430909551*I	0.000021724688956034584+0.*I	0.+0.0010353038799542705*I	3.837967335070509*^-6+0.*I	0.+0.0013923292749505115*I	0.00002358249984891497+0.*I	0.+0.0018551198328831259*I	0.000015096124343821758+0.*I	0.+0.0025702030725509653*I	0.000023361104450914452+0.*I	0.+0.003677649284917095*I	0.00002542817372739884+0.*I	0.+0.005560908454311855*I	0.00003182651740848735+0.*I	0.+0.009109982295879816*I	0.000032867753139627414+0.*I	0.+0.017044966798972622*I	0.00005283620939410521+0.*I	0.+0.04107829813913622*I	0.00005005844586243641+0.*I	0.+0.2105915559182132*I	-0.49989016326607694+0.*I	0.-0.6385737215289778*I	-0.49991057306093545+0.*I	0.+0.20969713659023592*I	0.00005468428643850823+0.*I	0.+0.03916114559565758*I	0.000028484613143407744+0.*I	0.+0.013730061218633877*I	0.000014242403166906195+0.*I	0.+0.0036719731935915684*I
6.652679115627886*^-7+0.*I	0.+0.00007460338877290072*I	2.0027302130153005*^-6+0.*I	0.+0.0001527369102187515*I	3.398583015310607*^-6+0.*I	0.+0.00023824426741516174*I	4.993497597721084*^-6+0.*I	0.+0.0003351815439800975*I	4.941444801854233*^-6+0.*I	0.+0.00045392354199602956*I	0.000011633221060169451+0.*I	0.+0.0005883480075414539*I	2.0812467700502415*^-6+0.*I	0.+0.0007841309935028058*I	0.000021229081090417817+0.*I	0.+0.0010036969423834541*I	3.172701576806405*^-6+0.*I	0.+0.001349332831821841*I	0.000022740649422262107+0.*I	0.+0.001798642758690006*I	0.000014027109908620623+0.*I	0.+0.0024973356734563365*I	0.0000219292950248284+0.*I	0.+0.003584869360863528*I	0.000025480225247056243+0.*I	0.+0.005438009102392229*I	0.000024971643383499074+0.*I	0.+0.008962917867578798*I	0.00004209287615273678+0.*I	0.+0.016827527371160438*I	0.00003319275762471916+0.*I	0.+0.04082712524201797*I	0.00006744956359157074+0.*I	0.+0.21020292359174458*I	-0.4999105730647387+0.*I	0.-0.639079508528467*I	-0.4999029285408616+0.*I	0.+0.20892557627702693*I	0.000045350300128193393+0.*I	0.+0.037980831985117515*I	0.000024985731203613295+0.*I	0.+0.011754022131675607*I	7.896112640959352*^-6+0.*I
0.+0.00003160694496605332*I	1.1608795477074002*^-6+0.*I	0.+0.00009625983467603794*I	2.3295762604817622*^-6+0.*I	0.+0.00016537686198116186*I	3.5616929949565093*^-6+0.*I	0.+0.00024240161560309254*I	4.993497401065219*^-6+0.*I	0.+0.0003310241849905707*I	4.778346843474339*^-6+0.*I	0.+0.0004412835783891428*I	0.000011306373938374778+0.*I	0.+0.0005666915630687247*I	1.5856360770711406*^-6+0.*I	0.+0.0007525240466665778*I	0.000020563809613478824+0.*I	0.+0.0009607004970828975*I	2.3308512460148116*^-6+0.*I	0.+0.0012928557607012198*I	0.000021671635039981243+0.*I	0.+0.0017257753601462103*I	0.000012595310520060603+0.*I	0.+0.0024045557457772967*I	0.00002198134432786494+0.*I	0.+0.0034619700140578885*I	0.000018625341947422233+0.*I	0.+0.005290944669829205*I	0.00003419677352840711+0.*I	0.+0.00874547844112563*I	0.000022449434706214806+0.*I	0.+0.016576354479210968*I	0.000050583868360754396+0.*I	0.+0.04043849291331876*I	0.00004703976586904305+0.*I	0.+0.20969713658807682*I	-0.49990292853353113+0.*I	0.-0.6398510688440603*I	-0.499912262525802+0.*I	0.+0.20774526265858123*I	0.000041851423771783475+0.*I	0.+0.03600479289359925*I	0.000018639431884014678+0.*I	0.+0.008082048932183936*I
4.956109871535198*^-7+0.*I	0.+0.00005326338606295287*I	1.4877204567548095*^-6+0.*I	0.+0.00010889979340068698*I	2.4926860962578227*^-6+0.*I	0.+0.00016953422130029506*I	3.561692413171472*^-6+0.*I	0.+0.00023824426765563613*I	4.830392014536322*^-6+0.*I	0.+0.0003183842301788728*I	4.451492576038211*^-6+0.*I	0.+0.0004196271315879068*I	0.000010810765132952345+0.*I	0.+0.0005350846188646135*I	9.203669989321611*^-7+0.*I	0.+0.0007095276063485789*I	0.000019721965311610292+0.*I	0.+0.000904223424070829*I	1.2618424148156007*^-6+0.*I	0.+0.0012199883621388683*I	0.00002023983100992365+0.*I	0.+0.0016329954294920313*I	0.000012647354545119936+0.*I	0.+0.002281656401405378*I	0.00001512646711211518+0.*I	0.+0.0033149055849766677*I	0.000027850471700009428+0.*I	0.+0.005073505236541194*I	0.00001455333049532151+0.*I	0.+0.008494305550736863*I	0.000039840539528717884+0.*I	0.+0.01618772213898537*I	0.000030174075571290036+0.*I	0.+0.03993270591967465*I	0.00005468428609249448+0.*I	0.+0.20892557626980052*I	-0.4999122625222471+0.*I	0.-0.6410313824522148*I	-0.49991576140058913+0.*I	0.+0.20576922356777902*I	0.00003550512433707164+0.*I	0.+0.03233281970318253*I	0.000010743324624695738+0.*I
0.+0.000021656442048101354*I	8.224607799798853*^-7+0.*I	0.+0.00006590335696889105*I	1.6508339586833702*^-6+0.*I	0.+0.00011305714288348256*I	2.4926822231985634*^-6+0.*I	0.+0.0001653768662022645*I	3.3985823965840775*^-6+0.*I	0.+0.0002256043020284343*I	4.5035467000124435*^-6+0.*I	0.+0.000296727782677024*I	3.955887844604868*^-6+0.*I	0.+0.000388020189208374*I	0.000010145492159136204+0.*I	0.+0.0004920881746713832*I	7.851794397769344*^-8+0.*I	0.+0.0006530505334160913*I	0.000018652955325779408+0.*I	0.+0.0008313560297270664*I	-1.699710700937864*^-7+0.*I	0.+0.001127208429291475*I	0.000020291885304018977+0.*I	0.+0.0015100960895196441*I	5.79247955532686*^-6+0.*I	0.+0.002134591964505196*I	0.000024351590873472977+0.*I	0.+0.003097466151764851*I	8.207028734243037*^-6+0.*I	0.+0.0048223323490645745*I	0.00003194443285048957+0.*I	0.+0.008105673213159775*I	0.000019430746276531154+0.*I	0.+0.015681935145025975*I	0.000037818601195085606+0.*I	0.+0.03916114559975425*I	0.00004535029950517258+0.*I	0.+0.20774526265702076*I	-0.49991576140196586+0.*I	0.-0.6430074215406163*I	-0.49992210770000406+0.*I	0.+0.20209725036899268*I	0.000027609013031970684+0.*I	0.+0.024250770767110602*I
3.268489321868462*^-7+0.*I	0.+0.00003429640248909387*I	9.85558268436909*^-7+0.*I	0.+0.00007006070079902262*I	1.6508363746246812*^-6+0.*I	0.+0.00010889979662562793*I	2.3295804265459352*^-6+0.*I	0.+0.0001527369143457562*I	3.0717339005621735*^-6+0.*I	0.+0.00020394786006225986*I	4.007935865624895*^-6+0.*I	0.+0.0002651208386624192*I	3.2906173388011495*^-6+0.*I	0.+0.00034502374411451314*I	9.303644335049294*^-6+0.*I	0.+0.0004356111038182326*I	-9.904875543781388*^-7+0.*I	0.+0.0005801831307693099*I	0.000017221140720627415+0.*I	0.+0.0007385761008305543*I	-1.179081557702022*^-7+0.*I	0.+0.00100430908025312*I	0.000013436999294156454+0.*I	0.+0.0013630316561995402*I	0.000015017604611162333+0.*I	0.+0.0019171525439303945*I	4.708154135096149*^-6+0.*I	0.+0.002846293254889494*I	0.0000255981400320085+0.*I	0.+0.004433700012772647*I	0.000011534634517335052+0.*I	0.+0.007599886214055999*I	0.00002707527219024397+0.*I	0.+0.014910374833273331*I	0.000028484611451357056+0.*I	0.+0.037980831987149535*I	0.00004185142489199559+0.*I	0.+0.20576922357030483*I	-0.4999221077009802+0.*I	0.-0.646679394739254*I	-0.4999300038128358+0.*I	0.+0.1940152014466577*I	0.000016865685787958995+0.*I
0.+0.000012639957447380112*I	4.899526434354755*^-7+0.*I	0.+0.000038453760685355776*I	9.855648678542413*^-7+0.*I	0.+0.00006590335210884812*I	1.4877260061336168*^-6+0.*I	0.+0.00009625983332739452*I	2.002730858052943*^-6+0.*I	0.+0.0001310804652702932*I	2.576125462643093*^-6+0.*I	0.+0.00017234090895938692*I	3.342665282026913*^-6+0.*I	0.+0.0002221243947233137*I	2.448767212594149*^-6+0.*I	0.+0.0002885466743278303*I	8.234638765157416*^-6+0.*I	0.+0.0003627437057620933*I	-2.4222969650015378*^-6+0.*I	0.+0.0004874032103580894*I	0.00001727319549893137+0.*I	0.+0.0006156767463137702*I	-6.972793474209603*^-6+0.*I	0.+0.0008572446599234979*I	0.000022662130947867913+0.*I	0.+0.0011455922256172757*I	-4.625840304896958*^-6+0.*I	0.+0.0016659796447422506*I	0.00002209925740607804+0.*I	0.+0.0024576609273492256*I	5.188342932728972*^-6+0.*I	0.+0.00392791301183032*I	0.000019179164099687886+0.*I	0.+0.006828325903529518*I	0.000017741282993901755+0.*I	0.+0.013730061214843978*I	0.000024985730149837746+0.*I	0.+0.03600479289925891*I	0.0000355051267116203+0.*I	0.+0.2020972503701557*I	-0.4999300038109896+0.*I	0.-0.6547614436688424*I	-0.49994074713669356+0.*I	0.+0.16976443067098915*I
1.63096521454964*^-7+0.*I	0.+0.000016797311805385407*I	4.899586205781015*^-7+0.*I	0.+0.00003429639744909062*I	8.224559796543573*^-7+0.*I	0.+0.00005326339564246858*I	1.1608807166038626*^-6+0.*I	0.+0.00007460339302432269*I	1.5071209018904796*^-6+0.*I	0.+0.00009947352269234278*I	1.910859241505136*^-6+0.*I	0.+0.00012934446738256146*I	2.5008138548332504*^-6+0.*I	0.+0.00016564732174002833*I	1.3797555904818126*^-6+0.*I	0.+0.00021567927596361977*I	6.802824113645578*^-6+0.*I	0.+0.00026996377636024645*I	-2.3702493666816205*^-6+0.*I	0.+0.0003645038571504134*I	0.000010418319525272446+0.*I	0.+0.0004686123246980336*I	2.2523302124072275*^-6+0.*I	0.+0.0006398052244499797*I	3.0186841938756315*^-6+0.*I	0.+0.0008944193407990178*I	0.000012765280163855308+0.*I	0.+0.001277347316151228*I	1.6894593792629586*^-6+0.*I	0.+0.0019518739244344977*I	0.000012832867735228237+0.*I	0.+0.003156352702582607*I	9.84517402558005*^-6+0.*I	0.+0.005648012287118092*I	0.000014242411125992005+0.*I	0.+0.011754022129043352*I	0.000018639431020768538+0.*I	0.+0.03233281969879253*I	0.00002760902176825175+0.*I	0.+0.19401520144486345*I	-0.49994074714330494+0.*I	0.-0.6790122144354691*I	-0.4999576128251131+0.*I
0.+4.157350224423539*^-6*I	1.6310377702943166*^-7+0.*I	0.+0.000012639959812585366*I	3.268513737382052*^-7+0.*I	0.+0.000021656445076116693*I	4.95607942267804*^-7+0.*I	0.+0.0000316069442035799*I	6.652734710181911*^-7+0.*I	0.+0.00004299644695912597*I	8.418450261467372*^-7+0.*I	0.+0.000056477071941833656*I	1.0690077148503068*^-6+0.*I	0.+0.00007286739474914733*I	1.4318069940814771*^-6+0.*I	0.+0.00009277992826765835*I	-5.204725176568398*^-8+0.*I	0.+0.0001228993498782749*I	6.85487863137775*^-6+0.*I	0.+0.00014706442725487268*I	-9.225122280914771*^-6+0.*I	0.+0.00021743943023363327*I	0.00001964344179172907+0.*I	0.+0.00025117288951781447*I	-0.00001739111059430548+0.*I	0.+0.00038863233681408343*I	0.000020409796052227162+0.*I	0.+0.0005057869990863564*I	-7.644527287964183*^-6+0.*I	0.+0.0007715603155557943*I	9.333989960251375*^-6+0.*I	0.+0.0011803136118295754*I	3.498879479541195*^-6+0.*I	0.+0.001976039093016982*I	6.346297543822368*^-6+0.*I	0.+0.0036719731950101073*I	7.896105943571251*^-6+0.*I	0.+0.008082048932121125*I	0.00001074332887425464+0.*I	0.+0.024250770762194326*I	0.000016865689158447047+0.*I	0.+0.16976443067905786*I	-0.49995761282702933+0.*I	0.-0.8487766451180554*I
