0.-0.8487765437153361*I	0.4999575668420209+0.*I	0.+0.1697647865438186*I	-0.00001708447961062136+0.*I	0.+0.02425202804797202*I	-9.277648876203839*^-6+0.*I	0.+0.008079965710694895*I	-0.000013069758205574666+0.*I	0.+0.0036810939164342565*I	4.966520851490945*^-6+0.*I	0.+0.0019623571885360783*I	-0.00002245780485773003+0.*I	0.+0.0012043730902072233*I	0.00001573189855027794+0.*I	0.+0.0007463668606506295*I	-0.000021030470517072197+0.*I	0.+0.0005372176334832174*I	8.012859612037304*^-6+0.*I	0.+0.00036418760884469257*I	-7.927489083404778*^-6+0.*I	0.+0.00027676709524769734*I	-9.470391416099188*^-7+0.*I	0.+0.0002060232649804605*I	-2.261456330362614*^-6+0.*I	0.+0.00015938801652190442*I	-1.8654338829778147*^-6+0.*I	0.+0.00012488541598114952*I	-1.2799871245224481*^-6+0.*I	0.+0.0000998131040617719*I	-1.6068091997046234*^-6+0.*I	0.+0.00008101029364555617*I	-4.069172393235962*^-6+0.*I	0.+0.00006472897038153879*I	-0.000012813171707007283+0.*I	0.+0.00002929676346375045*I	3.0683783330820582*^-6+0.*I	0.-0.00005556615626949159*I	0.0003485253403905393+0.*I	0.+0.000839472846682274*I	-0.0014700286210658441+0.*I	0.-0.0022348492453557155*I	0.0030297410532384183+0.*I	0.+0.0036147503425073228*I	-0.0038018148519939803+0.*I	0.-0.003577849710397418*I	0.0030328009802891315+0.*I	0.+0.002270717103317101*I	-0.001457454511045622+0.*I	0.-0.0008237313871158788*I	0.00034528322866885235+0.*I
0.+0.0000998131040478875*I	-2.886796318845528*^-6+0.*I	0.+0.0003057088136796255*I	-8.821402599221407*^-6+0.*I	0.+0.0005298258005396538*I	-0.000023896030620794206+0.*I	0.+0.0007651458290174438*I	-0.00002177469145847343+0.*I	0.+0.0009863467679828504*I	0.00031882315990852504+0.*I	0.+0.0021900072235449797*I	-0.001143192601549615+0.*I	0.+0.0004923756116618146*I	0.0018655179811465634+0.*I	0.+0.004853492814827327*I	-0.001920564972327115+0.*I	0.+0.002480016194643508*I	0.001089778203174608+0.*I	0.+0.006713090486476915*I	-0.00036270978705983664+0.*I	0.+0.00957045301580494*I	-0.000030496316589260176+0.*I	0.+0.01765041872647315*I	-0.0003850571941659776+0.*I	0.+0.04272617816154356*I	0.001055312837273627+0.*I	0.+0.21022024760210367*I	0.49798007869899513+0.*I	0.-0.6349784464028413*I	0.501781893551005+0.*I	0.+0.21018334696996624*I	-0.001205414344255324+0.*I	0.+0.042653409671507284*I	0.0002816987564065266+0.*I	0.+0.017561908776823974*I	-0.000057548935080778025+0.*I	0.+0.009537509222436817*I	-0.00004754755523058961+0.*I	0.+0.005827118542523758*I	-0.00003970090433506429+0.*I	0.+0.0038000323836074857*I	-0.000013173927128060445+0.*I	0.+0.0025146489997830163*I	-0.00002729901647601742+0.*I	0.+0.0016684690350581887*I	-4.988558824118395*^-6+0.*I	0.+0.0010063659856166841*I	-0.000011135984530753182+0.*I	0.+0.0004827903602056924*I	-9.470391724398716*^-7+0.*I
-1.6068091917555784*^-6+0.*I	0.+0.00018082339769006663*I	-6.955968731177256*^-6+0.*I	0.+0.00037043778402721727*I	-0.000021634574277476284+0.*I	0.+0.0005591225640480668*I	-0.000020827652298665897+0.*I	0.+0.0007095796727422198*I	0.00032675064895062403+0.*I	0.+0.0018258196146974744*I	-0.0011512054611465118+0.*I	0.-0.00004484202182060561*I	0.0018865484516481016+0.*I	0.+0.004107125954171991*I	-0.00193629687085814+0.*I	0.+0.0012756431044013354*I	0.0011122360080163959+0.*I	0.+0.004750733297942309*I	-0.0003676763078898575+0.*I	0.+0.005889359099358235*I	-0.000017426558389180386+0.*I	0.+0.009570453015814386*I	-0.0003757795453021625+0.*I	0.+0.018474150113560097*I	0.0010723973169204446+0.*I	0.+0.04045546105827366*I	-0.0019774881430224475+0.*I	0.+0.21379809731247368*I	0.5017818935510148+0.*I	0.-0.638593196745313*I	0.49875215249778665+0.*I	0.+0.21241819621531827*I	0.0002646142768067811+0.*I	0.+0.041813936824815004*I	-0.00006682658395124077+0.*I	0.+0.017617474933121078*I	-0.00006061731343774397+0.*I	0.+0.009508212458965073*I	-0.000034734383529735954+0.*I	0.+0.0057623895721360995*I	-0.000035631731978418516+0.*I	0.+0.0037190220899766106*I	-0.000011567117911142999+0.*I	0.+0.002414835895706864*I	-0.000026019029355752722+0.*I	0.+0.0015435836190890568*I	-3.1231249225818534*^-6+0.*I	0.+0.0008469779690774439*I	-8.874528199713977*^-6+0.*I	0.+0.0002767670952769224*I
0.+0.00008101029365880406*I	-5.6759815972690715*^-6+0.*I	0.+0.0002455523680852532*I	-0.000019769140382564307+0.*I	0.+0.0003997345475141834*I	-0.000018566195973666153+0.*I	0.+0.0005035564077669838*I	0.00032769768811029726+0.*I	0.+0.0015490525194126069*I	-0.0011432779721000752+0.*I	0.-0.00040902963070794474*I	0.0018785355920780643+0.*I	0.+0.003569908320703066*I	-0.00191526640032514+0.*I	0.+0.0005292762437680359*I	0.001096504109448122+0.*I	0.+0.0035463602077518636*I	-0.0003452185030650439+0.*I	0.+0.003927001910815398*I	-0.000022393079207910674+0.*I	0.+0.005889359099370497*I	-0.0003627097870775789+0.*I	0.+0.010394184402919233*I	0.0010816749657777615+0.*I	0.+0.01620343301029626*I	-0.001960403663391219+0.*I	0.+0.044033310768652086*I	0.0018243267089929477+0.*I	0.+0.2101833469699744*I	0.49875215249778027+0.*I	0.-0.636358347500022*I	0.5002221811188337+0.*I	0.+0.21157872336862268*I	-0.00008391106359455766+0.*I	0.+0.04186950298108488*I	-0.00006989496230440351+0.*I	0.+0.01758817816961861*I	-0.00004780414173796341+0.*I	0.+0.009443483488608406*I	-0.00003066521115551852+0.*I	0.+0.005681379278521406*I	-0.000034024922738530385+0.*I	0.+0.0036192089859112832*I	-0.000010287130825261274+0.*I	0.+0.0022899504797462386*I	-0.000024153595424913256+0.*I	0.+0.001384195602539134*I	-8.616686406606657*^-7+0.*I	0.+0.0006409547040888534*I	-7.927489018597013*^-6+0.*I
-4.069172396158023*^-6+0.*I	0.+0.00014573926402702183*I	-0.000018489153275059872+0.*I	0.+0.0002748491315384402*I	-0.00001670076209075301+0.*I	0.+0.0003441683912408633*I	0.0003299591444343244+0.*I	0.+0.0013430292544723262*I	-0.00114233093294856+0.*I	0.-0.0006857967259352466*I	0.001886463081144463+0.*I	0.+0.003205720711835687*I	-0.0019232792599196008+0.*I	0.-7.941389716269419*^-6*I	0.0011175345799310612+0.*I	0.+0.0027999933470820903*I	-0.0003609504015788776+0.*I	0.+0.0027226288205770537*I	6.472560996434408*^-8+0.*I	0.+0.003927001910859911*I	-0.00036767630789832884+0.*I	0.+0.006713090486464639*I	0.0010947447239752594+0.*I	0.+0.008123467299624655*I	-0.0019511260144948511+0.*I	0.+0.01978128272066511*I	0.0018414111885974+0.*I	0.+0.040418560426161564*I	-0.0012054143442748878+0.*I	0.+0.21241819621531244*I	0.5002221811188452+0.*I	0.-0.6371978203466814*I	0.49987365577844234+0.*I	0.+0.21163428952491317*I	-0.00008697944191971502+0.*I	0.+0.041840206217603*I	-0.00005708179060288494+0.*I	0.+0.01752344919926327*I	-0.000043734969347946893+0.*I	0.+0.009362473194945084*I	-0.000029058401929376434+0.*I	0.+0.0055815661744574975*I	-0.000032744935659444275+0.*I	0.+0.003494323569931202*I	-8.421696903596137*^-6+0.*I	0.+0.0021305624632139445*I	-0.000021892139138679795+0.*I	0.+0.0011781723375843872*I	8.537056083414203*^-8+0.*I	0.+0.0003641876088419781*I
0.+0.00006472897036058646*I	-0.00001688234408136564+0.*I	0.+0.0001750360275292293*I	-0.000015420774930955788+0.*I	0.+0.0002192829752361513*I	0.00033182457832794395+0.*I	0.+0.0011836412379745429*I	-0.0011400694766335203+0.*I	0.-0.0008918199909486805*I	0.0018874101202694257+0.*I	0.+0.0029289536166012147*I	-0.0019153517708815123+0.*I	0.-0.00037212899856520687*I	0.0011095217203879676+0.*I	0.+0.0022627757136369515*I	-0.0003399199310742429+0.*I	0.+0.001976261959915998*I	-0.000015667172932465024+0.*I	0.+0.0027226288206741714*I	-0.00034521850306833135+0.*I	0.+0.004750733297923451*I	0.0010897782031674633+0.*I	0.+0.004442373383207054*I	-0.0019380562563071383+0.*I	0.+0.011701317010005291*I	0.001850688837496326+0.*I	0.+0.016166532378181556*I	-0.001188329864633331+0.*I	0.+0.04265340967147561*I	0.00026461427680528094+0.*I	0.+0.21157872336865435*I	0.4998736557784247+0.*I	0.-0.6371422541904335*I	0.49987058740014106+0.*I	0.+0.21160499276143244*I	-0.00007416627027182594+0.*I	0.+0.04177547724719305*I	-0.0000530126181774615+0.*I	0.+0.01744243890564107*I	-0.000042128160177348734+0.*I	0.+0.00926266009088676*I	-0.00002777841479789852+0.*I	0.+0.005456680758498016*I	-0.00003087950176216524+0.*I	0.+0.0033349355534220103*I	-6.1602405885116055*^-6+0.*I	0.+0.0019245391982228143*I	-0.00002094510000498457+0.*I	0.+0.0009014052423265752*I	8.012859604319004*^-6+0.*I
-0.000012813171667810149+0.*I	0.+0.00009402573388166134*I	-0.000013813965740962268+0.*I	0.+0.00011946987119884138*I	0.00033310456543696805+0.*I	0.+0.0010587558219890584*I	-0.0011382040427239354+0.*I	0.-0.001051208007423204*I	0.0018896715766066542+0.*I	0.+0.0027229303515877157*I	-0.0019144047317204145+0.*I	0.-0.0006488960938070666*I	0.0011174492094475008+0.*I	0.+0.0018985881047424225*I	-0.00034793279069564076+0.*I	0.+0.0014390443264764576*I	5.363297584776397*^-6+0.*I	0.+0.0019762619599647683*I	-0.00036095040161491+0.*I	0.+0.00354636020772194*I	0.0011122360080048365+0.*I	0.+0.002480016194631807*I	-0.0019430227771208102+0.*I	0.+0.008020223093573926*I	0.001863758595665141+0.*I	0.+0.008086566667491845*I	-0.0011790522157823114+0.*I	0.+0.018401381623526777*I	0.00028169875642643395+0.*I	0.+0.04181393682480192*I	-0.00008391106358940007+0.*I	0.+0.21163428952490526*I	0.4998705874001166+0.*I	0.-0.637171550953872*I	0.4998834005717975+0.*I	0.+0.2115402637910522*I	-0.00007009709783065813+0.*I	0.+0.041694466953597895*I	-0.00005140580901939275+0.*I	0.+0.01734262580157398*I	-0.000040848172994009206+0.*I	0.+0.009137774674953521*I	-0.000025912980960977343+0.*I	0.+0.005297292741932303*I	-0.000028618045404981417+0.*I	0.+0.0031289122884777033*I	-5.213201437738399*^-6+0.*I	0.+0.001647772102970012*I	-0.000013017610928878986+0.*I	0.+0.0005372176334908439*I
0.+0.000029296763493605884*I	-9.744793344710273*^-6+0.*I	0.+0.00003845957756308163*I	0.0003347113746300452+0.*I	0.+0.000958942717908813*I	-0.0011369240556322261+0.*I	0.-0.001176093423428799*I	0.001891537010501215+0.*I	0.+0.0025635423350910936*I	-0.0019121432754074506+0.*I	0.-0.0008549193587848073*I	0.0011183962486081428+0.*I	0.+0.00162182100949704*I	-0.0003400053016471758+0.*I	0.+0.0010748567176355915*I	-2.649562001663549*^-6+0.*I	0.+0.0014390443264683842*I	-0.00033991993109709227+0.*I	0.+0.002799993347095758*I	0.0010965041094521302+0.*I	0.+0.0012756431044370264*I	-0.0019205649723154504+0.*I	0.+0.006057865905033133*I	0.0018587920748541697+0.*I	0.+0.004405472751086939*I	-0.0011659824575489836+0.*I	0.+0.01032141591284641*I	0.00029097640532153694+0.*I	0.+0.017561908776816185*I	-0.00006682658394216222+0.*I	0.+0.04186950298108394*I	-0.00008697944191962367+0.*I	0.+0.2116049927614515*I	0.49988340057180025+0.*I	0.-0.6372362799242449*I	0.4998874697441881+0.*I	0.+0.21145925349740105*I	-0.00006849028866223896+0.*I	0.+0.041594653849543764*I	-0.000050125821888110153+0.*I	0.+0.017217740385592806*I	-0.000038982739147375644+0.*I	0.+0.008978386658394857*I	-0.00002365152460269266+0.*I	0.+0.00509126947701195*I	-0.000027671006260974744+0.*I	0.+0.002852145193190432*I	2.7142875883851144*^-6+0.*I	0.+0.0012835844941374238*I	-0.00002103047050463553+0.*I
3.0683783521713213*^-6+0.*I	0.-0.00002626939279426864*I	0.00033878054701511333+0.*I	0.+0.0008779324242504717*I	-0.0011353172463889065+0.*I	0.-0.0012759065274345705*I	0.0018928169976205724+0.*I	0.+0.002438656919114374*I	-0.0019102778414824809+0.*I	0.-0.0010143073752904423*I	0.0011206577049082734+0.*I	0.+0.001415797744518299*I	-0.00033905826246551454+0.*I	0.+0.0007980896223873041*I	5.2779270409249385*^-6+0.*I	0.+0.0010748567175884788*I	-0.0003479327906852813+0.*I	0.+0.002262775713626609*I	0.0011175345799675825+0.*I	0.+0.0005292762437529503*I	-0.0019362968708271215+0.*I	0.+0.004853492814824599*I	0.0018812498796820292+0.*I	0.+0.002443115562525502*I	-0.0011709489783772852+0.*I	0.+0.006640321996394965*I	0.00030404616350457043+0.*I	0.+0.009481943066163989*I	-0.00005754893510852188+0.*I	0.+0.017617474933120176*I	-0.00006989496229845676+0.*I	0.+0.04184020621761251*I	-0.00007416627024454572+0.*I	0.+0.21154026379106786*I	0.4998874697441965+0.*I	0.-0.6373172902179108*I	0.49988907655338044+0.*I	0.+0.2113594403933841*I	-0.00006721030150134441+0.*I	0.+0.041469768433596156*I	-0.00004826038800592591+0.*I	0.+0.017058352369041734*I	-0.00003672128281239936+0.*I	0.+0.008772363393443462*I	-0.00002270448544403573+0.*I	0.+0.0048145023816985036*I	-0.00001974351722077873+0.*I	0.+0.002487957584382088*I	-5.298571975453938*^-6+0.*I	0.+0.000746366860606956*I
0.-0.000055566156266826156*I	0.00035159371871440535+0.*I	0.+0.0008132034538715297*I	-0.0011312480740034644+0.*I	0.-0.001356916821067302*I	0.0018944238067889092+0.*I	0.+0.002338843815037469*I	-0.0019089978543819967+0.*I	0.-0.0011391927912616105*I	0.0011225231387949732+0.*I	0.+0.001256409727975725*I	-0.00033679680614319044+0.*I	0.+0.0005920663573927868*I	6.224966211421178*^-6+0.*I	0.+0.0007980896223582713*I	-0.0003400053016298367+0.*I	0.+0.0018985881047662624*I	0.0011095217203816467+0.*I	0.-7.941389723116587*^-6*I	-0.0019152664003430266+0.*I	0.+0.0041071259541784555*I	0.001865517981177436+0.*I	0.+0.001238742472286145*I	-0.0011484911735694992+0.*I	0.+0.004677964807889736*I	0.0002990796426849517+0.*I	0.+0.005800849149728653*I	-0.00004447917689625801+0.*I	0.+0.009537509222434622*I	-0.000060617313408189225+0.*I	0.+0.0175881781696161*I	-0.00005708179061589758+0.*I	0.+0.041775477247256804*I	-0.00007009709780766311+0.*I	0.+0.2114592534974544*I	0.49988907655335985+0.*I	0.-0.637417103321936*I	0.49989035654051656+0.*I	0.+0.21123455497737237*I	-0.00006534486765795382+0.*I	0.+0.041310380417070504*I	-0.00004599893166459442+0.*I	0.+0.016852329104057345*I	-0.00003577424363116506+0.*I	0.+0.008495596298178965*I	-0.000014776996396089615+0.*I	0.+0.00445031477288121*I	-0.000027756376850435592+0.*I	0.+0.0019507399508760129*I	0.00001573189856503194+0.*I
0.0003485253404075119+0.*I	0.+0.0007839066903988934*I	-0.001118434902372256+0.*I	0.-0.0014216457914530902*I	0.0018984929792311305+0.*I	0.+0.002257833521421002*I	-0.0019073910451985797+0.*I	0.-0.0012390058953349714*I	0.0011238031259394152+0.*I	0.+0.001131524312045903*I	-0.00033493137225803625+0.*I	0.+0.00043267834087539603*I	8.486422507416897*^-6+0.*I	0.+0.0005920663574202676*I	-0.00033905826247422025+0.*I	0.+0.0016218210094659465*I	0.0011174492094225047+0.*I	0.-0.0003721289985376479*I	-0.0019232792598992917+0.*I	0.+0.0035699083206581547*I	0.0018865484516719757+0.*I	0.+0.0004923756116716009*I	-0.0011642230721031802+0.*I	0.+0.0034735917176585474*I	0.0003215374475566354+0.*I	0.+0.0038384919612165012*I	-0.00004944569772351434+0.*I	0.+0.005856415305987301*I	-0.00004754755521101369+0.*I	0.+0.00950821245897143*I	-0.00004780414177003819+0.*I	0.+0.017523449199244732*I	-0.000053012618218895855+0.*I	0.+0.04169446695362964*I	-0.00006849028865799986+0.*I	0.+0.21135944039334606*I	0.49989035654052477+0.*I	0.-0.637541988737927*I	0.4998922219744242+0.*I	0.+0.21107516696087095*I	-0.00006308341132513941+0.*I	0.+0.04110435715207404*I	-0.00004505189251005414+0.*I	0.+0.016575562008810756*I	-0.00002784675460672377+0.*I	0.+0.008131408689347492*I	-0.000022789855999488378+0.*I	0.+0.003913097139389159*I	-6.725906304612967*^-6+0.*I	0.+0.0012043730902372267*I
0.+0.0008394728466776286*I	-0.0011215032806708516+0.*I	0.-0.0014509425549435477*I	0.0019113061509003415+0.*I	0.+0.002193104551028599*I	-0.001903321872782379+0.*I	0.-0.0013200161889647412*I	0.0011254099351167047+0.*I	0.+0.00103171120797121*I	-0.00033365138512530406+0.*I	0.+0.0003077929248996302*I	0.000010351856395355313+0.*I	0.+0.00043267834086974447*I	-0.00033679680615574117+0.*I	0.+0.0014157977445130659*I	0.0011183962485984157+0.*I	0.-0.0006488960938103724*I	-0.0019153517708462246+0.*I	0.+0.0032057207118150245*I	0.0018785355920840996+0.*I	0.-0.000044842021816713036*I	-0.0011431926015674125+0.*I	0.+0.0027272248570247726*I	0.0003058055489686505+0.*I	0.+0.002634118870943856*I	-0.00002698789288240863+0.*I	0.+0.003894058117455965*I	-0.00005251407603862449+0.*I	0.+0.00582711854254257*I	-0.00003473438353155103+0.*I	0.+0.00944348348861527*I	-0.00004373496935374591+0.*I	0.+0.017442438905647367*I	-0.00005140580898304361+0.*I	0.+0.041594653849541*I	-0.00006721030152757238+0.*I	0.+0.2112345549774042*I	0.49989222197443395+0.*I	0.-0.637701376754473*I	0.49989448343066856+0.*I	0.+0.21086914369591653*I	-0.00006213637211279142+0.*I	0.+0.040827590056807826*I	-0.00003712440347000416+0.*I	0.+0.016211374399973083*I	-0.000035859614180567797+0.*I	0.+0.007594191055846561*I	-1.7593854866490116*^-6+0.*I	0.+0.0031667302787560477*I	-0.000022457804832790167+0.*I
-0.0014700286210632984+0.*I	0.-0.0013953763986732407*I	0.0019082377725574504+0.*I	0.+0.0021638077875600573*I	-0.001890508701103215+0.*I	0.-0.0013847451593411587*I	0.0011294791075129778+0.*I	0.+0.000950700914330066*I	-0.00033204457595888625+0.*I	0.+0.00020797982083958007*I	0.000011631843548894077+0.*I	0.+0.00030779292490277485*I	-0.00033493137225377035+0.*I	0.+0.001256409727999985*I	0.0011206577049255027+0.*I	0.-0.0008549193587546489*I	-0.0019144047317316481+0.*I	0.+0.0029289536165834147*I	0.001886463081132609+0.*I	0.-0.00040902963069640037*I	-0.0011512054611680107+0.*I	0.+0.0021900072235437043*I	0.0003268360195305294+0.*I	0.+0.0018877520103310463*I	-0.000042719791456457604+0.*I	0.+0.002689685027281823*I	-0.000030056271158542612+0.*I	0.+0.0038647613539525985*I	-0.00003970090439085415+0.*I	0.+0.005762389572168518*I	-0.00003066521110776905+0.*I	0.+0.009362473194951053*I	-0.000042128160199953116+0.*I	0.+0.017342625801591825*I	-0.00005012582187849858+0.*I	0.+0.0414697684335671*I	-0.00006534486763811495+0.*I	0.+0.2110751669608474*I	0.4998944834307475+0.*I	0.-0.6379074000194348*I	0.4998954304698689+0.*I	0.+0.21059237660063201*I	-0.000054208883120599876+0.*I	0.+0.04046340244796535*I	-0.000045137263058094464+0.*I	0.+0.015674156766518225*I	-0.000014829143695000634+0.*I	0.+0.006847824195165569*I	-0.000017491284024028088+0.*I	0.+0.001962357188575279*I
0.-0.002234849245325019*I	0.0015597124321780332+0.*I	0.+0.0022193739438057473*I	-0.0018935770794183118+0.*I	0.-0.00141404192281186*I	0.0011422922791818316+0.*I	0.+0.0008859719439311846*I	-0.00032797540351737163+0.*I	0.+0.00012696952725213819*I	0.000013238652713087187+0.*I	0.+0.000207979820819654*I	-0.0003336513851310526+0.*I	0.+0.0011315243120533782*I	0.0011225231387767495+0.*I	0.-0.0010143073753346448*I	-0.0019121432753623725+0.*I	0.+0.002722930351622185*I	0.0018874101202871704+0.*I	0.-0.000685796725963435*I	-0.0011432779720665905+0.*I	0.+0.0018258196147221536*I	0.0003188231598541928+0.*I	0.+0.001350534376831133*I	-0.000021689320889771415+0.*I	0.+0.0019433181666058171*I	-0.00004578816977558844+0.*I	0.+0.0026603882637409584*I	-0.000017243099478224358+0.*I	0.+0.0038000323836340963*I	-0.000035631731968546225+0.*I	0.+0.005681379278506253*I	-0.00002905840192856216+0.*I	0.+0.009262660090933529*I	-0.00004084817304427226+0.*I	0.+0.01721774038553741*I	-0.000048260387952557526+0.*I	0.+0.0413103804170724*I	-0.0000630834113193217+0.*I	0.+0.2108691436958918*I	0.49989543046991164+0.*I	0.-0.6381841671146831*I	0.4999033579588809+0.*I	0.+0.21022818899180515*I	-0.0000622217426576758+0.*I	0.+0.039926184814515715*I	-0.000024106792599727064+0.*I	0.+0.014927789905857244*I	-0.00003056104217721648+0.*I	0.+0.005643451104976918*I	4.966520787659328*^-6+0.*I
0.0030297410532482325+0.*I	0.+0.0013799010971595185*I	-0.0022421024198120737+0.*I	0.-0.0013584757665511132*I	0.0011392239008768783+0.*I	0.+0.0008566751804572425*I	-0.00031516223187443303+0.*I	0.+0.00006224055683472575*I	0.00001730782512821081+0.*I	0.+0.00012696952723083884*I	-0.0003320445759516322+0.*I	0.+0.001031711207953994*I	0.0011238031259699925+0.*I	0.-0.0011391927912623467*I	-0.0019102778415253474+0.*I	0.+0.0025635423350938553*I	0.0018896715766124031+0.*I	0.-0.0008918199908930511*I	-0.0011423309329872458+0.*I	0.+0.0015490525194393288*I	0.0003267506489698332+0.*I	0.+0.0009863467679910188*I	-0.000029702180494999976+0.*I	0.+0.0014061005331563597*I	-0.000024757699229521377+0.*I	0.+0.001914021403114756*I	-0.000032974998080738025+0.*I	0.+0.002595659293377072*I	-0.000013173927080753844+0.*I	0.+0.0037190220899769675*I	-0.00003402492276826318+0.*I	0.+0.005581566174455841*I	-0.00002777841481747936+0.*I	0.+0.009137774674918657*I	-0.00003898273915503942+0.*I	0.+0.01705835236906139*I	-0.00004599893167870464+0.*I	0.+0.04110435715206254*I	-0.00006213637218040873+0.*I	0.+0.2105923766006088*I	0.4999033579589515+0.*I	0.-0.6385483547235099*I	0.49989534509932276+0.*I	0.+0.20969097135830445*I	-0.000041191272179757796+0.*I	0.+0.03917981795388517*I	-0.000039838691095708195+0.*I	0.+0.01372341681559464*I	-8.103237400748055*^-6+0.*I	0.+0.0036810939164657703*I
0.+0.003614750342496945*I	-0.0007720737987519007+0.*I	0.-0.0021979486132235274*I	0.0007906985604869349+0.*I	0.+0.000912241336742412*I	-0.0003182306101911436+0.*I	0.+0.00003294379335790024*I	0.000030120996812069125+0.*I	0.+0.00006224055684343448*I	-0.000327975403529028+0.*I	0.+0.0009507009143430416*I	0.0011254099350984635+0.*I	0.-0.0012390058953483352*I	-0.0019089978543366693+0.*I	0.+0.002438656919127913*I	0.0018915370104865166+0.*I	0.-0.0010512080074317007*I	-0.0011400694766105623+0.*I	0.+0.0013430292544452732*I	0.0003276976880893415+0.*I	0.+0.0007095796727552889*I	-0.000021774691438763008+0.*I	0.+0.001041912924264071*I	-0.00003277055883366877+0.*I	0.+0.0013768037696076406*I	-0.000011944527539783399+0.*I	0.+0.001849292432754405*I	-0.000028905825684395644+0.*I	0.+0.0025146489997544662*I	-0.00001156711791195644+0.*I	0.+0.003619208985909853*I	-0.00003274493565365826+0.*I	0.+0.005456680758470071*I	-0.000025912980920052675+0.*I	0.+0.008978386658394958*I	-0.000036721282830940874+0.*I	0.+0.016852329104102327*I	-0.000045051892511384215+0.*I	0.+0.04082759005683538*I	-0.0000542088831031153+0.*I	0.+0.2102281889918005*I	0.4998953450993393+0.*I	0.-0.6390855723569983*I	0.4999163755698454+0.*I	0.+0.2089446044976773*I	-0.00005692317071878318+0.*I	0.+0.037975444863609195*I	-0.00001738088625014429+0.*I	0.+0.011761059627077169*I	-0.00001306975815777989+0.*I
-0.0038018148519795097+0.*I	0.+0.000036900632136544155*I	0.0022607271815359665+0.*I	0.+0.00007276849006997822*I	-0.0006667559505651672+0.*I	0.+0.00008850994962895863*I	0.00002705261847136197+0.*I	0.+0.0000329437933571662*I	-0.00031516223183843237+0.*I	0.+0.0008859719439723687*I	0.0011294791074937624+0.*I	0.-0.0013200161889620077*I	-0.0019073910451613588+0.*I	0.+0.0023388438150411615*I	0.0018928169976104544+0.*I	0.-0.0011760934233899668*I	-0.0011382040427440456+0.*I	0.+0.0011836412379146023*I	0.0003299591444397088+0.*I	0.+0.0005035564077942919*I	-0.00002082765227585755+0.*I	0.+0.0007651458289913474*I	-0.000024843069788268513+0.*I	0.+0.0010126161608221232*I	-0.000019957387127708456+0.*I	0.+0.0013120747992383928*I	-7.875355175611539*^-6+0.*I	0.+0.0017682821391107493*I	-0.00002729901648069315+0.*I	0.+0.0024148358956788264*I	-0.00001028713077382862+0.*I	0.+0.0034943235699609653*I	-0.000030879501734972444+0.*I	0.+0.00529729274192003*I	-0.000023651524600291858+0.*I	0.+0.008772363393463826*I	-0.000035774243665993876+0.*I	0.+0.016575562008802194*I	-0.00003712440353277866+0.*I	0.+0.040463402447977255*I	-0.000062221742708986+0.*I	0.+0.20969097135828324*I	0.49991637556988605+0.*I	0.-0.6398319392176183*I	0.49990064367130504+0.*I	0.+0.2077402314074687*I	-0.00003446536584773667+0.*I	0.+0.036013087675094486*I	-0.000022347407074783544+0.*I	0.+0.008079965710662468*I
0.-0.0035778497104070853*I	-0.0007690138716971753+0.*I	0.+0.0023076177354291617*I	0.0008032726704910409+0.*I	0.-0.0007509628970503813*I	-0.0003214727219123285+0.*I	0.+0.00008850994963199437*I	-0.0003182306101766594+0.*I	0.+0.0008566751804857086*I	0.0011422922791912407+0.*I	0.-0.0013847451593698749*I	-0.0019033218727756878+0.*I	0.+0.002257833521416726*I	0.0018944238068016562+0.*I	0.-0.0012759065274659085*I	-0.0011369240555878545+0.*I	0.+0.0010587558219711623*I	0.0003318245783074452+0.*I	0.+0.00034416839122278795*I	-0.000018566195943380785+0.*I	0.+0.0005591225640512754*I	-0.000023896030635267655+0.*I	0.+0.0007358490655193474*I	-0.000012029898057649919+0.*I	0.+0.0009478871904202849*I	-0.000015888214751357005+0.*I	0.+0.001231064505616366*I	-6.2685459404835935*^-6+0.*I	0.+0.0016684690350648288*I	-0.000026019029365305122+0.*I	0.+0.0022899504797150804*I	-8.421696923894657*^-6+0.*I	0.+0.003334935553449455*I	-0.00002861804543865254+0.*I	0.+0.005091269476968596*I	-0.000022704485449174967+0.*I	0.+0.008495596298200186*I	-0.000027846754651909387+0.*I	0.+0.016211374399970897*I	-0.00004513726302174429+0.*I	0.+0.03992618481449669*I	-0.00004119127215769946+0.*I	0.+0.20894460449765218*I	0.4999006436713335+0.*I	0.-0.6410363123078676*I	0.4999231014761018+0.*I	0.+0.20577787421891863*I	-0.00003943188664971129+0.*I	0.+0.0323319937586659*I	-9.277648913066848*^-6+0.*I
